MICROPOLITAN STATISTICAL AREAS AND COMPONENTS, November 2007, WITH CODES

(Micropolitan statistical areas defined by the Office of Management and Budget, November 2007)
15900   17057      Fulton County, IL

16020           Cape Girardeau-Jackson, MO-IL Micropolitan Statistical Area
16020   17003      Alexander County, IL
16020   29017      Bollinger County, MO
16020   29031      Cape Girardeau County, MO

16060           Carbondale, IL Micropolitan Statistical Area
16060   17077      Jackson County, IL

16100           Carlsbad-Artesia, NM Micropolitan Statistical Area
16100   35015      Eddy County, NM

16260           Cedar City, UT Micropolitan Statistical Area
16260   49021      Iron County, UT

16340           Cedartown, GA Micropolitan Statistical Area
16340   13233      Polk County, GA

16380           Celina, OH Micropolitan Statistical Area
16380   39107      Mercer County, OH

16420           Central City, KY Micropolitan Statistical Area
16420   21177      Muhlenberg County, KY

16460           Centralia, IL Micropolitan Statistical Area
16460   17121      Marion County, IL

16500           Centralia, WA Micropolitan Statistical Area
16500   53041      Lewis County, WA

16540           Chambersburg, PA Micropolitan Statistical Area
16540   42055      Franklin County, PA

16660           Charleston-Mattoon, IL Micropolitan Statistical Area
16660   17029      Coles County, IL
16660   17035      Cumberland County, IL

16900           Chester, SC Micropolitan Statistical Area
16900   45023      Chester County, SC

17060           Chillicothe, OH Micropolitan Statistical Area
17060   39141      Ross County, OH

17180           City of The Dalles, OR Micropolitan Statistical Area
17180   41065      Wasco County, OR

17200           Claremont, NH Micropolitan Statistical Area
17200   33019      Sullivan County, NH

17220           Clarksburg, WV Micropolitan Statistical Area
17220   54017      Doddridge County, WV
17220   54033      Harrison County, WV
17220   54091      Taylor County, WV

17260           Clarksdale, MS Micropolitan Statistical Area
17260   28027      Coahoma County, MS

17340           Clearlake, CA Micropolitan Statistical Area
17340   06033      Lake County, CA

17380           Cleveland, MS Micropolitan Statistical Area
17380   28011      Bolivar County, MS

17500           Clewiston, FL Micropolitan Statistical Area
17500   12051      Hendry County, FL

17540           Clinton, IA Micropolitan Statistical Area
17540   19045      Clinton County, IA

17580           Clovis, NM Micropolitan Statistical Area
17580   35009      Curry County, NM

17620           Coamo, PR Micropolitan Statistical Area
17620   72043      Coamo Municipio, PR

17700           Coffeyville, KS Micropolitan Statistical Area
17700   20125      Montgomery County, KS

17740           Coldwater, MI Micropolitan Statistical Area
17740   26023      Branch County, MI

17940           Columbia, TN Micropolitan Statistical Area
17940   47119      Maury County, TN

18060           Columbus, MS Micropolitan Statistical Area
18060   28087      Lowndes County, MS

18100           Columbus, NE Micropolitan Statistical Area
18100   31141      Platte County, NE

18180           Concord, NH Micropolitan Statistical Area
18180   33013      Merrimack County, NH

18220           Connersville, IN Micropolitan Statistical Area
18220   18041      Fayette County, IN

18260           Cookeville, TN Micropolitan Statistical Area
18260   47087      Jackson County, TN
18260   47133      Overton County, TN
18260   47141      Putnam County, TN

18300           Coos Bay, OR Micropolitan Statistical Area
18300   41011      Coos County, OR

18340           Corbin, KY Micropolitan Statistical Area
18340   21235      Whitley County, KY

18380           Cordele, GA Micropolitan Statistical Area
18380   13081      Crisp County, GA

18420           Corinth, MS Micropolitan Statistical Area
18420   28003      Alcorn County, MS

18460           Cornelia, GA Micropolitan Statistical Area
18460   13137      Habersham County, GA

18500           Corning, NY Micropolitan Statistical Area
18500   36101      Steuben County, NY

18620           Corsicana, TX Micropolitan Statistical Area
18620   48349      Navarro County, TX

18660           Cortland, NY Micropolitan Statistical Area
18660   36023      Cortland County, NY

18740           Coshocton, OH Micropolitan Statistical Area
18740   39031      Coshocton County, OH

18820           Crawfordsville, IN Micropolitan Statistical Area
18820   18107      Montgomery County, IN

18860           Crescent City, CA Micropolitan Statistical Area
18860   06015      Del Norte County, CA

18900           Crossville, TN Micropolitan Statistical Area
18900   47035      Cumberland County, TN

18940           Crowley, LA Micropolitan Statistical Area
18940   22001      Acadia Parish, LA

18980           Cullman, AL Micropolitan Statistical Area
18980   01043      Cullman County, AL

19020           Culpeper, VA Micropolitan Statistical Area
19020   51047      Culpeper County, VA

19220           Danville, KY Micropolitan Statistical Area
19220   21021      Boyle County, KY
19220   21137      Lincoln County, KY

19300           Daphne-Fairhope-Foley, AL Micropolitan Statistical Area
19300   01003      Baldwin County, AL

19540           Decatur, IN Micropolitan Statistical Area
19540   18001      Adams County, IN

19580           Defiance, OH Micropolitan Statistical Area
19580   39039      Defiance County, OH

19620           Del Rio, TX Micropolitan Statistical Area
19620   48465      Val Verde County, TX

19700           Deming, NM Micropolitan Statistical Area
19700   35029      Luna County, NM

19760           De Ridder, LA Micropolitan Statistical Area
19760   22011      Beauregard Parish, LA

19860           Dickinson, ND Micropolitan Statistical Area
19860   38007      Billings County, ND
19860   38089      Stark County, ND

19900           Dillon, SC Micropolitan Statistical Area
19900   45033      Dillon County, SC

19940           Dixon, IL Micropolitan Statistical Area
19940   17103      Lee County, IL

19980           Dodge City, KS Micropolitan Statistical Area
19980   20057      Ford County, KS

20060           Douglas, GA Micropolitan Statistical Area
20060   13003      Atkinson County, GA
20060   13069      Coffee County, GA

20140           Dublin, GA Micropolitan Statistical Area
20140   13167      Johnson County, GA
20140   13175      Laurens County, GA

20180           DuBois, PA Micropolitan Statistical Area
20180   42033      Clearfield County, PA

20300           Dumas, TX Micropolitan Statistical Area
20300   48341      Moore County, TX

20340           Duncan, OK Micropolitan Statistical Area
20340   40137      Stephens County, OK

20380           Dunn, NC Micropolitan Statistical Area
20380   37085      Harnett County, NC

20420           Durango, CO Micropolitan Statistical Area
20420   08067      La Plata County, CO

20460           Durant, OK Micropolitan Statistical Area
20460   40013      Bryan County, OK

20540           Dyersburg, TN Micropolitan Statistical Area
20540   47045      Dyer County, TN

20580           Eagle Pass, TX Micropolitan Statistical Area
20580   48323      Maverick County, TX

20620           East Liverpool-Salem, OH Micropolitan Statistical Area
20620   39029      Columbiana County, OH

20660           Easton, MD Micropolitan Statistical Area
20660   24041      Talbot County, MD

20700           East Stroudsburg, PA Micropolitan Statistical Area
20700   42089      Monroe County, PA

20780           Edwards, CO Micropolitan Statistical Area
20780   08037      Eagle County, CO
20780   08065      Lake County, CO

20820           Effingham, IL Micropolitan Statistical Area
20820   17049      Effingham County, IL

20900           El Campo, TX Micropolitan Statistical Area
20900   48481      Wharton County, TX

20980           El Dorado, AR Micropolitan Statistical Area
20980   05139      Union County, AR

21020           Elizabeth City, NC Micropolitan Statistical Area
21020   37029      Camden County, NC
21020   37139      Pasquotank County, NC
21020   37143      Perquimans County, NC

21120           Elk City, OK Micropolitan Statistical Area
21120   40009      Beckham County, OK

21220           Elko, NV Micropolitan Statistical Area
21220   32007      Elko County, NV
21220   32011      Eureka County, NV

21260           Ellensburg, WA Micropolitan Statistical Area
21260   53037      Kittitas County, WA

21380           Emporia, KS Micropolitan Statistical Area
21380   20017      Chase County, KS
21380   20111      Lyon County, KS

21420           Enid, OK Micropolitan Statistical Area
21420   40047      Garfield County, OK

21460           Enterprise-Ozark, AL Micropolitan Statistical Area
21460   01031      Coffee County, AL
21460   01045      Dale County, AL

21540           Escanaba, MI Micropolitan Statistical Area
21540   26041      Delta County, MI

21580           Espanola, NM Micropolitan Statistical Area
21580   35039      Rio Arriba County, NM

21640           Eufaula, AL-GA Micropolitan Statistical Area
21640   01005      Barbour County, AL
21640   13239      Quitman County, GA

21700           Eureka-Arcata-Fortuna, CA Micropolitan Statistical Area
21700   06023      Humboldt County, CA

21740           Evanston, WY Micropolitan Statistical Area
21740   56041      Uinta County, WY

21860           Fairmont, MN Micropolitan Statistical Area
21860   27091      Martin County, MN

21900           Fairmont, WV Micropolitan Statistical Area
21900   54049      Marion County, WV

21980           Fallon, NV Micropolitan Statistical Area
21980   32001      Churchill County, NV

22060           Faribault-Northfield, MN Micropolitan Statistical Area
22060   27131      Rice County, MN

22100           Farmington, MO Micropolitan Statistical Area
22100   29187      St. Francois County, MO

22260           Fergus Falls, MN Micropolitan Statistical Area
22260   27111      Otter Tail County, MN

22280           Fernley, NV Micropolitan Statistical Area
22280   32019      Lyon County, NV

22300           Findlay, OH Micropolitan Statistical Area
22300   39063      Hancock County, OH

22340           Fitzgerald, GA Micropolitan Statistical Area
22340   13017      Ben Hill County, GA
22340   13155      Irwin County, GA

22580           Forest City, NC Micropolitan Statistical Area
22580   37161      Rutherford County, NC

22620           Forrest City, AR Micropolitan Statistical Area
22620   05123      St. Francis County, AR

22700           Fort Dodge, IA Micropolitan Statistical Area
22700   19187      Webster County, IA

22780           Fort Leonard Wood, MO Micropolitan Statistical Area
22780   29169      Pulaski County, MO

22800           Fort Madison-Keokuk, IA-MO Micropolitan Statistical Area
22800   19111      Lee County, IA
22800   29045      Clark County, MO

22820           Fort Morgan, CO Micropolitan Statistical Area
22820   08087      Morgan County, CO

22840           Fort Payne, AL Micropolitan Statistical Area
22840   01049      DeKalb County, AL

22860           Fort Polk South, LA Micropolitan Statistical Area
22860   22115      Vernon Parish, LA

22980           Fort Valley, GA Micropolitan Statistical Area
22980   13225      Peach County, GA

23140           Frankfort, IN Micropolitan Statistical Area
23140   18023      Clinton County, IN

23180           Frankfort, KY Micropolitan Statistical Area
23180   21005      Anderson County, KY
23180   21073      Franklin County, KY

23240           Fredericksburg, TX Micropolitan Statistical Area
23240   48171      Gillespie County, TX

23300           Freeport, IL Micropolitan Statistical Area
23300   17177      Stephenson County, IL

23340           Fremont, NE Micropolitan Statistical Area
23340   31053      Dodge County, NE

23380           Fremont, OH Micropolitan Statistical Area
23380   39143      Sandusky County, OH

23500           Gaffney, SC Micropolitan Statistical Area
23500   45021      Cherokee County, SC

23620           Gainesville, TX Micropolitan Statistical Area
23620   48097      Cooke County, TX

23660           Galesburg, IL Micropolitan Statistical Area
23660   17095      Knox County, IL
23660   17187      Warren County, IL

23700           Gallup, NM Micropolitan Statistical Area
23700   35031      McKinley County, NM

23780           Garden City, KS Micropolitan Statistical Area
23780   20055      Finney County, KS

23820           Gardnerville Ranchos, NV Micropolitan Statistical Area
23820   32005      Douglas County, NV

23860           Georgetown, SC Micropolitan Statistical Area
23860   45043      Georgetown County, SC

23900           Gettysburg, PA Micropolitan Statistical Area
23900   42001      Adams County, PA

23940           Gillette, WY Micropolitan Statistical Area
23940   56005      Campbell County, WY

23980           Glasgow, KY Micropolitan Statistical Area
23980   21009      Barren County, KY
23980   21169      Metcalfe County, KY

24100           Gloversville, NY Micropolitan Statistical Area
24100   36035      Fulton County, NY

24180           Granbury, TX Micropolitan Statistical Area
24180   48221      Hood County, TX
24180   48425      Somervell County, TX

24260           Grand Island, NE Micropolitan Statistical Area
24260   31079      Hall County, NE
24260   31093      Howard County, NE
24260   31121      Merrick County, NE

24380           Grants, NM Micropolitan Statistical Area
24380   35006      Cibola County, NM

24420           Grants Pass, OR Micropolitan Statistical Area
24420   41033      Josephine County, OR

24460           Great Bend, KS Micropolitan Statistical Area
24460   20009      Barton County, KS

24620           Greeneville, TN Micropolitan Statistical Area
24620   47059      Greene County, TN

24700           Greensburg, IN Micropolitan Statistical Area
24700   18031      Decatur County, IN

24740           Greenville, MS Micropolitan Statistical Area
24740   28151      Washington County, MS

24820           Greenville, OH Micropolitan Statistical Area
24820   39037      Darke County, OH

24900           Greenwood, MS Micropolitan Statistical Area
24900   28015      Carroll County, MS
24900   28083      Leflore County, MS

24940           Greenwood, SC Micropolitan Statistical Area
24940   45047      Greenwood County, SC

24980           Grenada, MS Micropolitan Statistical Area
24980   28043      Grenada County, MS

25100           Guymon, OK Micropolitan Statistical Area
25100   40139      Texas County, OK

25220           Hammond, LA Micropolitan Statistical Area
25220   22105      Tangipahoa Parish, LA

25300           Hannibal, MO Micropolitan Statistical Area
25300   29127      Marion County, MO
25300   29173      Ralls County, MO

25340           Harriman, TN Micropolitan Statistical Area
25340   47145      Roane County, TN

25380           Harrisburg, IL Micropolitan Statistical Area
25380   17165      Saline County, IL

25460           Harrison, AR Micropolitan Statistical Area
25460   05009      Boone County, AR
25460   05101      Newton County, AR

25580           Hastings, NE Micropolitan Statistical Area
25580   31001      Adams County, NE
25580   31035      Clay County, NE

25660           Havre, MT Micropolitan Statistical Area
25660   30041      Hill County, MT

25700           Hays, KS Micropolitan Statistical Area
25700   20051      Ellis County, KS

25720           Heber, UT Micropolitan Statistical Area
25720   49051      Wasatch County, UT

25740           Helena, MT Micropolitan Statistical Area
25740   30043      Jefferson County, MT
25740   30049      Lewis and Clark County, MT

25760           Helena-West Helena, AR Micropolitan Statistical Area
25760   05107      Phillips County, AR

25780           Henderson, NC Micropolitan Statistical Area
25780   37181      Vance County, NC

25820           Hereford, TX Micropolitan Statistical Area
25820   48117      Deaf Smith County, TX

25900           Hilo, HI Micropolitan Statistical Area
25900   15001      Hawaii County, HI

25940           Hilton Head Island-Beaufort, SC Micropolitan Statistical Area
25940   45013      Beaufort County, SC
25940   45053      Jasper County, SC

26020           Hobbs, NM Micropolitan Statistical Area
26020   35025      Lea County, NM

26140           Homosassa Springs, FL Micropolitan Statistical Area
26140   12017      Citrus County, FL

26220           Hood River, OR Micropolitan Statistical Area
26220   41027      Hood River County, OR

26260           Hope, AR Micropolitan Statistical Area
26260   05057      Hempstead County, AR
26260   05099      Nevada County, AR

26340           Houghton, MI Micropolitan Statistical Area
26340   26061      Houghton County, MI
26340   26083      Keweenaw County, MI

26460           Hudson, NY Micropolitan Statistical Area
26460   36021      Columbia County, NY

26480           Humboldt, TN Micropolitan Statistical Area
26480   47053      Gibson County, TN

26500           Huntingdon, PA Micropolitan Statistical Area
26500   42061      Huntingdon County, PA

26540           Huntington, IN Micropolitan Statistical Area
26540   18069      Huntington County, IN

26660           Huntsville, TX Micropolitan Statistical Area
26660   48471      Walker County, TX

26700           Huron, SD Micropolitan Statistical Area
26700   46005      Beadle County, SD

26740           Hutchinson, KS Micropolitan Statistical Area
26740   20155      Reno County, KS

26780           Hutchinson, MN Micropolitan Statistical Area
26780   27085      McLeod County, MN

26860           Indiana, PA Micropolitan Statistical Area
26860   42063      Indiana County, PA

26940           Indianola, MS Micropolitan Statistical Area
26940   28133      Sunflower County, MS

27020           Iron Mountain, MI-WI Micropolitan Statistical Area
27020   26043      Dickinson County, MI
27020   55037      Florence County, WI

27220           Jackson, WY-ID Micropolitan Statistical Area
27220   16081      Teton County, ID
27220   56039      Teton County, WY

27300           Jacksonville, IL Micropolitan Statistical Area
27300   17137      Morgan County, IL
27300   17171      Scott County, IL

27380           Jacksonville, TX Micropolitan Statistical Area
27380   48073      Cherokee County, TX

27420           Jamestown, ND Micropolitan Statistical Area
27420   38093      Stutsman County, ND

27460           Jamestown-Dunkirk-Fredonia, NY Micropolitan Statistical Area
27460   36013      Chautauqua County, NY

27540           Jasper, IN Micropolitan Statistical Area
27540   18037      Dubois County, IN
27540   18125      Pike County, IN

27580           Jayuya, PR Micropolitan Statistical Area
27580   72073      Jayuya Municipio, PR

27660           Jennings, LA Micropolitan Statistical Area
27660   22053      Jefferson Davis Parish, LA

27700           Jesup, GA Micropolitan Statistical Area
27700   13305      Wayne County, GA

27940           Juneau, AK Micropolitan Statistical Area
27940   02110      Juneau City and Borough, AK

27980           Kahului-Wailuku, HI Micropolitan Statistical Area
27980   15009      Maui County, HI

28060           Kalispell, MT Micropolitan Statistical Area
28060   30029      Flathead County, MT

28180           Kapaa, HI Micropolitan Statistical Area
28180   15007      Kauai County, HI

28260           Kearney, NE Micropolitan Statistical Area
28260   31019      Buffalo County, NE
28260   31099      Kearney County, NE

28300           Keene, NH Micropolitan Statistical Area
28300   33005      Cheshire County, NH

28340           Kendallville, IN Micropolitan Statistical Area
28340   18113      Noble County, IN

28380           Kennett, MO Micropolitan Statistical Area
28380   29069      Dunklin County, MO

28500           Kerrville, TX Micropolitan Statistical Area
28500   48265      Kerr County, TX

28540           Ketchikan, AK Micropolitan Statistical Area
28540   02130      Ketchikan Gateway Borough, AK

28580           Key West, FL Micropolitan Statistical Area
28580   12087      Monroe County, FL

28620           Kill Devil Hills, NC Micropolitan Statistical Area
28620   37055      Dare County, NC

28780           Kingsville, TX Micropolitan Statistical Area
28780   48261      Kenedy County, TX
28780   48273      Kleberg County, TX

28820           Kinston, NC Micropolitan Statistical Area
28820   37107      Lenoir County, NC

28860           Kirksville, MO Micropolitan Statistical Area
28860   29001      Adair County, MO
28860   29197      Schuyler County, MO

28900           Klamath Falls, OR Micropolitan Statistical Area
28900   41035      Klamath County, OR

28980           Kodiak, AK Micropolitan Statistical Area
28980   02150      Kodiak Island Borough, AK

29060           Laconia, NH Micropolitan Statistical Area
29060   33001      Belknap County, NH

29220           La Follette, TN Micropolitan Statistical Area
29220   47013      Campbell County, TN

29260           La Grande, OR Micropolitan Statistical Area
29260   41061      Union County, OR

29300           LaGrange, GA Micropolitan Statistical Area
29300   13285      Troup County, GA

29380           Lake City, FL Micropolitan Statistical Area
29380   12023      Columbia County, FL

29500           Lamesa, TX Micropolitan Statistical Area
29500   48115      Dawson County, TX

29580           Lancaster, SC Micropolitan Statistical Area
29580   45057      Lancaster County, SC

29660           Laramie, WY Micropolitan Statistical Area
29660   56001      Albany County, WY

29780           Las Vegas, NM Micropolitan Statistical Area
29780   35047      San Miguel County, NM

29860           Laurel, MS Micropolitan Statistical Area
29860   28061      Jasper County, MS
29860   28067      Jones County, MS

29900           Laurinburg, NC Micropolitan Statistical Area
29900   37165      Scotland County, NC

29980           Lawrenceburg, TN Micropolitan Statistical Area
29980   47099      Lawrence County, TN

30060           Lebanon, MO Micropolitan Statistical Area
30060   29105      Laclede County, MO

30100           Lebanon, NH-VT Micropolitan Statistical Area
30100   33009      Grafton County, NH
30100   50017      Orange County, VT
30100   50027      Windsor County, VT

30220           Levelland, TX Micropolitan Statistical Area
30220   48219      Hockley County, TX

30260           Lewisburg, PA Micropolitan Statistical Area
30260   42119      Union County, PA

30280           Lewisburg, TN Micropolitan Statistical Area
30280   47117      Marshall County, TN

30380           Lewistown, PA Micropolitan Statistical Area
30380   42087      Mifflin County, PA

30420           Lexington, NE Micropolitan Statistical Area
30420   31047      Dawson County, NE
30420   31073      Gosper County, NE

30500           Lexington Park, MD Micropolitan Statistical Area
30500   24037      St. Mary's County, MD

30580           Liberal, KS Micropolitan Statistical Area
30580   20175      Seward County, KS

30660           Lincoln, IL Micropolitan Statistical Area
30660   17107      Logan County, IL

30740           Lincolnton, NC Micropolitan Statistical Area
30740   37109      Lincoln County, NC

30820           Lock Haven, PA Micropolitan Statistical Area
30820   42035      Clinton County, PA

30900           Logansport, IN Micropolitan Statistical Area
30900   18017      Cass County, IN

30940           London, KY Micropolitan Statistical Area
30940   21125      Laurel County, KY

31060           Los Alamos, NM Micropolitan Statistical Area
31060   35028      Los Alamos County, NM

31260           Lufkin, TX Micropolitan Statistical Area
31260   48005      Angelina County, TX

31300           Lumberton, NC Micropolitan Statistical Area
31300   37155      Robeson County, NC

31380           Macomb, IL Micropolitan Statistical Area
31380   17109      McDonough County, IL

31500           Madison, IN Micropolitan Statistical Area
31500   18077      Jefferson County, IN

31580           Madisonville, KY Micropolitan Statistical Area
31580   21107      Hopkins County, KY

31620           Magnolia, AR Micropolitan Statistical Area
31620   05027      Columbia County, AR

31660           Malone, NY Micropolitan Statistical Area
31660   36033      Franklin County, NY

31740           Manhattan, KS Micropolitan Statistical Area
31740   20061      Geary County, KS
31740   20149      Pottawatomie County, KS
31740   20161      Riley County, KS

31820           Manitowoc, WI Micropolitan Statistical Area
31820   55071      Manitowoc County, WI

31860           Mankato-North Mankato, MN Micropolitan Statistical Area
31860   27013      Blue Earth County, MN
