Date	1.Year.CMT	3.Year.CMT	5.Year.CMT	3.Month.TBill	6.Month.TBill	6.Month.CD
3/16/2001 	4.31 	4.43 	4.64 	4.52 	4.42 	4.78
3/23/2001 	4.17 	4.32 	4.51 	4.37 	4.22 	4.61
3/30/2001 	4.19 	4.41 	4.65 	4.20 	4.12 	4.63
4/6/2001 	4.00 	4.30 	4.60 	4.13 	4.02 	4.55
4/13/2001 	4.07 	4.41 	4.71 	3.82 	3.82 	4.53
4/20/2001 	4.04 	4.53 	4.86 	4.05 	4.06 	4.41
4/27/2001 	3.82 	4.43 	4.83 	3.66 	3.67 	4.20
5/4/2001 	3.90 	4.49 	4.91 	3.89 	3.86 	4.17
5/11/2001 	3.76 	4.38 	4.78 	3.66 	3.62 	4.00
5/18/2001 	3.76 	4.55 	4.96 	3.63 	3.64 	3.99
5/25/2001 	3.78 	4.58 	5.04 	3.54 	3.64 	3.98
6/1/2001 	3.70 	4.55 	5.00 	3.61 	3.56 	3.90
6/8/2001 	3.64 	4.42 	4.88 	3.59 	3.52 	3.84
6/15/2001 	3.59 	4.34 	4.80 	3.51 	3.51 	3.77
6/22/2001 	3.46 	4.23 	4.70 	3.44 	3.38 	3.64
6/29/2001 	3.60 	4.38 	4.82 	3.38 	3.34 	3.69
7/6/2001 	3.70 	4.47 	4.91 	3.58 	3.50 	3.81
7/13/2001 	3.62 	4.36 	4.83 	3.56 	3.50 	3.72
7/20/2001 	3.60 	4.30 	4.72 	3.55 	3.49 	3.67
7/27/2001 	3.59 	4.25 	4.69 	3.48 	3.44 	3.63
8/3/2001 	3.56 	4.14 	4.65 	3.48 	3.38 	3.60
8/10/2001 	3.50 	4.10 	4.66 	3.43 	3.35 	3.54
8/17/2001 	3.44 	4.03 	4.57 	3.35 	3.26 	3.48
8/24/2001 	3.45 	4.01 	4.53 	3.33 	3.29 	3.44
8/31/2001 	3.44 	3.94 	3.47 	3.35 	3.29 	3.42
9/7/2001 	3.43 	3.98 	4.53 	3.36 	3.31 	3.41
9/14/2001 	3.02 	3.50 	4.17 	3.18 	3.12 	3.23
9/21/2001 	2.60 	3.27 	3.96 	2.56 	2.57 	2.65
9/28/2001 	2.49 	3.22 	3.94 	2.38 	2.36 	2.48
10/5/2001 	2.40 	3.14 	3.88 	2.32 	2.33 	2.38
10/12/2001 	2.39 	3.22 	3.99 	2.18 	2.15 	2.31
10/19/2001 	2.37 	3.18 	3.94 	2.20 	2.16 	2.28
10/26/2001 	2.31 	3.15 	3.94 	2.17 	2.13 	2.20
11/2/2001 	2.11 	2.92 	3.73 	2.05 	2.01 	2.08
11/9/2001 	1.99 	2.81 	3.58 	1.98 	1.92 	1.94
11/16/2001 	2.24 	3.26 	3.97 	1.82 	1.82 	2.00
11/23/2001 	2.35 	3.51 	4.25 	1.90 	1.96 	2.11
11/30/2001 	2.23 	3.50 	4.25 	1.92 	1.99 	2.08
12/7/2001 	2.21 	3.51 	4.23 	1.74 	1.77 	1.93
12/14/2001 	2.17 	3.60 	4.41 	1.68 	1.77 	1.84
12/21/2001 	2.23 	3.68 	4.45 	1.73 	1.84 	1.91
12/28/2001 	2.28 	3.74 	4.49 	1.72 	1.85 	1.93
1/4/2002 	2.24 	3.69 	4.47 	1.71 	1.80 	1.91
1/11/2002 	2.13 	3.50 	4.31 	1.66 	1.76 	1.86
1/18/2002 	2.03 	3.38 	4.19 	1.53 	1.58 	1.73
1/25/2002 	2.18 	3.61 	4.37 	1.67 	1.74 	1.88
2/1/2002 	2.25 	3.65 	4.40 	1.72 	1.83 	1.95
2/8/2002 	2.19 	3.52 	4.30 	1.74 	1.83 	1.93
2/15/2002 	2.24 	3.56 	4.33 	1.72 	1.81 	1.94
2/22/2002 	2.24 	3.51 	4.27 	1.73 	1.83 	1.96
3/1/2002 	2.28 	3.61 	4.30 	1.74 	1.85 	1.96
3/8/2002 	2.41 	3.89 	4.55 	1.76 	1.89 	2.03
3/15/2002 	2.58 	4.16 	4.77 	1.83 	2.02 	2.16
3/22/2002 	2.66 	4.32 	4.84 	1.84 	2.07 	2.22
3/29/2002 	2.70 	4.31 	4.88 	1.82 	2.11 	2.29
4/5/2002 	2.64 	4.18 	4.79 	1.79 	2.11 	2.25
4/12/2002 	2.53 	4.05 	4.66 	1.71 	1.98 	2.15
4/19/2002 	2.42 	3.99 	4.62 	1.68 	1.91 	2.10
4/26/2002 	2.36 	3.88 	4.56 	1.69 	1.88 	2.05
5/3/2002 	2.33 	3.81 	4.52 	1.73 	1.88 	1.81
5/10/2002 	2.31 	3.76 	4.50 	1.74 	1.85 	1.84
5/17/2002 	2.40 	3.88 	4.58 	1.75 	1.87 	1.98
5/24/2002 	2.38 	3.81 	4.48 	1.73 	1.90 	1.98
5/31/2002 	2.35 	3.75 	4.40 	1.73 	1.89 	2.01
6/7/2002 	2.32 	3.67 	4.34 	1.72 	1.88 	1.99
6/14/2002 	2.24 	3.54 	4.23 	1.72 	1.85 	1.94
6/21/2002 	2.13 	3.38 	4.09 	1.70 	1.80 	1.88
6/28/2002 	2.10 	3.36 	4.08 	1.68 	1.77 	1.87
7/5/2002 	2.06 	3.31 	4.05 	1.69 	1.73 	1.87
7/12/2002 	2.00 	3.14 	3.92 	1.70 	1.74 	1.86
7/19/2002 	1.97 	3.05 	3.85 	1.68 	1.68 	1.85
7/26/2002 	1.88 	2.74 	3.56 	1.66 	1.68 	1.80
8/2/2002 	1.82 	2.68 	3.53 	1.68 	1.69 	1.79
8/9/2002 	1.67 	2.46 	3.29 	1.60 	1.56 	1.68
8/16/2002 	1.76 	2.51 	3.25 	1.63 	1.59 	1.68
8/23/2002 	1.81 	2.56 	3.32 	1.63 	1.63 	1.73
8/30/2002 	1.80 	2.56 	3.29 	1.63 	1.64 	1.76
9/6/2002 	1.70 	2.36 	3.03 	1.61 	1.58 	1.73
9/13/2002 	1.78 	2.45 	3.08 	1.65 	1.64 	1.76
9/20/2002 	1.73 	2.32 	2.93 	1.66 	1.64 	1.77
9/27/2002 	1.68 	2.22 	2.79 	1.61 	1.58 	1.72
10/4/2002 	1.55 	2.07 	2.72 	1.54 	1.48 	1.65
10/11/2002 	1.59 	2.09 	2.71 	1.59 	1.53 	1.66
10/18/2002 	1.77 	2.43 	3.15 	1.63 	1.63 	1.77
10/25/2002 	1.79 	2.50 	3.22 	1.67 	1.67 	1.78
11/1/2002 	1.51 	2.14 	2.90 	1.55 	1.52 	1.59
11/8/2002 	1.46 	2.21 	2.95 	1.41 	1.40 	1.45
11/15/2002 	1.46 	2.21 	2.93 	1.19 	1.23 	1.36
11/22/2002 	1.51 	2.39 	3.13 	1.21 	1.25 	1.37
11/29/2002 	1.55 	2.50 	3.26 	1.21 	1.27 	1.39
12/6/2002 	1.53 	2.44 	3.24 	1.21 	1.29 	1.39
12/13/2002 	1.47 	2.27 	3.06 	1.20 	1.25 	1.36
12/20/2002 	1.43 	2.23 	3.02 	1.20 	1.26 	1.36
12/27/2002 	1.41 	2.08 	2.89 	1.19 	1.24 	1.35
1/3/2003 	1.38 	2.09 	2.91 	1.19 	1.22 	1.32
1/10/2003 	1.41 	2.24 	3.12 	1.19 	1.24 	1.32
1/17/2003 	1.38 	2.21 	3.11 	1.18 	1.23 	1.31
1/24/2003 	1.32 	2.10 	2.96 	1.16 	1.19 	1.28
1/31/2003 	1.32 	2.16 	3.01 	1.14 	1.16 	1.27
2/7/2003 	1.32 	2.14 	3.02 	1.16 	1.19 	1.27
2/14/2003 	1.30 	2.06 	2.94 	1.15 	1.17 	1.26
2/21/2003 	1.30 	2.04 	2.87 	1.16 	1.18 	1.27
2/28/2003 	1.27 	1.96 	2.76 	1.18 	1.18 	1.27
3/7/2003 	1.22 	1.84 	2.61 	1.18 	1.17 	1.25
3/14/2003 	1.16 	1.85 	2.62 	1.06 	1.03 	1.15
3/21/2003 	1.32 	2.14 	2.97 	1.12 	1.11 	1.20
3/28/2003 	1.27 	2.08 	2.93 	1.15 	1.15 	1.22
4/4/2003 	1.19 	1.97 	2.84 	1.10 	1.09 	1.18
4/11/2003 	1.25 	2.05 	2.92 	1.14 	1.14 	1.20
4/18/2003 	1.33 	2.14 	2.98 	1.17 	1.18 	1.26
4/25/2003 	1.31 	2.10 	2.97 	1.16 	1.19 	1.26
5/2/2003 	1.25 	1.99 	2.88 	1.12 	1.14 	1.22
5/9/2003 	1.23 	1.86 	2.70 	1.10 	1.13 	1.21
5/16/2003 	1.20 	1.76 	2.52 	1.07 	1.10 	1.21
5/23/2003 	1.13 	1.65 	2.35 	1.02 	1.02 	1.16
5/30/2003 	1.13 	1.60 	2.32 	1.10 	1.08 	1.17
6/6/2003 	1.08 	1.53 	2.27 	1.11 	1.10 	1.13
6/13/2003 	0.97 	1.39 	2.13 	1.01 	0.98 	1.02
6/20/2003 	0.95 	1.52 	2.27 	0.84 	0.85 	0.94
6/27/2003 	1.02 	1.59 	2.36 	0.82 	0.84 	0.97
7/4/2003 	1.07 	1.67 	2.49 	0.89 	0.95 	1.05
7/11/2003 	1.08 	1.74 	2.60 	0.89 	0.94 	1.05
7/18/2003 	1.10 	1.90 	2.82 	0.88 	0.93 	1.06
7/25/2003 	1.13 	2.07 	3.08 	0.90 	0.95 	1.07
8/1/2003 	1.22 	2.27 	3.31 	0.95 	0.98 	1.10
8/8/2003 	1.26 	2.32 	3.24 	0.95 	1.03 	1.13
8/15/2003 	1.29 	2.41 	3.35 	0.94 	1.03 	1.13
8/22/2003 	1.33 	2.47 	3.39 	0.95 	1.04 	1.13
8/29/2003 	1.35 	2.55 	3.49 	0.98 	1.04 	1.14
9/5/2003 	1.33 	2.51 	3.51 	0.97 	1.04 	1.16
9/12/2003 	1.22 	2.25 	3.23 	0.94 	1.01 	1.12
9/19/2003 	1.21 	2.16 	3.10 	0.93 	1.00 	1.12
9/26/2003 	1.22 	2.15 	3.07 	0.94 	1.01 	1.12
10/3/2003 	1.17 	2.02 	2.94 	0.94 	1.01 	1.11
10/10/2003 	1.20 	2.17 	3.13 	0.92 	1.00 	1.12
10/17/2003 	1.29 	2.36 	3.32 	0.91 	0.99 	1.14
10/24/2003 	1.30 	2.36 	3.24 	0.92 	1.02 	1.16
10/31/2003 	1.30 	2.33 	3.22 	0.94 	1.02 	1.15
11/7/2003 	1.35 	2.49 	3.37 	0.94 	1.03 	1.17
11/14/2003 	1.36 	2.51 	3.36 	0.94 	1.04 	1.19
11/21/2003 	1.30 	2.35 	3.16 	0.94 	1.01 	1.16
11/28/2003 	1.35 	2.47 	3.27 	0.93 	1.01 	1.18
12/5/2003 	1.20 	1.37 	2.58 	0.93 	1.03 	3.40
12/12/2003 	1.31 	2.45 	3.27 	0.90 	1.00 	1.17
12/19/2003 	1.27 	2.38 	3.20 	0.89 	0.98 	1.15
12/26/2003 	1.28 	2.38 	3.22 	0.87 	0.97 	1.16
1/2/2004 	1.29 	2.40 	3.28 	0.89 	1.00 	1.16
1/9/2004 	1.29 	2.36 	3.24 	0.92 	1.02 	1.14
1/16/2004 	1.19 	2.16 	3.00 	0.87 	0.95 	1.10
1/23/2004 	1.20 	2.19 	3.02 	0.88 	0.95 	1.10
1/30/2004 	1.25 	2.32 	3.16 	0.89 	0.96 	1.11
2/6/2004 	1.28 	2.33 	3.16 	0.92 	1.00 	1.12
2/13/2004 	1.24 	2.25 	3.06 	0.92 	0.99 	1.11
2/20/2004 	1.23 	2.22 	3.04 	0.92 	0.98 	1.10
2/27/2004 	1.22 	2.18 	3.01 	0.93 	1.00 	1.10
3/5/2004 	1.23 	2.16 	2.98 	0.94 	0.99 	1.10
3/12/2004 	1.16 	1.94 	2.72 	0.93 	0.98 	1.08
3/19/2004 	1.18 	1.94 	2.70 	0.95 	0.99 	1.08
3/26/2004 	1.17 	1.93 	2.71 	0.93 	0.99 	1.08
4/2/2004 	1.23 	2.10 	2.91 	0.95 	0.99 	1.11
4/9/2004 	1.32 	2.37 	3.21 	0.93 	1.03 	1.16
4/16/2004 	1.41 	2.53 	3.38 	0.92 	1.03 	1.19
4/23/2004 	1.50 	2.67 	3.49 	0.94 	1.08 	1.22
4/30/2004 	1.55 	2.82 	3.60 	0.97 	1.17 	1.30
5/7/2004 	1.63 	2.96 	3.74 	0.99 	1.18 	1.34
5/14/2004 	1.83 	3.19 	3.96 	1.06 	1.34 	1.48
5/21/2004 	1.83 	3.14 	3.88 	1.04 	1.34 	1.50
5/28/2004 	1.82 	3.11 	3.83 	1.05 	1.38 	1.53
6/4/2004 	1.92 	3.19 	3.91 	1.13 	1.40 	1.61
6/11/2004 	2.07 	3.27 	3.98 	1.23 	1.51 	1.72
6/18/2004 	2.22 	3.32 	3.97 	1.39 	1.72 	1.82
6/25/2004 	2.16 	3.24 	3.89 	1.32 	1.68 	1.81
7/2/2004 	2.14 	3.16 	3.81 	1.38 	1.76 	1.84
7/9/2004 	2.04 	2.98 	3.65 	1.34 	1.67 	1.80
7/16/2004 	2.07 	2.99 	3.64 	1.32 	1.63 	1.82
7/23/2004 	2.12 	3.05 	3.67 	1.33 	1.65 	1.86
7/30/2004 	2.16 	3.16 	3.78 	1.43 	1.74 	1.92
8/6/2004 	2.07 	3.00 	3.61 	1.47 	1.74 	1.88
8/13/2004 	1.99 	2.89 	3.47 	1.47 	1.67 	1.84
8/20/2004 	1.98 	2.83 	3.41 	1.47 	1.73 	1.88
8/27/2004 	2.03 	2.86 	3.45 	1.52 	1.75 	1.94
9/3/2004 	2.03 	2.81 	3.39 	1.58 	1.78 	1.96
9/10/2004 	2.10 	2.86 	3.42 	1.64 	1.86 	2.01
9/17/2004 	2.09 	2.81 	3.35 	1.64 	1.84 	2.01
9/24/2004 	2.14 	2.81 	3.29 	1.69 	1.87 	2.06
10/1/2004 	2.20 	2.87 	3.35 	1.71 	1.95 	2.13
10/8/2004 	2.24 	2.95 	3.46 	1.69 	1.99 	2.18
10/15/2004 	2.18 	2.80 	3.31 	1.68 	1.96 	2.15
10/22/2004 	2.22 	2.81 	3.29 	1.77 	1.99 	2.18
10/29/2004 	2.27 	2.83 	3.30 	1.86 	2.04 	2.22
11/5/2004 	2.35 	2.91 	3.39 	1.95 	2.14 	2.32
11/12/2004 	2.47 	3.08 	3.53 	2.05 	2.26 	2.43
11/19/2004 	2.53 	3.12 	3.52 	2.08 	2.28 	2.49
11/26/2004 	2.60 	3.22 	3.60 	2.16 	2.37 	2.56
12/3/2004 	2.62 	3.27 	3.70 	2.20 	2.40 	2.59
12/10/2004 	2.60 	3.16 	3.56 	2.21 	2.38 	2.59
12/17/2004 	2.66 	3.18 	3.54 	2.20 	2.43 	2.67
12/24/2004 	2.71 	3.22 	3.58 	2.18 	2.47 	2.72
12/31/2004 	2.77 	3.27 	3.65 	2.23 	2.56 	2.73
1/7/2005 	2.82 	3.36 	3.71 	2.28 	2.56 	2.77
1/14/2005 	2.85 	3.39 	3.72 	2.33 	2.60 	2.83
1/21/2005 	2.87 	3.39 	3.70 	2.36 	2.64 	2.88
1/28/2005 	2.89 	3.41 	3.71 	2.32 	2.61 	2.89
2/4/2005 	2.95 	3.46 	3.72 	2.48 	2.71 	2.95
2/11/2005 	2.96 	3.44 	3.66 	2.48 	2.71 	2.96
2/18/2005 	3.05 	3.55 	3.77 	2.54 	2.76 	3.01
2/25/2005 	3.13 	3.65 	3.89 	2.62 	2.85 	3.08
3/4/2005 	3.20 	3.75 	4.00 	2.72 	2.93 	3.14
3/11/2005 	3.24 	3.85 	4.11 	2.71 	2.94 	3.17
3/18/2005 	3.31 	3.93 	4.18 	2.74 	3.00 	3.24
3/25/2005 	3.38 	4.03 	4.27 	2.80 	3.04 	3.30
4/1/2005 	3.38 	4.01 	4.24 	2.78 	3.09 	3.33
4/8/2005 	3.33 	3.90 	4.13 	2.74 	3.04 	3.33
4/15/2005 	3.32 	3.81 	4.02 	2.71 	3.07 	3.34
4/22/2005 	3.28 	3.70 	3.90 	2.81 	3.04 	3.31
4/29/2005 	3.33 	3.73 	3.91 	2.88 	3.09 	3.36
5/6/2005 	3.33 	3.72 	3.88 	2.87 	3.09 	3.39
5/13/2005 	3.35 	3.77 	3.91 	2.85 	3.12 	3.44
5/20/2005 	3.32 	3.72 	3.83 	2.80 	3.07 	3.44
5/27/2005 	3.32 	3.71 	3.81 	2.90 	3.11 	3.47
6/3/2005 	3.28 	3.60 	3.69 	2.94 	3.08 	3.48
6/10/2005 	3.30 	3.67 	3.75 	2.97 	3.06 	3.50
6/17/2005 	3.39 	3.77 	3.88 	2.98 	3.12 	3.58
6/24/2005 	3.40 	3.69 	3.77 	2.97 	3.18 	3.60
7/1/2005 	3.46 	3.69 	3.76 	3.08 	3.22 	3.65
7/8/2005 	3.52 	3.80 	3.87 	3.15 	3.33 	3.73
7/15/2005 	3.59 	3.89 	3.95 	3.14 	3.36 	3.78
7/22/2005 	3.68 	3.96 	4.02 	3.22 	3.42 	3.83
7/29/2005 	3.77 	4.02 	4.07 	3.35 	3.54 	3.87
8/5/2005 	3.84 	4.10 	4.17 	3.40 	3.60 	3.93
8/12/2005 	3.90 	4.16 	4.21 	3.46 	3.68 	3.98
8/19/2005 	3.89 	4.07 	4.11 	3.47 	3.71 	4.00
8/26/2005 	3.88 	4.04 	4.07 	3.46 	3.69 	4.01
9/2/2005 	3.77 	3.90 	3.94 	3.50 	3.71 	3.96
9/9/2005 	3.76 	3.88 	3.93 	3.44 	3.57 	3.89
9/16/2005 	3.82 	3.93 	3.98 	3.45 	3.67 	3.97
9/23/2005 	3.88 	3.98 	4.03 	3.50 	3.72 	4.04
9/30/2005 	3.97 	4.11 	4.13 	3.44 	3.75 	4.17
10/7/2005 	4.08 	4.21 	4.24 	3.53 	3.87 	4.25
10/14/2005 	4.14 	4.27 	4.31 	3.63 	3.95 	4.29
10/21/2005 	4.19 	4.28 	4.32 	3.79 	4.02 	4.32
10/28/2005 	4.26 	4.37 	4.42 	3.85 	4.07 	4.38
11/4/2005 	4.32 	4.46 	4.51 	3.89 	4.13 	4.46
11/11/2005 	4.35 	4.50 	4.52 	3.87 	4.16 	4.50
11/18/2005 	4.36 	4.45 	4.46 	3.91 	4.20 	4.53
11/25/2005 	4.30 	4.35 	4.36 	3.94 	4.16 	4.54
12/2/2005 	4.34 	4.40 	4.41 	3.90 	4.16 	4.61
12/9/2005 	4.35 	4.42 	4.43 	3.93 	4.19 	4.61
12/16/2005 	4.34 	4.39 	4.40 	3.82 	4.18 	4.62
12/23/2005 	4.37 	4.39 	4.38 	3.90 	4.22 	4.64
12/30/2005 	4.36 	4.34 	4.33 	3.91 	4.20 	4.65
1/6/2006 	4.37 	4.30 	4.30 	4.07 	4.27 	4.65
1/13/2006 	4.41 	4.34 	4.34 	4.15 	4.25 	4.68
1/20/2006 	4.43 	4.30 	4.29 	4.27 	4.32 	4.68
1/27/2006 	4.50 	4.39 	4.38 	4.29 	4.34 	4.72
2/3/2006 	4.60 	4.52 	4.49 	4.38 	4.44 	4.79
2/10/2006 	4.67 	4.61 	4.54 	4.38 	4.50 	4.86
2/17/2006 	4.70 	4.67 	4.59 	4.44 	4.54 	4.90
2/24/2006 	4.72 	4.69 	4.61 	4.45 	4.55 	4.93
3/3/2006 	4.74 	4.71 	4.66 	4.51 	4.58 	4.95
3/10/2006 	4.77 	4.78 	4.76 	4.50 	4.60 	5.00
3/17/2006 	4.76 	4.70 	4.67 	4.51 	4.65 	5.02
3/24/2006 	4.77 	4.69 	4.67 	4.55 	4.61 	5.02
3/31/2006 	4.82 	4.79 	4.78 	4.50 	4.60 	5.07
4/7/2006 	4.85 	4.84 	4.84 	4.54 	4.67 	5.12
4/14/2006 	4.91 	4.90 	4.91 	4.57 	4.70 	5.17
4/21/2006 	4.90 	4.88 	4.91 	4.60 	4.75 	5.17
4/28/2006 	4.94 	4.92 	4.95 	4.64 	4.74 	5.21
5/5/2006 	4.98 	4.96 	5.00 	4.69 	4.78 	5.22
5/12/2006 	5.01 	5.00 	5.03 	4.74 	4.83 	5.24
5/19/2006 	4.98 	4.97 	5.00 	4.74 	4.82 	5.26
5/26/2006 	4.99 	4.95 	4.95 	4.71 	4.81 	5.28
6/2/2006 	5.03 	4.99 	4.99 	4.72 	4.84 	5.31
6/9/2006 	5.04 	4.97 	4.95 	4.71 	4.82 	5.34
6/16/2006 	5.13 	5.04 	5.02 	4.80 	4.93 	5.43
6/23/2006 	5.24 	5.18 	5.16 	4.83 	5.06 	5.53
6/30/2006 	5.27 	5.21 	5.18 	4.91 	5.11 	5.57
7/7/2006 	5.27 	5.16 	5.14 	4.96 	5.09 	5.57
7/14/2006 	5.24 	5.10 	5.06 	4.93 	5.11 	5.56
7/21/2006 	5.22 	5.06 	5.03 	4.97 	5.09 	5.39
7/28/2006 	5.17 	5.01 	4.98 	4.98 	5.06 	5.52
8/4/2006 	5.10 	4.90 	4.89 	4.98 	4.98 	5.48
8/11/2006 	5.09 	4.89 	4.87 	4.99 	4.99 	5.44
8/18/2006 	5.10 	4.88 	4.85 	4.98 	5.03 	5.44
8/25/2006 	5.07 	4.80 	4.77 	4.98 	4.98 	5.43
9/1/2006 	5.03 	4.75 	4.73 	4.96 	4.97 	5.43
9/8/2006 	5.02 	4.75 	4.73 	4.86 	4.92 	5.38
9/15/2006 	5.02 	4.76 	4.73 	4.82 	4.94 	5.39
9/22/2006 	4.97 	4.69 	4.66 	4.82 	4.92 	5.37
9/29/2006 	4.90 	4.59 	4.56 	4.77 	4.81 	5.32
10/6/2006 	4.90 	4.59 	4.56 	4.77 	4.83 	5.32
10/13/2006 	5.03 	4.78 	4.74 	4.85 	4.89 	5.34
10/20/2006 	5.05 	4.78 	4.75 	4.94 	4.94 	5.36
10/27/2006 	5.07 	4.78 	4.74 	4.99 	4.98 	5.36
11/3/2006 	5.00 	4.64 	4.60 	4.98 	4.96 	5.33
11/10/2006 	5.03 	4.67 	4.62 	4.96 	4.98 	5.35
11/17/2006 	5.03 	4.68 	4.61 	4.96 	4.96 	5.33
11/24/2006 	5.01 	4.64 	4.58 	4.94 	4.94 	5.33
12/1/2006 	4.95 	4.54 	4.48 	4.91 	4.94 	5.30
12/8/2006 	4.90 	4.48 	4.44 	4.87 	4.84 	5.27
12/15/2006 	4.95 	4.58 	4.53 	4.80 	4.87 	5.32
12/22/2006 	4.96 	4.61 	4.56 	4.83 	4.89 	5.33
12/29/2006 	4.99 	4.70 	4.65 	4.88 	4.90 	5.32
1/5/2007 	4.98 	4.68 	4.65 	4.93 	4.90 	5.32
1/12/2007 	5.03 	4.74 	4.70 	4.94 	4.92 	5.33
1/19/2007 	5.08 	4.81 	4.76 	4.98 	4.95 	5.35
1/26/2007 	5.10 	4.87 	4.82 	5.00 	4.97 	5.35
2/2/2007 	5.10 	4.89 	4.85 	5.01 	4.98 	5.36
2/9/2007 	5.07 	4.80 	4.76 	5.01 	4.96 	5.35
2/16/2007 	5.07 	4.78 	4.74 	5.03 	4.97 	5.35
2/23/2007 	5.05 	4.73 	4.69 	5.04 	4.95 	5.34
3/2/2007 	4.96 	4.55 	4.51 	5.04 	4.95 	5.30
3/9/2007 	4.92 	4.51 	4.48 	4.97 	4.86 	5.27
