"","City","State","Total","1_Units","2_Units","3-4_Units"
"143","Las Cruces* NM MSA","8916",8916,0,0,0
"144","Las Vegas  NV-AZ MSA","245710",203712,5231,423,36344
"145","Lawrence* KS MSA","6391",5650,741,0,0
"146","Lawton* OK MSA","1176",1176,0,0,0
"147","Lewiston-Auburn* ME MSA","1219",1219,0,0,0
"148","Lexington* KY MSA","19894",19464,430,0,0
"149","Lima* OH MSA","99",99,0,0,0
"150","Lincoln* NE MSA","14099",12275,230,0,1594
"151","Little Rock-North Little  Rock* AR MSA","36852",30890,771,190,5001
"152","Longview-Marshall* TX MSA","1410",1410,0,0,0
"153","Los Angeles-Riverside-  Orange County  CA CMSA","625612",576752,8526,12803,27531
"154","Louisville  KY-IN MSA","67915",58427,161,178,9149
"155","Lubbock* TX MSA","6264",6064,200,0,0
"156","Lynchburg* VA MSA","14887",14407,75,270,135
"157","Macon* GA MSA","19448",18734,334,0,380
"158","Madison* WI MSA","39095",26827,1691,2754,7823
"159","Mansfield* OH MSA","3648",2929,206,0,513
"160","McAllen-Edinburg-Mission*  TX MSA","27134",24647,476,1679,332
"161","Medford-Ashland* OR MSA","13969",13020,455,0,494
"162","Melbourne-Titusville-Palm  Bay* FL MSA","41099",35912,0,75,5112
"163","Memphis  TN-AR-MS MSA","81749",55496,0,0,26253
"164","Merced* CA MSA","8155",8155,0,0,0
"165","Miami-Fort Lauderdale  FL  CMSA","204633",130687,367,18195,55384
"166","Milwaukee-Racine  WI CMSA","87117",74108,3239,300,9470
"167","Minneapolis-St. Paul  MN-WI  MSA","276418",236094,4047,6084,30193
"168","Missoula* MT MSA","3693",3579,114,0,0
"169","Mobile* AL MSA","32874",32491,0,0,383
"170","Modesto* CA MSA","36562",36562,0,0,0
"171","Monroe* LA MSA","3332",3332,0,0,0
"172","Montgomery* AL MSA","10084",10084,0,0,0
"173","Muncie* IN MSA","2589",2589,0,0,0
"174","Myrtle Beach* SC MSA","20310",17535,190,0,2585
"175","Naples* FL MSA","82509",51424,270,11974,18841
"176","Nashville  TN MSA","110880",98407,1172,152,11149
"177","New London-Norwich* CT-RI MSA","12056",12056,0,0,0
"178","New Orleans* LA MSA","33361",29284,960,0,3117
"179","New York-Northern New  Jersey-Long Island  NY-NJ-  CT-PA CMSA","546180",454201,26315,16486,49178
"180","Norfolk-Virginia Beach-  Newport News  VA-NC MSA","63490",62620,245,0,625
"181","Ocala* FL MSA","18364",18364,0,0,0
"182","Odessa-Midland* TX MSA","2528",2528,0,0,0
"183","Oklahoma City* OK MSA","30228",30228,0,0,0
"184","Omaha* NE-IA MSA","46869",32821,0,926,13122
"185","Orlando  FL MSA","239359",165493,270,890,72706
"186","Owensboro* KY MSA","3738",3738,0,0,0
"187","Panama City* FL MSA","7471",7471,0,0,0
"188","Parkersburg-Marietta* WV-OH  MSA","1765",1765,0,0,0
"189","Pensacola* FL MSA","18873",18873,0,0,0
"190","Peoria-Pekin* IL MSA","12135",11324,457,107,247
"191","Philadelphia-Wilmington-  Atlantic City  PA-NJ-DE-MD  CMSA","207416",176135,5217,3425,22639
"192","Phoenix-Mesa  AZ MSA","456933",351933,1628,4134,99238
"193","Pine Bluff* AR MSA","461",351,110,0,0
"194","Pittsburgh  PA MSA","65161",62957,727,991,486
"195","Pittsfield* MA MSA","304",304,0,0,0
"196","Pocatello* ID MSA","879",879,0,0,0
"197","Portland* ME MSA","12900",12590,310,0,0
"198","Portland-Salem  OR-WA CMSA","148783",134488,2011,2651,9633
"199","Providence-Fall River-  Warwick* RI-MA MSA","24548",23633,250,65,600
"200","Provo-Orem* UT MSA","31312",27083,301,574,3354
"201","Pueblo* CO MSA","8577",8577,0,0,0
"202","Punta Gorda* FL MSA","14280",13722,0,558,0
"203","Raleigh-Durham-Chapel Hill  NC MSA","176218",148141,1125,100,26852
"204","Rapid City* SD MSA","3546",2995,0,180,371
"205","Reading* PA MSA","9953",9846,0,0,107
"206","Redding* CA MSA","10466",10466,0,0,0
"207","Reno* NV MSA","44795",37114,0,0,7681
"208","Richland-Kennewick-Pasco*  WA MSA","10042",9539,0,254,249
"209","Richmond-Petersburg  VA MSA","47445",47344,0,0,101
"210","Roanoke* VA MSA","6583",6583,0,0,0
"211","Rochester* MN MSA","15386",11674,1556,1277,879
"212","Rochester* NY MSA","26047",22714,160,0,3173
"213","Rockford* IL MSA","12113",11653,118,0,342
"214","Rocky Mount* NC MSA","5060",4756,0,0,304
"215","Sacramento-Yolo  CA CMSA","265700",259046,0,1666,4988
"216","Saginaw-Bay City-Midland*  MI MSA","5497",4782,387,0,328
"217","St. Cloud* MN MSA","12522",9599,0,0,2923
"218","St. Joseph* MO MSA","2185",1596,269,0,320
"219","St. Louis  MO-IL MSA","113978",97686,2133,1162,12997
"220","Salinas* CA MSA","37424",36898,526,0,0
"221","Salt Lake City-Ogden  UT MSA","86948",76469,2202,2256,6021
"222","San Angelo* TX MSA","1642",1642,0,0,0
"223","San Antonio* TX MSA","102722",88677,1084,0,12961
"224","San Diego  CA MSA","185095",147060,0,8376,29659
"225","San Francisco-Oakland-San  Jose  CA CMSA","446816",322682,2262,3538,118334
"226","San Luis Obispo-Atascadero-  Paso Robles* CA MSA","23328",23328,0,0,0
"227","Santa Barbara-Santa Maria-  Lompoc* CA MSA","10629",9956,223,450,0
"228","Santa Fe* NM MSA","6885",6885,0,0,0
"229","Sarasota-Bradenton* FL MSA","65428",60572,125,1189,3542
"230","Savannah* GA MSA","18415",17476,390,0,549
"231","Scranton--Wilkes-Barre--  Hazleton* PA MSA","4972",4972,0,0,0
"232","Seattle-Tacoma-Bremerton  WA CMSA","219599",169639,3962,7487,38511
"233","Sharon* PA MSA","644",644,0,0,0
"234","Sheboygan* WI MSA","1658",1658,0,0,0
"235","Sherman-Denison* TX MSA","1075",1075,0,0,0
"236","Shreveport-Bossier City* LA  MSA","11305",11305,0,0,0
"237","Sioux City* IA-NE MSA","1673",1621,52,0,0
"238","Sioux Falls* SD MSA","15975",13978,0,0,1997
"239","South Bend* IN MSA","12375",11375,0,0,1000
"240","Spokane* WA MSA","15671",14151,208,0,1312
"241","Springfield* IL MSA","6855",5247,1243,111,254
"242","Springfield* MO MSA","16901",16571,200,130,0
"243","Springfield* MA MSA","8032",7848,184,0,0
"244","State College* PA MSA","4850",4850,0,0,0
"245","Steubenville-Weirton* OH-WV  MSA","0",0,0,0,0
"246","Stockton-Lodi* CA MSA","73291",73291,0,0,0
"247","Sumter* SC MSA","2095",1933,162,0,0
"248","Syracuse* NY MSA","8661",8566,95,0,0
"249","Tallahassee* FL MSA","12341",11905,245,191,0
"250","Tampa-St. Petersburg-  Clearwater  FL MSA","120881",114131,1892,792,4066
"251","Terre Haute* IN MSA","1516",1516,0,0,0
"252","Texarkana* TX-Texarkana  AR  MSA","1147",1147,0,0,0
"253","Toledo* OH MSA","19570",18699,111,760,0
"254","Topeka* KS MSA","9661",9471,190,0,0
"255","Tucson* AZ MSA","70181",69036,0,245,900
"256","Tulsa* OK MSA","37132",37132,0,0,0
"257","Tuscaloosa* AL MSA","6936",5868,0,0,1068
"258","Tyler* TX MSA","4830",4403,0,150,277
"259","Utica-Rome* NY MSA","1759",1759,0,0,0
"260","Victoria* TX MSA","1379",1379,0,0,0
"261","Visalia-Tulare-Porterville*  CA MSA","11240",11170,28,42,0
"262","Waco* TX MSA","4189",3778,198,0,213
"263","Washington-Baltimore  DC-MD-  VA-WV CMSA","419421",365494,327,199,53401
"264","Waterloo-Cedar Falls* IA MSA","4088",3293,0,0,795
"265","Wausau* WI MSA","7943",5703,365,815,1060
"266","West Palm Beach-Boca Raton  FL MSA","85683",68904,0,0,16779
"267","Wheeling* WV-OH MSA","139",139,0,0,0
"268","Wichita* KS MSA","17527",15965,842,720,0
"269","Wichita Falls* TX MSA","1641",1641,0,0,0
"270","Wilmington* NC MSA","23843",22749,143,0,951
"271","Yakima* WA MSA","4702",4462,0,240,0
"272","York* PA MSA","12432",12268,164,0,0
"273","Youngstown-Warren* OH MSA","18788",15409,680,846,1853
"274","Yuba City* CA MSA","5452",5452,0,0,0
"275","Yuma* AZ MSA","11911",11730,181,0,0
