"","City","State","Total","1_Units","2_Units","3-4_Units"
"136","Lafayette* LA MSA","10896",10896,0,0,0
"137","Lafayette* IN MSA","12653",11909,0,480,264
"138","Lake Charles* LA MSA","6346",6280,66,0,0
"139","Lakeland-Winter Haven* FL MSA","45480",44254,0,0,1226
"140","Lancaster* PA MSA","15946",15209,238,0,499
"141","Lansing-East Lansing* MI MSA","13550",12758,229,307,256
"142","Laredo* TX MSA","9434",8337,0,171,926
"143","Las Cruces* NM MSA","8569",7952,0,0,617
"144","Las Vegas  NV-AZ MSA","243824",230165,482,5930,7247
"145","Lawrence* KS MSA","7871",6207,1664,0,0
"146","Lawton* OK MSA","1286",1286,0,0,0
"147","Lewiston-Auburn* ME MSA","1387",1387,0,0,0
"148","Lexington* KY MSA","33868",33286,470,0,112
"149","Lima* OH MSA","415",415,0,0,0
"150","Lincoln* NE MSA","16470",15264,247,0,959
"151","Little Rock-North Little  Rock* AR MSA","34955",29485,170,0,5300
"152","Longview-Marshall* TX MSA","2456",2456,0,0,0
"153","Los Angeles-Riverside-  Orange County  CA CMSA","798261",640150,3827,10779,143505
"154","Louisville  KY-IN MSA","57767",52767,227,360,4413
"155","Lubbock* TX MSA","13056",12316,740,0,0
"156","Lynchburg* VA MSA","11410",11410,0,0,0
"157","Macon* GA MSA","15169",14679,490,0,0
"158","Madison* WI MSA","52302",27501,2731,4094,17976
"159","Mansfield* OH MSA","4588",3692,382,236,278
"160","McAllen-Edinburg-Mission*  TX MSA","25063",23528,499,696,340
"161","Medford-Ashland* OR MSA","15182",14330,0,0,852
"162","Melbourne-Titusville-Palm  Bay* FL MSA","85142",57073,0,471,27598
"163","Memphis  TN-AR-MS MSA","82325",65065,0,0,17260
"164","Merced* CA MSA","15257",15257,0,0,0
"165","Miami-Fort Lauderdale  FL  CMSA","191851",130953,1425,3889,55584
"166","Milwaukee-Racine  WI CMSA","79775",67073,3589,2465,6648
"167","Minneapolis-St. Paul  MN-WI  MSA","324431",268988,6984,8625,39834
"168","Missoula* MT MSA","2080",1752,116,212,0
"169","Mobile* AL MSA","34199",29707,250,0,4242
"170","Modesto* CA MSA","20708",20708,0,0,0
"171","Monroe* LA MSA","2477",2477,0,0,0
"172","Montgomery* AL MSA","9591",9591,0,0,0
"173","Muncie* IN MSA","3273",3273,0,0,0
"174","Myrtle Beach* SC MSA","39478",19902,437,614,18525
"175","Naples* FL MSA","66633",50712,1302,7725,6894
"176","Nashville  TN MSA","102683",100381,1264,166,872
"177","New London-Norwich* CT-RI MSA","10621",10511,110,0,0
"178","New Orleans* LA MSA","45658",30826,1182,200,13450
"179","New York-Northern New  Jersey-Long Island  NY-NJ-  CT-PA CMSA","537896",398973,46107,32729,60087
"180","Norfolk-Virginia Beach-  Newport News  VA-NC MSA","84730",76660,1896,2065,4109
"181","Ocala* FL MSA","25331",25212,119,0,0
"182","Odessa-Midland* TX MSA","2288",2288,0,0,0
"183","Oklahoma City* OK MSA","136145",52158,187,0,83800
"184","Omaha* NE-IA MSA","29319",28814,505,0,0
"185","Orlando  FL MSA","210579",201937,991,1380,6271
"186","Owensboro* KY MSA","3553",3482,71,0,0
"187","Panama City* FL MSA","11241",10745,120,0,376
"188","Parkersburg-Marietta* WV-OH  MSA","2396",2306,0,90,0
"189","Pensacola* FL MSA","29573",29194,379,0,0
"190","Peoria-Pekin* IL MSA","10676",10676,0,0,0
"191","Philadelphia-Wilmington-  Atlantic City  PA-NJ-DE-MD  CMSA","221656",177920,2873,1074,39789
"192","Phoenix-Mesa  AZ MSA","349814",342765,310,1651,5088
"193","Pine Bluff* AR MSA","1060",981,79,0,0
"194","Pittsburgh  PA MSA","72631",63324,443,975,7889
"195","Pittsfield* MA MSA","941",941,0,0,0
"196","Pocatello* ID MSA","1464",1159,0,305,0
"197","Portland* ME MSA","17974",17110,425,245,194
"198","Portland-Salem  OR-WA CMSA","184999",160601,2077,1166,21155
"199","Providence-Fall River-  Warwick* RI-MA MSA","26215",23647,462,2106,0
"200","Provo-Orem* UT MSA","31386",25310,1840,936,3300
"201","Pueblo* CO MSA","10654",10381,273,0,0
"202","Punta Gorda* FL MSA","22292",21156,320,816,0
"203","Raleigh-Durham-Chapel Hill  NC MSA","156146",144635,3567,425,7519
"204","Rapid City* SD MSA","3621",3385,0,236,0
"205","Reading* PA MSA","11364",11051,0,142,171
"206","Redding* CA MSA","13537",13537,0,0,0
"207","Reno* NV MSA","61171",46739,0,65,14367
"208","Richland-Kennewick-Pasco*  WA MSA","13100",12774,0,326,0
"209","Richmond-Petersburg  VA MSA","75780",71510,73,125,4072
"210","Roanoke* VA MSA","6665",6191,84,0,390
"211","Rochester* MN MSA","15200",15200,0,0,0
"212","Rochester* NY MSA","26723",23318,1120,900,1385
"213","Rockford* IL MSA","12424",11527,356,335,206
"214","Rocky Mount* NC MSA","5626",4924,235,0,467
"215","Sacramento-Yolo  CA CMSA","269196",221943,821,0,46432
"216","Saginaw-Bay City-Midland*  MI MSA","6144",4683,416,332,713
"217","St. Cloud* MN MSA","9327",9327,0,0,0
"218","St. Joseph* MO MSA","1782",1578,0,0,204
"219","St. Louis  MO-IL MSA","125169",114964,3858,2360,3987
"220","Salinas* CA MSA","14895",14895,0,0,0
"221","Salt Lake City-Ogden  UT MSA","101542",85434,579,512,15017
"222","San Angelo* TX MSA","2434",2434,0,0,0
"223","San Antonio* TX MSA","123959",108540,538,1028,13853
"224","San Diego  CA MSA","200112",132715,1359,2161,63877
"225","San Francisco-Oakland-San  Jose  CA CMSA","271387",233954,3492,2738,31203
"226","San Luis Obispo-Atascadero-  Paso Robles* CA MSA","21218",20794,234,0,190
"227","Santa Barbara-Santa Maria-  Lompoc* CA MSA","25914",25914,0,0,0
"228","Santa Fe* NM MSA","10571",10571,0,0,0
"229","Sarasota-Bradenton* FL MSA","108554",89441,406,120,18587
"230","Savannah* GA MSA","14012",13527,485,0,0
"231","Scranton--Wilkes-Barre--  Hazleton* PA MSA","6614",6083,0,531,0
"232","Seattle-Tacoma-Bremerton  WA CMSA","245429",177724,4506,2503,60696
"233","Sharon* PA MSA","1514",1138,0,0,376
"234","Sheboygan* WI MSA","190",190,0,0,0
"235","Sherman-Denison* TX MSA","2215",1840,375,0,0
"236","Shreveport-Bossier City* LA  MSA","12801",12801,0,0,0
"237","Sioux City* IA-NE MSA","1353",1353,0,0,0
"238","Sioux Falls* SD MSA","21808",15532,0,187,6089
"239","South Bend* IN MSA","10232",10232,0,0,0
"240","Spokane* WA MSA","17360",13559,263,878,2660
"241","Springfield* IL MSA","8001",6937,872,0,192
"242","Springfield* MO MSA","23716",19949,608,201,2958
"243","Springfield* MA MSA","9387",8853,240,294,0
"244","State College* PA MSA","3519",3378,70,0,71
"245","Steubenville-Weirton* OH-WV  MSA","945",645,300,0,0
"246","Stockton-Lodi* CA MSA","40178",40178,0,0,0
"247","Sumter* SC MSA","3617",2397,0,0,1220
"248","Syracuse* NY MSA","9420",8103,140,0,1177
"249","Tallahassee* FL MSA","18553",18553,0,0,0
"250","Tampa-St. Petersburg-  Clearwater  FL MSA","133082",127291,1467,752,3572
"251","Terre Haute* IN MSA","2771",2771,0,0,0
"252","Texarkana* TX-Texarkana  AR  MSA","1610",1610,0,0,0
"253","Toledo* OH MSA","21403",20465,0,938,0
"254","Topeka* KS MSA","6625",6145,480,0,0
"255","Tucson* AZ MSA","87838",79431,399,1037,6971
"256","Tulsa* OK MSA","32353",32353,0,0,0
"257","Tuscaloosa* AL MSA","6290",6290,0,0,0
"258","Tyler* TX MSA","4820",4589,0,0,231
"259","Utica-Rome* NY MSA","1085",1085,0,0,0
"260","Victoria* TX MSA","1647",1647,0,0,0
"261","Visalia-Tulare-Porterville*  CA MSA","14286",13993,117,176,0
"262","Waco* TX MSA","3450",2450,0,0,1000
"263","Washington-Baltimore  DC-MD-  VA-WV CMSA","471818",407451,232,192,63943
"264","Waterloo-Cedar Falls* IA MSA","2904",1748,0,630,526
"265","Wausau* WI MSA","5044",4516,528,0,0
"266","West Palm Beach-Boca Raton  FL MSA","111219",89958,3541,1055,16665
"267","Wheeling* WV-OH MSA","188",188,0,0,0
"268","Wichita* KS MSA","17922",16070,1852,0,0
"269","Wichita Falls* TX MSA","2095",2095,0,0,0
"270","Wilmington* NC MSA","29799",29558,0,0,241
"271","Yakima* WA MSA","2969",2096,419,454,0
"272","York* PA MSA","14869",14705,164,0,0
"273","Youngstown-Warren* OH MSA","12646",11186,660,515,285
"274","Yuba City* CA MSA","9112",8906,206,0,0
"275","Yuma* AZ MSA","8383",8383,0,0,0
