"","City","State","Total","1_Units","2_Units","3-4_Units"
"40","Champaign-Urbana* IL MSA","6159",4879,0,0,1280
"41","Charleston-North  Charleston* SC MSA","51107",41674,6472,0,2961
"42","Charleston* WV MSA","3071",2506,0,0,565
"43","Charlotte-Gastonia-Rock  Hill  NC-SC MSA","165025",126824,88,1835,36278
"44","Charlottesville* VA MSA","11596",11042,554,0,0
"45","Chattanooga* TN-GA MSA","20585",20342,0,0,243
"46","Cheyenne* WY MSA","3555",3152,77,0,326
"47","Chicago-Gary-Kenosha  IL-IN-  WI CMSA","361911",309730,911,12284,38986
"48","Chico-Paradise* CA MSA","5780",5780,0,0,0
"49","Cincinnati-Hamilton  OH-KY-  IN CMSA","85118",77771,1073,1717,4557
"50","Clarksville-Hopkinsville*  TN-KY MSA","9094",8744,0,0,350
"51","Cleveland-Akron  OH CMSA","106896",99770,1865,1918,3343
"52","Colorado Springs* CO MSA","55781",41518,0,456,13807
"53","Columbia* MO MSA","8349",8029,0,0,320
"54","Columbia* SC MSA","30062",29707,0,0,355
"55","Columbus* GA-AL MSA","10083",9613,0,173,297
"56","Columbus  OH MSA","109221",92850,737,4696,10938
"57","Corpus Christi* TX MSA","8726",8018,99,187,422
"58","Cumberland* MD-WV MSA","898",898,0,0,0
"59","Dallas-Fort Worth  TX CMSA","425404",415320,304,423,9357
"60","Danville* VA MSA","3283",3283,0,0,0
"61","Davenport-Moline-Rock  Island* IA-IL MSA","4977",4346,0,328,303
"62","Dayton-Springfield* OH MSA","18950",18489,0,461,0
"63","Daytona Beach* FL MSA","35090",33884,391,0,815
"64","Decatur* Al MSA","3426",3321,0,0,105
"65","Decatur* IL MSA","1197",1197,0,0,0
"66","Denver-Boulder-Greeley  CO  CMSA","267217",240928,905,1566,23818
"67","Des Moines* IA MSA","21456",18523,0,843,2090
"68","Detroit-Ann Arbor-Flint  MI  CMSA","204556",194640,3630,1668,4618
"69","Dothan* AL MSA","2245",2245,0,0,0
"70","Dover* DE MSA","6357",6357,0,0,0
"71","Dubuque* IA MSA","2706",1618,148,0,940
"72","Duluth-Superior* MN-WI MSA","2689",2257,116,0,316
"73","Eau Claire* WI MSA","3357",3222,135,0,0
"74","El Paso* TX MSA","20676",14385,443,5848,0
"75","Elkhart-Goshen* IN MSA","7167",7167,0,0,0
"76","Elmira* NY MSA","492",492,0,0,0
"77","Enid* OK MSA","1218",1218,0,0,0
"78","Erie* PA MSA","2826",2826,0,0,0
"79","Eugene-Springfield* OR MSA","14295",13322,418,225,330
"80","Evansville-Henderson* IN-KY  MSA","10359",9145,214,0,1000
"81","Fargo-Moorhead* ND-MN MSA","887",637,250,0,0
"82","Fayetteville* NC MSA","12819",6672,0,0,6147
"83","Fayetteville-Springdale-  Rogers* AR MSA","26768",18555,83,250,7880
"84","Flagstaff* AZ-UT MSA","4886",4886,0,0,0
"85","Florence* AL MSA","2001",2001,0,0,0
"86","Florence* SC MSA","4124",3820,0,0,304
"87","Fort Collins-Loveland* CO MSA","28050",25906,0,404,1740
"88","Fort Myers-Cape Coral* FL MSA","101139",64229,3257,8842,24811
"89","Fort Pierce-Port St. Lucie*  FL MSA","23010",22792,218,0,0
"90","Fort Smith* AR-OK MSA","5360",4897,463,0,0
"91","Fort Walton Beach* FL MSA","13560",10223,0,0,3337
"92","Fort Wayne* IN MSA","23035",23035,0,0,0
"93","Fresno  CA MSA","26943",23555,118,0,3270
"94","Gadsden* AL MSA","791",791,0,0,0
"95","Gainesville* FL MSA","12275",8859,0,98,3318
"96","Glens Falls* NY MSA","2398",2095,0,0,303
"97","Goldsboro* NC MSA","3545",2971,148,426,0
"98","Grand Forks* ND-MN MSA","165",165,0,0,0
"99","Grand Junction* CO MSA","8342",7348,569,201,224
"100","Grand Rapids-Muskegon-  Holland  MI MSA","49244",44071,342,628,4203
"101","Great Falls* MT MSA","390",390,0,0,0
"102","Green Bay* WI MSA","9521",8206,1127,0,188
"103","Greensboro--Winston-Salem--  High Point  NC MSA","93562",80401,159,120,12882
"104","Greenville* NC MSA","12233",6706,974,0,4553
"105","Greenville-Spartanburg-  Anderson* SC MSA","54670",51975,88,0,2607
"106","Harrisburg-Lebanon-  Carlisle* PA MSA","9530",9530,0,0,0
"107","Hartford* CT MSA","23671",23448,96,0,127
"108","Hattiesburg* MS MSA","1013",1013,0,0,0
"109","Hickory-Morganton-Lenoir*  NC MSA","24385",20802,0,0,3583
"110","Honolulu  HI MSA","11748",9452,2296,0,0
"111","Houma* LA MSA","6450",6450,0,0,0
"112","Houston-Galveston-Brazoria  TX CMSA","339873",308720,232,682,30239
"113","Huntington-Ashland* WV-KY-  OH MSA","345",345,0,0,0
"114","Huntsville* AL MSA","6273",5883,0,152,238
"115","Indianapolis  IN MSA","124504",122940,1287,277,0
"116","Iowa City* IA MSA","8281",4301,350,0,3630
"117","Jackson* MI MSA","836",836,0,0,0
"118","Jackson* MS MSA","22468",21311,0,0,1157
"119","Jackson* TN MSA","7461",7461,0,0,0
"120","Jacksonville  FL MSA","90055",80825,0,0,9230
"121","Jacksonville* NC MSA","4626",4626,0,0,0
"122","Jamestown* NY MSA","88",88,0,0,0
"123","Janesville-Beloit* WI MSA","2376",2118,83,0,175
"124","Johnson City-Kingsport-  Bristol* TN-VA MSA","8969",8480,240,0,249
"125","Johnstown* PA MSA","0",0,0,0,0
"126","Jonesboro* AR MSA","2452",2258,194,0,0
"127","Joplin* MO MSA","1311",1311,0,0,0
"128","Kalamazoo-Battle Creek* MI  MSA","11277",11010,0,0,267
"129","Kansas City  MO-KS MSA","125521",113521,2725,1501,7774
"130","Killeen-Temple* TX MSA","12822",10940,1380,502,0
"131","Knoxville* TN MSA","29141",25460,108,177,3396
"132","Kokomo* IN MSA","3667",3404,263,0,0
"133","La Crosse* WI-MN MSA","3240",2246,615,0,379
"134","Lafayette* LA MSA","13641",13641,0,0,0
"135","Lafayette* IN MSA","5607",3808,490,692,617
"136","Lake Charles* LA MSA","5944",5618,0,0,326
"137","Lakeland-Winter Haven* FL MSA","17153",16751,402,0,0
"138","Lancaster* PA MSA","10788",10788,0,0,0
"139","Lansing-East Lansing* MI MSA","12430",11618,812,0,0
"140","Laredo* TX MSA","6433",6148,0,73,212
"141","Las Cruces* NM MSA","7825",5750,0,0,2075
"142","Las Vegas  NV-AZ MSA","240352",209535,967,1419,28431
"143","Lawrence* KS MSA","7782",3955,474,0,3353
"144","Lawton* OK MSA","1811",1811,0,0,0
"145","Lewiston-Auburn* ME MSA","1011",1011,0,0,0
"146","Lexington* KY MSA","29618",27968,450,1200,0
"147","Lima* OH MSA","787",787,0,0,0
"148","Lincoln* NE MSA","12525",10388,212,0,1925
"149","Little Rock-North Little  Rock* AR MSA","31736",30306,1100,330,0
"150","Longview-Marshall* TX MSA","2907",2907,0,0,0
"151","Los Angeles-Riverside-  Orange County  CA CMSA","601486",495337,4564,12294,89291
"152","Louisville  KY-IN MSA","53777",48670,60,461,4586
"153","Lubbock* TX MSA","5973",5441,114,115,303
"154","Lynchburg* VA MSA","9908",9768,140,0,0
"155","Macon* GA MSA","13411",13411,0,0,0
"156","Madison* WI MSA","34163",19788,3206,2567,8602
"157","Mansfield* OH MSA","3031",2718,0,150,163
"158","McAllen-Edinburg-Mission*  TX MSA","18956",17371,370,468,747
"159","Medford-Ashland* OR MSA","10126",9836,132,158,0
"160","Melbourne-Titusville-Palm  Bay* FL MSA","34867",34359,312,196,0
"161","Memphis  TN-AR-MS MSA","70636",63799,4764,0,2073
"162","Merced* CA MSA","7257",7257,0,0,0
"163","Miami-Fort Lauderdale  FL  CMSA","219301",131416,1335,420,86130
"164","Milwaukee-Racine  WI CMSA","55198",49401,3361,409,2027
"165","Minneapolis-St. Paul  MN-WI  MSA","229275",178127,5400,3135,42613
"166","Missoula* MT MSA","3331",1537,675,0,1119
"167","Mobile* AL MSA","40053",34871,760,0,4422
"168","Modesto* CA MSA","22871",22465,177,0,229
"169","Monroe* LA MSA","4998",4950,48,0,0
"170","Montgomery* AL MSA","12042",11886,0,0,156
"171","Muncie* IN MSA","1403",1403,0,0,0
"172","Myrtle Beach* SC MSA","28477",19224,257,461,8535
"173","Naples* FL MSA","69165",43173,80,8017,17895
"174","Nashville  TN MSA","111181",95127,1194,526,14334
"175","New London-Norwich* CT-RI MSA","6442",6442,0,0,0
"176","New Orleans* LA MSA","32912",31909,0,206,797
"177","New York-Northern New  Jersey-Long Island  NY-NJ-  CT-PA CMSA","386533",287152,22162,4192,73027
"178","Norfolk-Virginia Beach-  Newport News  VA-NC MSA","66771",61891,1270,0,3610
"179","Ocala* FL MSA","29021",29021,0,0,0
"180","Odessa-Midland* TX MSA","9459",2599,0,0,6860
"181","Oklahoma City* OK MSA","69947",48701,1278,0,19968
"182","Omaha* NE-IA MSA","37789",24573,0,0,13216
"183","Orlando  FL MSA","162942",127132,374,571,34865
"184","Owensboro* KY MSA","4945",2428,0,0,2517
"185","Panama City* FL MSA","6405",6405,0,0,0
"186","Parkersburg-Marietta* WV-OH  MSA","872",752,0,120,0
"187","Pensacola* FL MSA","22346",21533,813,0,0
"188","Peoria-Pekin* IL MSA","8429",7808,221,0,400
"189","Philadelphia-Wilmington-  Atlantic City  PA-NJ-DE-MD  CMSA","154788",143206,3090,1270,7222
"190","Phoenix-Mesa  AZ MSA","412394",344923,1020,6371,60080
"191","Pine Bluff* AR MSA","430",430,0,0,0
"192","Pittsburgh  PA MSA","49180",34181,159,359,14481
"193","Pittsfield* MA MSA","0",0,0,0,0
"194","Pocatello* ID MSA","401",401,0,0,0
"195","Portland* ME MSA","10876",10876,0,0,0
"196","Portland-Salem  OR-WA CMSA","159985",117875,2519,3682,35909
"197","Providence-Fall River-  Warwick* RI-MA MSA","17768",16664,258,846,0
"198","Provo-Orem* UT MSA","28929",27754,975,0,200
"199","Pueblo* CO MSA","7709",7109,0,0,600
"200","Punta Gorda* FL MSA","11167",10119,133,286,629
"201","Raleigh-Durham-Chapel Hill  NC MSA","198577",163407,1581,1276,32313
"202","Rapid City* SD MSA","3322",2231,0,212,879
"203","Reading* PA MSA","7083",7003,80,0,0
"204","Redding* CA MSA","5495",5495,0,0,0
"205","Reno* NV MSA","22128",20855,0,0,1273
"206","Richland-Kennewick-Pasco*  WA MSA","7024",7024,0,0,0
"207","Richmond-Petersburg  VA MSA","51500",51007,0,0,493
"208","Roanoke* VA MSA","12688",7453,128,0,5107
"209","Rochester* MN MSA","7729",6163,219,330,1017
"210","Rochester* NY MSA","22188",20573,0,0,1615
"211","Rockford* IL MSA","11917",9332,470,1665,450
"212","Rocky Mount* NC MSA","3310",3310,0,0,0
"213","Sacramento-Yolo  CA CMSA","149460",113381,353,0,35726
"214","Saginaw-Bay City-Midland*  MI MSA","4591",3918,340,333,0
"215","St. Cloud* MN MSA","4390",3749,0,0,641
"216","St. Joseph* MO MSA","1549",1156,109,122,162
"217","St. Louis  MO-IL MSA","97400",93114,2217,526,1543
"218","Salinas* CA MSA","26495",26408,87,0,0
"219","Salt Lake City-Ogden  UT MSA","71492",67864,1147,612,1869
"220","San Angelo* TX MSA","3013",2868,145,0,0
"221","San Antonio* TX MSA","75427",59882,585,231,14729
"222","San Diego  CA MSA","149614",124798,672,793,23351
"223","San Francisco-Oakland-San  Jose  CA CMSA","269449",207629,778,6426,54616
"224","San Luis Obispo-Atascadero-  Paso Robles* CA MSA","13956",13956,0,0,0
"225","Santa Barbara-Santa Maria-  Lompoc* CA MSA","11607",8078,0,0,3529
"226","Santa Fe* NM MSA","4327",4327,0,0,0
"227","Sarasota-Bradenton* FL MSA","62430",55938,755,254,5483
"228","Savannah* GA MSA","19686",14980,167,0,4539
"229","Scranton--Wilkes-Barre--  Hazleton* PA MSA","2162",1962,0,200,0
"230","Seattle-Tacoma-Bremerton  WA CMSA","226929",157520,5193,3412,60804
"231","Sharon* PA MSA","1005",1005,0,0,0
"232","Sheboygan* WI MSA","1210",676,156,0,378
"233","Sherman-Denison* TX MSA","546",546,0,0,0
"234","Shreveport-Bossier City* LA  MSA","10765",10765,0,0,0
"235","Sioux City* IA-NE MSA","1328",1328,0,0,0
"236","Sioux Falls* SD MSA","10432",8397,300,220,1515
"237","South Bend* IN MSA","9025",7125,200,0,1700
"238","Spokane* WA MSA","8478",7983,292,203,0
"239","Springfield* IL MSA","6076",5659,417,0,0
"240","Springfield* MO MSA","23058",21248,330,0,1480
"241","Springfield* MA MSA","2178",2178,0,0,0
"242","State College* PA MSA","2425",2315,110,0,0
"243","Steubenville-Weirton* OH-WV  MSA","62",62,0,0,0
"244","Stockton-Lodi* CA MSA","38978",38740,0,238,0
"245","Sumter* SC MSA","2639",2261,229,0,149
"246","Syracuse* NY MSA","4319",4217,102,0,0
"247","Tallahassee* FL MSA","23487",13370,232,0,9885
"248","Tampa-St. Petersburg-  Clearwater  FL MSA","135421",102653,3063,2447,27258
"249","Terre Haute* IN MSA","2235",2235,0,0,0
"250","Texarkana* TX-Texarkana  AR  MSA","2126",2126,0,0,0
"251","Toledo* OH MSA","12097",11193,154,0,750
"252","Topeka* KS MSA","4264",4164,100,0,0
"253","Tucson* AZ MSA","72993",71757,1236,0,0
"254","Tulsa* OK MSA","33908",33635,0,0,273
"255","Tuscaloosa* AL MSA","7407",7407,0,0,0
"256","Tyler* TX MSA","4673",4442,0,0,231
"257","Utica-Rome* NY MSA","396",396,0,0,0
"258","Victoria* TX MSA","2282",2282,0,0,0
"259","Visalia-Tulare-Porterville*  CA MSA","8704",8704,0,0,0
"260","Waco* TX MSA","7798",7048,0,0,750
"261","Washington-Baltimore  DC-MD-  VA-WV CMSA","350180",327857,80,265,21978
"262","Waterloo-Cedar Falls* IA MSA","1898",1898,0,0,0
"263","Wausau* WI MSA","3441",2833,128,480,0
"264","West Palm Beach-Boca Raton  FL MSA","75702",70509,481,0,4712
"265","Wheeling* WV-OH MSA","0",0,0,0,0
"266","Wichita* KS MSA","14737",14530,207,0,0
"267","Wichita Falls* TX MSA","1304",1304,0,0,0
"268","Wilmington* NC MSA","21139",20741,152,0,246
"269","Yakima* WA MSA","3020",2726,74,0,220
"270","York* PA MSA","11678",11388,290,0,0
"271","Youngstown-Warren* OH MSA","10081",8329,560,652,540
"272","Yuba City* CA MSA","2340",2171,169,0,0
"273","Yuma* AZ MSA","8509",8432,77,0,0
