"","City","State","Total","1_Units","2_Units","3-4_Units"
"190","Peoria-Pekin* IL MSA","14406",13511,0,0,895
"191","Philadelphia-Wilmington-  Atlantic City  PA-NJ-DE-MD  CMSA","214413",169263,5010,2297,37843
"192","Phoenix-Mesa  AZ MSA","468616",417365,417,3153,47681
"193","Pine Bluff* AR MSA","706",706,0,0,0
"194","Pittsburgh  PA MSA","81856",58121,288,1065,22382
"195","Pittsfield* MA MSA","0",0,0,0,0
"196","Pocatello* ID MSA","2163",1672,491,0,0
"197","Portland* ME MSA","15611",14927,284,400,0
"198","Portland-Salem  OR-WA CMSA","189204",180030,2053,580,6541
"199","Providence-Fall River-  Warwick* RI-MA MSA","27882",25078,2306,298,200
"200","Provo-Orem* UT MSA","37232",32306,1115,1080,2731
"201","Pueblo* CO MSA","14743",14018,725,0,0
"202","Punta Gorda* FL MSA","15888",15429,219,0,240
"203","Raleigh-Durham-Chapel Hill  NC MSA","221977",195151,418,636,25772
"204","Rapid City* SD MSA","4220",3808,209,0,203
"205","Reading* PA MSA","7406",7006,0,0,400
"206","Redding* CA MSA","12468",12468,0,0,0
"207","Reno* NV MSA","49626",49145,56,0,425
"208","Richland-Kennewick-Pasco*  WA MSA","12920",12596,324,0,0
"209","Richmond-Petersburg  VA MSA","95074",72482,122,0,22470
"210","Roanoke* VA MSA","12946",10083,0,0,2863
"211","Rochester* MN MSA","14683",11664,894,642,1483
"212","Rochester* NY MSA","25130",24737,0,0,393
"213","Rockford* IL MSA","17645",15926,111,259,1349
"214","Rocky Mount* NC MSA","5067",4465,135,0,467
"215","Sacramento-Yolo  CA CMSA","243408",226166,199,1904,15139
"216","Saginaw-Bay City-Midland*  MI MSA","6149",5620,202,0,327
"217","St. Cloud* MN MSA","9083",8519,0,249,315
"218","St. Joseph* MO MSA","2025",1821,0,0,204
"219","St. Louis  MO-IL MSA","155815",134556,2843,980,17436
"220","Salinas* CA MSA","24234",24234,0,0,0
"221","Salt Lake City-Ogden  UT MSA","88428",82771,855,2194,2608
"222","San Angelo* TX MSA","2074",2074,0,0,0
"223","San Antonio* TX MSA","98650",84247,136,0,14267
"224","San Diego  CA MSA","341035",277232,3141,6803,53859
"225","San Francisco-Oakland-San  Jose  CA CMSA","305716",229463,2592,3757,69904
"226","San Luis Obispo-Atascadero-  Paso Robles* CA MSA","32146",30946,178,0,1022
"227","Santa Barbara-Santa Maria-  Lompoc* CA MSA","9703",9703,0,0,0
"228","Santa Fe* NM MSA","9638",9404,0,0,234
"229","Sarasota-Bradenton* FL MSA","91483",86949,500,2000,2034
"230","Savannah* GA MSA","21576",19950,242,0,1384
"231","Scranton--Wilkes-Barre--  Hazleton* PA MSA","6835",6486,0,349,0
"232","Seattle-Tacoma-Bremerton  WA CMSA","280045",230247,5279,3808,40711
"233","Sharon* PA MSA","551",551,0,0,0
"234","Sheboygan* WI MSA","647",647,0,0,0
"235","Sherman-Denison* TX MSA","943",783,160,0,0
"236","Shreveport-Bossier City* LA  MSA","13000",13000,0,0,0
"237","Sioux City* IA-NE MSA","1830",1734,0,96,0
"238","Sioux Falls* SD MSA","19621",15062,0,720,3839
"239","South Bend* IN MSA","12553",12553,0,0,0
"240","Spokane* WA MSA","18552",15248,189,144,2971
"241","Springfield* IL MSA","7912",6988,732,0,192
"242","Springfield* MO MSA","24850",22992,550,201,1107
"243","Springfield* MA MSA","10971",10886,85,0,0
"244","State College* PA MSA","5919",5919,0,0,0
"245","Steubenville-Weirton* OH-WV  MSA","790",790,0,0,0
"246","Stockton-Lodi* CA MSA","63662",63387,275,0,0
"247","Sumter* SC MSA","3905",2685,0,0,1220
"248","Syracuse* NY MSA","10489",9591,0,600,298
"249","Tallahassee* FL MSA","21918",19471,507,514,1426
"250","Tampa-St. Petersburg-  Clearwater  FL MSA","178446",165169,2001,1721,9555
"251","Terre Haute* IN MSA","2771",2771,0,0,0
"252","Texarkana* TX-Texarkana  AR  MSA","2405",2405,0,0,0
"253","Toledo* OH MSA","33584",28492,171,0,4921
"254","Topeka* KS MSA","7737",7576,161,0,0
"255","Tucson* AZ MSA","100877",79896,0,345,20636
"256","Tulsa* OK MSA","44201",44201,0,0,0
"257","Tuscaloosa* AL MSA","11058",11058,0,0,0
"258","Tyler* TX MSA","5500",5119,0,150,231
"259","Utica-Rome* NY MSA","1000",1000,0,0,0
"260","Victoria* TX MSA","2056",2056,0,0,0
"261","Visalia-Tulare-Porterville*  CA MSA","15690",15330,189,171,0
"262","Waco* TX MSA","4699",4116,414,0,169
"263","Washington-Baltimore  DC-MD-  VA-WV CMSA","443710",394438,499,99,48674
"264","Waterloo-Cedar Falls* IA MSA","6841",3727,785,277,2052
"265","Wausau* WI MSA","4429",4179,0,250,0
"266","West Palm Beach-Boca Raton  FL MSA","84317",80423,525,3369,0
"267","Wheeling* WV-OH MSA","138",138,0,0,0
"268","Wichita* KS MSA","21781",21305,476,0,0
"269","Wichita Falls* TX MSA","2158",2158,0,0,0
"270","Wilmington* NC MSA","34442",26665,0,1161,6616
"271","Yakima* WA MSA","3856",3503,0,353,0
"272","York* PA MSA","12248",12084,164,0,0
"273","Youngstown-Warren* OH MSA","10452",8934,786,447,285
"274","Yuba City* CA MSA","7038",6846,192,0,0
"275","Yuma* AZ MSA","7015",7015,0,0,0
