"","City","State","Total","1_Units","2_Units","3-4_Units"
"175","Naples* FL MSA","94937",40794,163,3964,50016
"176","Nashville  TN MSA","197053",186096,292,0,10665
"177","New London-Norwich* CT-RI MSA","9279",9279,0,0,0
"178","New Orleans* LA MSA","43658",41676,958,201,823
"179","New York-Northern New  Jersey-Long Island  NY-NJ-  CT-PA CMSA","550509",371844,39922,36003,102740
"180","Norfolk-Virginia Beach-  Newport News  VA-NC MSA","85003",76844,0,0,8159
"181","Ocala* FL MSA","59046",59046,0,0,0
"182","Odessa-Midland* TX MSA","6213",6213,0,0,0
"183","Oklahoma City* OK MSA","57081",56797,284,0,0
"184","Omaha* NE-IA MSA","36766",30606,0,0,6160
"185","Orlando  FL MSA","238506",199179,0,234,39093
"186","Owensboro* KY MSA","5265",5188,77,0,0
"187","Panama City* FL MSA","10570",10570,0,0,0
"188","Parkersburg-Marietta* WV-OH  MSA","710",532,178,0,0
"189","Pensacola* FL MSA","28833",20242,0,0,8591
"190","Peoria-Pekin* IL MSA","12111",9970,650,1091,400
"191","Philadelphia-Wilmington-  Atlantic City  PA-NJ-DE-MD  CMSA","174449",165150,3400,855,5044
"192","Phoenix-Mesa  AZ MSA","471886",4e+05,0,2870,69016
"193","Pine Bluff* AR MSA","662",584,78,0,0
"194","Pittsburgh  PA MSA","60432",53501,1381,2592,2958
"195","Pittsfield* MA MSA","520",520,0,0,0
"196","Pocatello* ID MSA","1682",1682,0,0,0
"197","Portland* ME MSA","19348",14067,388,1393,3500
"198","Portland-Salem  OR-WA CMSA","164984",138581,3331,1596,21476
"199","Providence-Fall River-  Warwick* RI-MA MSA","22826",20964,829,559,474
"200","Provo-Orem* UT MSA","27771",24477,538,0,2756
"201","Pueblo* CO MSA","9245",6429,2816,0,0
"202","Punta Gorda* FL MSA","23788",21494,279,0,2015
"203","Raleigh-Durham-Chapel Hill  NC MSA","166455",153284,517,621,12033
"204","Rapid City* SD MSA","4321",4321,0,0,0
"205","Reading* PA MSA","6624",5869,0,431,324
"206","Redding* CA MSA","7457",7457,0,0,0
"207","Reno* NV MSA","38517",36034,171,0,2312
"208","Richland-Kennewick-Pasco*  WA MSA","11964",10796,0,559,609
"209","Richmond-Petersburg  VA MSA","78219",68651,58,0,9510
"210","Roanoke* VA MSA","5621",5284,0,0,337
"211","Rochester* MN MSA","15478",15478,0,0,0
"212","Rochester* NY MSA","21857",21155,0,330,372
"213","Rockford* IL MSA","12069",10387,876,806,0
"214","Rocky Mount* NC MSA","2954",2954,0,0,0
"215","Sacramento-Yolo  CA CMSA","280896",251244,490,11536,17626
"216","Saginaw-Bay City-Midland*  MI MSA","4906",4291,222,0,393
"217","St. Cloud* MN MSA","8084",5653,0,0,2431
"218","St. Joseph* MO MSA","1469",1309,160,0,0
"219","St. Louis  MO-IL MSA","104349",99320,1545,1887,1597
"220","Salinas* CA MSA","12539",12539,0,0,0
"221","Salt Lake City-Ogden  UT MSA","91283",77110,527,1157,12489
"222","San Angelo* TX MSA","2111",2111,0,0,0
"223","San Antonio* TX MSA","56456",56250,206,0,0
"224","San Diego  CA MSA","151730",120999,2291,6909,21531
"225","San Francisco-Oakland-San  Jose  CA CMSA","356559",249968,3601,3429,99561
"226","San Luis Obispo-Atascadero-  Paso Robles* CA MSA","13235",12734,0,0,501
"227","Santa Barbara-Santa Maria-  Lompoc* CA MSA","30820",26346,2225,1198,1051
"228","Santa Fe* NM MSA","4500",4500,0,0,0
"229","Sarasota-Bradenton* FL MSA","116385",110493,692,1430,3770
"230","Savannah* GA MSA","12759",12358,255,0,146
"231","Scranton--Wilkes-Barre--  Hazleton* PA MSA","5191",5191,0,0,0
"232","Seattle-Tacoma-Bremerton  WA CMSA","222970",190253,4478,7685,20554
"233","Sharon* PA MSA","1570",1570,0,0,0
"234","Sheboygan* WI MSA","864",864,0,0,0
"235","Sherman-Denison* TX MSA","1566",1566,0,0,0
"236","Shreveport-Bossier City* LA  MSA","12466",12466,0,0,0
"237","Sioux City* IA-NE MSA","1245",1245,0,0,0
"238","Sioux Falls* SD MSA","11370",11118,0,252,0
"239","South Bend* IN MSA","8754",8754,0,0,0
"240","Spokane* WA MSA","11813",9807,365,0,1641
"241","Springfield* IL MSA","5622",5186,436,0,0
"242","Springfield* MO MSA","23024",20477,0,103,2444
"243","Springfield* MA MSA","9602",9310,292,0,0
"244","State College* PA MSA","4812",4737,0,0,75
"245","Steubenville-Weirton* OH-WV  MSA","193",193,0,0,0
"246","Stockton-Lodi* CA MSA","102044",102044,0,0,0
"247","Sumter* SC MSA","2800",2301,205,0,294
"248","Syracuse* NY MSA","11554",7338,0,0,4216
"249","Tallahassee* FL MSA","52566",11044,0,0,41522
"250","Tampa-St. Petersburg-  Clearwater  FL MSA","172378",153078,3852,1406,14042
"251","Terre Haute* IN MSA","1061",1061,0,0,0
"252","Texarkana* TX-Texarkana  AR  MSA","4308",1008,0,0,3300
"253","Toledo* OH MSA","30317",22849,0,1893,5575
"254","Topeka* KS MSA","8496",8106,0,390,0
"255","Tucson* AZ MSA","74061",73662,399,0,0
"256","Tulsa* OK MSA","31020",29660,360,0,1000
"257","Tuscaloosa* AL MSA","7546",7546,0,0,0
"258","Tyler* TX MSA","4827",4411,0,0,416
"259","Utica-Rome* NY MSA","828",828,0,0,0
"260","Victoria* TX MSA","347",347,0,0,0
"261","Visalia-Tulare-Porterville*  CA MSA","24964",24547,417,0,0
"262","Waco* TX MSA","3558",3268,0,290,0
"263","Washington-Baltimore  DC-MD-  VA-WV CMSA","450369",356432,4044,28,89865
"264","Waterloo-Cedar Falls* IA MSA","2035",1760,275,0,0
"265","Wausau* WI MSA","5112",4880,232,0,0
"266","West Palm Beach-Boca Raton  FL MSA","136426",128797,0,0,7629
"267","Wheeling* WV-OH MSA","139",139,0,0,0
"268","Wichita* KS MSA","15552",15421,131,0,0
"269","Wichita Falls* TX MSA","1616",1616,0,0,0
"270","Wilmington* NC MSA","81578",69433,0,0,12145
"271","Yakima* WA MSA","3078",2437,641,0,0
"272","York* PA MSA","10700",8598,1342,0,760
"273","Youngstown-Warren* OH MSA","6692",5860,560,0,272
"274","Yuba City* CA MSA","5232",5232,0,0,0
"275","Yuma* AZ MSA","18070",12041,0,0,6029
