"","City","State","Total","1_Units","2_Units","3-4_Units"
"58","Corpus Christi* TX MSA","10736",9729,138,272,597
"59","Corvallis* OR MSA","2924",2924,0,0,0
"60","Cumberland* MD-WV MSA","452",452,0,0,0
"61","Dallas-Fort Worth TX CMSA","556040",492719,834,1147,61340
"62","Danville* VA MSA","2581",2581,0,0,0
"63","Davenport-Moline-Rock Island*  IA-IL MSA","8130",8130,0,0,0
"64","Dayton-Springfield* OH MSA","31441",28625,799,0,2017
"65","Daytona Beach* FL MSA","133167",120560,2359,627,9621
"66","Decatur* Al MSA","4255",4255,0,0,0
"67","Decatur* IL MSA","1596",843,0,0,753
"68","Denver-Boulder-Greeley CO CMSA","334278",308603,2985,9216,13474
"69","Des Moines* IA MSA","46532",41590,418,1081,3443
"70","Detroit-Ann Arbor-Flint MI CMSA","248704",230804,994,2271,14635
"71","Dothan* AL MSA","2560",2560,0,0,0
"72","Dover* DE MSA","41224",20539,0,0,20685
"73","Dubuque* IA MSA","2396",1798,598,0,0
"74","Duluth-Superior* MN-WI MSA","4963",4342,166,0,455
"75","Eau Claire* WI MSA","3860",3130,730,0,0
"76","El Paso* TX MSA","17039",16389,72,152,426
"77","Elkhart-Goshen* IN MSA","8642",8642,0,0,0
"78","Elmira* NY MSA","825",408,0,0,417
"79","Enid* OK MSA","180",180,0,0,0
"80","Erie* PA MSA","1735",1735,0,0,0
"81","Eugene-Springfield* OR MSA","14887",13752,1135,0,0
"82","Evansville-Henderson* IN-KY MSA","17551",12419,132,0,5000
"83","Fargo-Moorhead* ND-MN MSA","2489",2239,250,0,0
"84","Fayetteville* NC MSA","24695",17522,0,0,7173
"85","Fayetteville-Springdale-Rogers*  AR MSA","46589",26691,132,189,19577
"86","Flagstaff* AZ MSA","15948",15885,63,0,0
"87","Florence* AL MSA","724",724,0,0,0
"88","Florence* SC MSA","5525",5525,0,0,0
"89","Fort Collins-Loveland* CO MSA","33200",26834,1284,2087,2995
"90","Fort Myers-Cape Coral* FL MSA","176343",126591,16409,2461,30882
"91","Fort Pierce-Port St. Lucie* FL MSA","99135",88499,0,388,10248
"92","Fort Smith* AR-OK MSA","5457",4545,912,0,0
"93","Fort Walton Beach* FL MSA","25530",23190,0,0,2340
"94","Fort Wayne* IN MSA","30794",29534,0,1260,0
"95","Fresno* CA MSA","66779",62861,189,602,3127
"96","Gadsden* AL MSA","866",866,0,0,0
"97","Gainesville* FL MSA","12208",12208,0,0,0
"98","Glens Falls* NY MSA","7581",6804,0,0,777
"99","Goldsboro* NC MSA","4762",4630,0,0,132
"100","Grand Forks* ND-MN MSA","281",281,0,0,0
"101","Grand Junction* CO MSA","14932",13502,0,872,558
"102","Grand Rapids-Muskegon-Holland*  MI MSA","72422",65753,638,0,6031
"103","Great Falls* MT MSA","1731",1731,0,0,0
"104","Green Bay* WI MSA","15146",9471,161,0,5514
"105","Greensboro--Winston-Salem--High Point*  NC MSA","90523",84121,0,568,5834
"106","Greenville* NC MSA","10386",8009,0,0,2377
"107","Greenville-Spartanburg-Anderson*  SC MSA","56716",55245,559,0,912
"108","Harrisburg-Lebanon-Carlisle* PA MSA","13785",12820,0,425,540
"109","Hartford* CT MSA","39307",36707,488,0,2112
"110","Hattiesburg* MS MSA","820",820,0,0,0
"111","Hickory-Morganton* NC MSA","23139",22849,290,0,0
"112","Honolulu* HI MSA","26266",26068,198,0,0
"113","Houma* LA MSA","8882",8836,46,0,0
"114","Houston-Galveston-Brazoria TX CMSA","396998",358871,432,0,37695
"115","Huntington-Ashland* WV-KY-OH MSA","764",764,0,0,0
"116","Huntsville* AL MSA","7051",6223,0,0,828
"117","Indianapolis* IN MSA","161455",153157,1979,2919,3400
"118","Iowa City* IA MSA","39951",5125,0,0,34826
"119","Jackson* MI MSA","1804",964,0,0,840
"120","Jackson* MS MSA","23642",23642,0,0,0
"121","Jackson* TN MSA","4000",4000,0,0,0
"122","Jacksonville* FL MSA","192429",167590,0,0,24839
"123","Jacksonville* NC MSA","7346",7346,0,0,0
"124","Jamestown* NY MSA","88",88,0,0,0
"125","Janesville-Beloit* WI MSA","3422",2570,452,225,175
"126","Johnson City-Kingsport-Bristol*  TN-VA MSA","12822",10036,620,497,1669
"127","Johnstown* PA MSA","1333",848,0,0,485
"128","Jonesboro* AR MSA","5524",5524,0,0,0
"129","Joplin* MO MSA","2343",2343,0,0,0
"130","Kalamazoo-Battle Creek* MI MSA","15555",14472,0,0,1083
"131","Kansas City* MO-KS MSA","140992",129708,3152,4189,3943
"132","Killeen-Temple* TX MSA","18151",14195,1306,2650,0
"133","Knoxville* TN MSA","39412",36591,677,640,1504
"134","Kokomo* IN MSA","4978",3119,0,0,1859
"135","La Crosse* WI-MN MSA","5086",4876,0,0,210
"136","Lafayette* IN MSA","14686",13816,870,0,0
"137","Lafayette* LA MSA","15321",13283,0,150,1888
"138","Lake Charles* LA MSA","19299",6625,134,1755,10785
"139","Lakeland-Winter Haven* FL MSA","51654",51257,182,215,0
"140","Lancaster* PA MSA","17954",15402,0,0,2552
"141","Lansing-East Lansing* MI MSA","13307",12894,0,0,413
"142","Laredo* TX MSA","11607",10200,84,155,1168
"143","Las Cruces* NM MSA","15070",14966,104,0,0
"144","Las Vegas* NV-AZ MSA","479181",426879,2635,3338,46329
"145","Lawrence* KS MSA","4629",4629,0,0,0
"146","Lawton* OK MSA","1537",1437,0,0,100
"147","Lewiston-Auburn* ME MSA","2876",2876,0,0,0
"148","Lexington* KY MSA","30909",30763,146,0,0
"149","Lima* OH MSA","736",736,0,0,0
"150","Lincoln* NE MSA","15882",14233,417,0,1232
"151","Little Rock-North Little Rock*  AR MSA","34146",34146,0,0,0
"152","Longview-Marshall* TX MSA","1983",1983,0,0,0
"153","Los Angeles-Riverside-Orange County  CA CMSA","949065",819353,11023,1813,116876
"154","Louisville* KY-IN MSA","45004",44118,461,0,425
"155","Lubbock* TX MSA","49020",15193,1480,0,32347
"156","Lynchburg* VA MSA","10579",9583,80,0,916
"157","Macon* GA MSA","15364",15124,0,240,0
"158","Madison* WI MSA","61982",39574,1463,1544,19401
"159","Mansfield* OH MSA","2702",2702,0,0,0
"160","McAllen-Edinburg-Mission* TX MSA","32071",30245,179,634,1013
"161","Medford-Ashland* OR MSA","18066",17578,0,488,0
"162","Melbourne-Titusville-Palm Bay*  FL MSA","99753",91607,0,0,8146
"163","Memphis* TN-AR-MS MSA","120954",80647,0,0,40307
"164","Merced* CA MSA","57364",53801,0,0,3563
"165","Miami-Fort Lauderdale FL CMSA","238014",157285,1104,4585,75040
"166","Milwaukee-Racine WI CMSA","108433",74483,3435,6145,24370
"167","Minneapolis-St. Paul* MN-WI MSA","426124",289707,5204,15104,116109
"168","Missoula* MT MSA","1658",1419,97,142,0
"169","Mobile* AL MSA","39103",38136,314,500,153
"170","Modesto* CA MSA","62220",56447,198,527,5048
"171","Monroe* LA MSA","3124",3124,0,0,0
"172","Montgomery* AL MSA","10553",10553,0,0,0
"173","Muncie* IN MSA","2589",2589,0,0,0
"174","Myrtle Beach* SC MSA","50174",39760,224,0,10190
"175","Naples* FL MSA","99875",71880,749,7023,20223
"176","Nashville* TN MSA","131727",126468,1529,0,3730
"177","New London-Norwich* CT-RI MSA","16875",14941,50,924,960
"178","New Orleans* LA MSA","62058",60198,1460,0,400
"179","New York-Northern New Jersey-Long  Island NY-NJ-CT-","671736",409158,39592,25394,197592
"180","Norfolk-Virginia Beach-Newport News*  VA-NC MSA","138129",111931,237,463,25498
"181","Ocala* FL MSA","56761",54847,0,0,1914
"182","Odessa-Midland* TX MSA","4820",4820,0,0,0
"183","Oklahoma City* OK MSA","73166",69955,3211,0,0
"184","Omaha* NE-IA MSA","44589",44204,385,0,0
"185","Orlando* FL MSA","338314",249973,2710,1042,84589
"186","Owensboro* KY MSA","1939",1939,0,0,0
"187","Panama City* FL MSA","42550",12550,0,0,30000
"188","Parkersburg-Marietta* WV-OH MSA","1075",1075,0,0,0
"189","Pensacola* FL MSA","46207",26136,438,0,19633
"190","Peoria-Pekin* IL MSA","10211",9387,824,0,0
"191","Philadelphia-Wilmington-Atlantic  City PA-NJ-DE-MD","250055",199688,6785,2764,40818
"192","Phoenix-Mesa* AZ MSA","803583",736360,700,2977,63546
"193","Pine Bluff* AR MSA","718",718,0,0,0
"194","Pittsburgh* PA MSA","62858",56998,1104,100,4656
"195","Pittsfield* MA MSA","0",0,0,0,0
"196","Pocatello* ID MSA","917",917,0,0,0
"197","Portland* ME MSA","21901",21281,365,255,0
"198","Portland-Salem OR-WA CMSA","173273",131744,1378,2567,37584
"199","Providence-Fall River-Warwick*  RI-MA MSA","27621",26515,402,168,536
"200","Provo-Orem* UT MSA","41645",38186,1246,1413,800
"201","Pueblo* CO MSA","10900",8242,2658,0,0
"202","Punta Gorda* FL MSA","33536",29166,294,2460,1616
"203","Raleigh-Durham-Chapel Hill* NC MSA","228187",214005,699,2800,10683
"204","Rapid City* SD MSA","6439",6163,0,276,0
"205","Reading* PA MSA","6554",6066,0,0,488
"206","Redding* CA MSA","10570",7857,0,0,2713
"207","Reno* NV MSA","72394",58321,0,0,14073
"208","Richland-Kennewick-Pasco* WA MSA","16718",16414,0,0,304
"209","Richmond-Petersburg* VA MSA","74663",67677,0,2643,4343
"210","Roanoke* VA MSA","10402",9917,0,0,485
"211","Rochester* MN MSA","24422",18977,0,0,5445
"212","Rochester* NY MSA","25771",24512,1259,0,0
"213","Rockford* IL MSA","12184",10033,1269,582,300
"214","Rocky Mount* NC MSA","3861",3861,0,0,0
"215","Sacramento-Yolo CA CMSA","368151",324993,1044,1035,41079
"216","Saginaw-Bay City-Midland* MI MSA","3714",3714,0,0,0
"217","Salinas* CA MSA","30422",30422,0,0,0
"218","Salt Lake City-Ogden* UT MSA","92434",88672,1236,1430,1096
"219","San Angelo* TX MSA","2284",2284,0,0,0
"220","San Antonio* TX MSA","105899",87355,684,0,17860
"221","San Diego* CA MSA","175376",127602,0,15564,32210
"222","San Francisco-Oakland-San Jose  CA CMSA","379501",326724,4674,2228,45875
"223","San Luis Obispo-Atascadero-Paso Robles*  CA MSA","24846",24588,0,258,0
"224","Santa Barbara-Santa Maria-Lompoc*  CA MSA","39262",28415,0,717,10130
"225","Santa Fe* NM MSA","9693",8629,262,802,0
"226","Sarasota-Bradenton* FL MSA","120133",114882,0,1440,3811
"227","Savannah* GA MSA","29785",26586,3057,0,142
"228","Scranton--Wilkes-Barre--Hazleton*  PA MSA","7160",6936,0,224,0
"229","Seattle-Tacoma-Bremerton WA CMSA","268068",246349,5531,6342,9846
"230","Sharon* PA MSA","1067",1007,0,60,0
"231","Sheboygan* WI MSA","523",523,0,0,0
"232","Sherman-Denison* TX MSA","1616",1616,0,0,0
"233","Shreveport-Bossier City* LA MSA","15717",15217,0,500,0
"234","Sioux City* IA-NE MSA","1210",1210,0,0,0
"235","Sioux Falls* SD MSA","9560",9560,0,0,0
"236","South Bend* IN MSA","10834",10584,250,0,0
"237","Spokane* WA MSA","19779",18343,318,0,1118
"238","Springfield* IL MSA","9480",6313,1087,0,2080
"239","Springfield* MA MSA","9857",9740,117,0,0
"240","Springfield* MO MSA","21903",21275,0,225,403
"241","St. Cloud* MN MSA","7058",4648,0,0,2410
"242","St. Joseph* MO MSA","926",926,0,0,0
"243","St. Louis* MO-IL MSA","128511",119297,3615,906,4693
"244","State College* PA MSA","3995",3865,130,0,0
"245","Steubenville-Weirton* OH-WV MSA","2047",2047,0,0,0
"246","Stockton-Lodi* CA MSA","119979",118352,1627,0,0
"247","Sumter* SC MSA","3187",2698,116,0,373
"248","Syracuse* NY MSA","6229",5580,180,261,208
"249","Tallahassee* FL MSA","12045",11240,438,0,367
"250","Tampa-St. Petersburg-Clearwater*  FL MSA","288769",256696,7735,1145,23193
"251","Terre Haute* IN MSA","2105",2105,0,0,0
"252","Texarkana TX-Texarkana* AR MSA","3431",3431,0,0,0
"253","Toledo* OH MSA","27112",26279,258,0,575
"254","Topeka* KS MSA","26250",26250,0,0,0
"255","Tucson* AZ MSA","100338",97649,990,1230,469
"256","Tulsa* OK MSA","45093",44649,0,0,444
"257","Tuscaloosa* AL MSA","12353",12353,0,0,0
"258","Tyler* TX MSA","5793",5470,0,0,323
"259","Utica-Rome* NY MSA","403",403,0,0,0
"260","Victoria* TX MSA","1169",1169,0,0,0
"261","Visalia-Tulare-Porterville* CA MSA","23599",23083,292,224,0
"262","Waco* TX MSA","5947",4696,1251,0,0
"263","Washington-Baltimore  DC-MD-VA-WV CMSA","516924",465869,315,0,50740
"264","Waterloo-Cedar Falls* IA MSA","2623",2623,0,0,0
"265","Wausau* WI MSA","9613",4741,72,0,4800
"266","West Palm Beach-Boca Raton* FL MSA","221355",169477,0,673,51205
"267","Wheeling* WV-OH MSA","139",139,0,0,0
"268","Wichita Falls* TX MSA","3876",2682,50,0,1144
"269","Wichita* KS MSA","19389",19152,237,0,0
"270","Wilmington* NC MSA","60788",57162,710,0,2916
"271","Yakima* WA MSA","4985",4453,346,186,0
"272","York* PA MSA","17988",15851,0,0,2137
"273","Youngstown-Warren* OH MSA","7102",5673,1219,210,0
"274","Yuba City* CA MSA","21760",21760,0,0,0
"275","Yuma* AZ MSA","13692",13692,0,0,0
