METROPOLITAN STATISTICAL AREAS AND COMPONENTS, November 2007, WITH CODES

(Metropolitan statistical areas and metropolitan divisions defined by the Office of Management and Budget, November 2007)
14460   40484   33017         Strafford County, NH

14500                   Boulder, CO Metropolitan Statistical Area
14500           08013         Boulder County, CO

14540                   Bowling Green, KY Metropolitan Statistical Area
14540           21061         Edmonson County, KY
14540           21227         Warren County, KY

14600                   Bradenton-Sarasota-Venice, FL Metropolitan Statistical Area
14600           12081         Manatee County, FL
14600           12115         Sarasota County, FL

14740                   Bremerton-Silverdale, WA Metropolitan Statistical Area
14740           53035         Kitsap County, WA

14860                   Bridgeport-Stamford-Norwalk, CT Metropolitan Statistical Area
14860           09001         Fairfield County, CT

15180                   Brownsville-Harlingen, TX Metropolitan Statistical Area
15180           48061         Cameron County, TX

15260                   Brunswick, GA Metropolitan Statistical Area
15260           13025         Brantley County, GA
15260           13127         Glynn County, GA
15260           13191         McIntosh County, GA

15380                   Buffalo-Niagara Falls, NY Metropolitan Statistical Area
15380           36029         Erie County, NY
15380           36063         Niagara County, NY

15500                   Burlington, NC Metropolitan Statistical Area
15500           37001         Alamance County, NC

15540                   Burlington-South Burlington, VT Metropolitan Statistical Area
15540           50007         Chittenden County, VT
15540           50011         Franklin County, VT
15540           50013         Grand Isle County, VT

15940                   Canton-Massillon, OH Metropolitan Statistical Area
15940           39019         Carroll County, OH
15940           39151         Stark County, OH

15980                   Cape Coral-Fort Myers, FL Metropolitan Statistical Area
15980           12071         Lee County, FL

16180                   Carson City, NV Metropolitan Statistical Area
16180           32510         Carson City, NV

16220                   Casper, WY Metropolitan Statistical Area
16220           56025         Natrona County, WY

16300                   Cedar Rapids, IA Metropolitan Statistical Area
16300           19011         Benton County, IA
16300           19105         Jones County, IA
16300           19113         Linn County, IA

16580                   Champaign-Urbana, IL Metropolitan Statistical Area
16580           17019         Champaign County, IL
16580           17053         Ford County, IL
16580           17147         Piatt County, IL

16620                   Charleston, WV Metropolitan Statistical Area
16620           54005         Boone County, WV
16620           54015         Clay County, WV
16620           54039         Kanawha County, WV
16620           54043         Lincoln County, WV
16620           54079         Putnam County, WV

16700                   Charleston-North Charleston-Summerville, SC Metropolitan Statistical Area
16700           45015         Berkeley County, SC
16700           45019         Charleston County, SC
16700           45035         Dorchester County, SC

16740                   Charlotte-Gastonia-Concord, NC-SC Metropolitan Statistical Area
16740           37007         Anson County, NC
16740           37025         Cabarrus County, NC
16740           37071         Gaston County, NC
16740           37119         Mecklenburg County, NC
16740           37179         Union County, NC
16740           45091         York County, SC

16820                   Charlottesville, VA Metropolitan Statistical Area
16820           51003         Albemarle County, VA
16820           51065         Fluvanna County, VA
16820           51079         Greene County, VA
16820           51125         Nelson County, VA
16820           51540         Charlottesville city, VA

16860                   Chattanooga, TN-GA Metropolitan Statistical Area
16860           13047         Catoosa County, GA
16860           13083         Dade County, GA
16860           13295         Walker County, GA
16860           47065         Hamilton County, TN
16860           47115         Marion County, TN
16860           47153         Sequatchie County, TN

16940                   Cheyenne, WY Metropolitan Statistical Area
16940           56021         Laramie County, WY

16980                   Chicago-Naperville-Joliet, IL-IN-WI Metropolitan Statistical Area
16980   16974              Chicago-Naperville-Joliet, IL Metropolitan Division
16980   16974   17031         Cook County, IL
16980   16974   17037         DeKalb County, IL
16980   16974   17043         DuPage County, IL
16980   16974   17063         Grundy County, IL
16980   16974   17089         Kane County, IL
16980   16974   17093         Kendall County, IL
16980   16974   17111         McHenry County, IL
16980   16974   17197         Will County, IL
16980   23844              Gary, IN Metropolitan Division
16980   23844   18073         Jasper County, IN
16980   23844   18089         Lake County, IN
16980   23844   18111         Newton County, IN
16980   23844   18127         Porter County, IN
16980   29404              Lake County-Kenosha County, IL-WI Metropolitan Division
16980   29404   17097         Lake County, IL
16980   29404   55059         Kenosha County, WI

17020                   Chico, CA Metropolitan Statistical Area
17020           06007         Butte County, CA

17140                   Cincinnati-Middletown, OH-KY-IN Metropolitan Statistical Area
17140           18029         Dearborn County, IN
17140           18047         Franklin County, IN
17140           18115         Ohio County, IN
17140           21015         Boone County, KY
17140           21023         Bracken County, KY
17140           21037         Campbell County, KY
17140           21077         Gallatin County, KY
17140           21081         Grant County, KY
17140           21117         Kenton County, KY
17140           21191         Pendleton County, KY
17140           39015         Brown County, OH
17140           39017         Butler County, OH
17140           39025         Clermont County, OH
17140           39061         Hamilton County, OH
17140           39165         Warren County, OH

17300                   Clarksville, TN-KY Metropolitan Statistical Area
17300           21047         Christian County, KY
17300           21221         Trigg County, KY
17300           47125         Montgomery County, TN
17300           47161         Stewart County, TN

17420                   Cleveland, TN Metropolitan Statistical Area
17420           47011         Bradley County, TN
17420           47139         Polk County, TN

17460                   Cleveland-Elyria-Mentor, OH Metropolitan Statistical Area
17460           39035         Cuyahoga County, OH
17460           39055         Geauga County, OH
17460           39085         Lake County, OH
17460           39093         Lorain County, OH
17460           39103         Medina County, OH

17660                   Coeur d'Alene, ID Metropolitan Statistical Area
17660           16055         Kootenai County, ID

17780                   College Station-Bryan, TX Metropolitan Statistical Area
17780           48041         Brazos County, TX
17780           48051         Burleson County, TX
17780           48395         Robertson County, TX

17820                   Colorado Springs, CO Metropolitan Statistical Area
17820           08041         El Paso County, CO
17820           08119         Teller County, CO

17860                   Columbia, MO Metropolitan Statistical Area
17860           29019         Boone County, MO
17860           29089         Howard County, MO

17900                   Columbia, SC Metropolitan Statistical Area
17900           45017         Calhoun County, SC
17900           45039         Fairfield County, SC
17900           45055         Kershaw County, SC
17900           45063         Lexington County, SC
17900           45079         Richland County, SC
17900           45081         Saluda County, SC

17980                   Columbus, GA-AL Metropolitan Statistical Area
17980           01113         Russell County, AL
17980           13053         Chattahoochee County, GA
17980           13145         Harris County, GA
17980           13197         Marion County, GA
17980           13215         Muscogee County, GA

18020                   Columbus, IN Metropolitan Statistical Area
18020           18005         Bartholomew County, IN

18140                   Columbus, OH Metropolitan Statistical Area
18140           39041         Delaware County, OH
18140           39045         Fairfield County, OH
18140           39049         Franklin County, OH
18140           39089         Licking County, OH
18140           39097         Madison County, OH
18140           39117         Morrow County, OH
18140           39129         Pickaway County, OH
18140           39159         Union County, OH

18580                   Corpus Christi, TX Metropolitan Statistical Area
18580           48007         Aransas County, TX
18580           48355         Nueces County, TX
18580           48409         San Patricio County, TX

18700                   Corvallis, OR Metropolitan Statistical Area
18700           41003         Benton County, OR

19060                   Cumberland, MD-WV Metropolitan Statistical Area
19060           24001         Allegany County, MD
19060           54057         Mineral County, WV

19100                   Dallas-Fort Worth-Arlington, TX Metropolitan Statistical Area
19100   19124              Dallas-Plano-Irving, TX Metropolitan Division
19100   19124   48085         Collin County, TX
19100   19124   48113         Dallas County, TX
19100   19124   48119         Delta County, TX
19100   19124   48121         Denton County, TX
19100   19124   48139         Ellis County, TX
19100   19124   48231         Hunt County, TX
19100   19124   48257         Kaufman County, TX
19100   19124   48397         Rockwall County, TX
19100   23104              Fort Worth-Arlington, TX Metropolitan Division
19100   23104   48251         Johnson County, TX
19100   23104   48367         Parker County, TX
19100   23104   48439         Tarrant County, TX
19100   23104   48497         Wise County, TX

19140                   Dalton, GA Metropolitan Statistical Area
19140           13213         Murray County, GA
19140           13313         Whitfield County, GA

19180                   Danville, IL Metropolitan Statistical Area
19180           17183         Vermilion County, IL

19260                   Danville, VA Metropolitan Statistical Area
19260           51143         Pittsylvania County, VA
19260           51590         Danville city, VA

19340                   Davenport-Moline-Rock Island, IA-IL Metropolitan Statistical Area
19340           17073         Henry County, IL
19340           17131         Mercer County, IL
19340           17161         Rock Island County, IL
19340           19163         Scott County, IA

19380                   Dayton, OH Metropolitan Statistical Area
19380           39057         Greene County, OH
19380           39109         Miami County, OH
19380           39113         Montgomery County, OH
19380           39135         Preble County, OH

19460                   Decatur, AL Metropolitan Statistical Area
19460           01079         Lawrence County, AL
19460           01103         Morgan County, AL

19500                   Decatur, IL Metropolitan Statistical Area
19500           17115         Macon County, IL

19660                   Deltona-Daytona Beach-Ormond Beach, FL Metropolitan Statistical Area
19660           12127         Volusia County, FL

19740                   Denver-Aurora, CO Metropolitan Statistical Area
19740           08001         Adams County, CO
19740           08005         Arapahoe County, CO
19740           08014         Broomfield County, CO
19740           08019         Clear Creek County, CO
19740           08031         Denver County, CO
19740           08035         Douglas County, CO
19740           08039         Elbert County, CO
19740           08047         Gilpin County, CO
19740           08059         Jefferson County, CO
19740           08093         Park County, CO

19780                   Des Moines-West Des Moines, IA Metropolitan Statistical Area
19780           19049         Dallas County, IA
19780           19077         Guthrie County, IA
19780           19121         Madison County, IA
19780           19153         Polk County, IA
19780           19181         Warren County, IA

19820                   Detroit-Warren-Livonia, MI Metropolitan Statistical Area
19820   19804              Detroit-Livonia-Dearborn, MI Metropolitan Division
19820   19804   26163         Wayne County, MI 
19820   47644              Warren-Troy-Farmington Hills, MI Metropolitan Division
19820   47644   26087         Lapeer County, MI
19820   47644   26093         Livingston County, MI
19820   47644   26099         Macomb County, MI
19820   47644   26125         Oakland County, MI
19820   47644   26147         St. Clair County, MI

20020                   Dothan, AL Metropolitan Statistical Area
20020           01061         Geneva County, AL
20020           01067         Henry County, AL
20020           01069         Houston County, AL

20100                   Dover, DE Metropolitan Statistical Area
20100           10001         Kent County, DE

20220                   Dubuque, IA Metropolitan Statistical Area
20220           19061         Dubuque County, IA

20260                   Duluth, MN-WI Metropolitan Statistical Area
20260           27017         Carlton County, MN
20260           27137         St. Louis County, MN
20260           55031         Douglas County, WI

20500                   Durham, NC Metropolitan Statistical Area
20500           37037         Chatham County, NC
20500           37063         Durham County, NC
20500           37135         Orange County, NC
20500           37145         Person County, NC

20740                   Eau Claire, WI Metropolitan Statistical Area
20740           55017         Chippewa County, WI
20740           55035         Eau Claire County, WI

20940                   El Centro, CA Metropolitan Statistical Area
20940           06025         Imperial County, CA

21060                   Elizabethtown, KY Metropolitan Statistical Area
21060           21093         Hardin County, KY
21060           21123         Larue County, KY

21140                   Elkhart-Goshen, IN Metropolitan Statistical Area
21140           18039         Elkhart County, IN

21300                   Elmira, NY Metropolitan Statistical Area
21300           36015         Chemung County, NY

21340                   El Paso, TX Metropolitan Statistical Area
21340           48141         El Paso County, TX

21500                   Erie, PA Metropolitan Statistical Area
21500           42049         Erie County, PA

21660                   Eugene-Springfield, OR Metropolitan Statistical Area
21660           41039         Lane County, OR

21780                   Evansville, IN-KY Metropolitan Statistical Area
21780           18051         Gibson County, IN
21780           18129         Posey County, IN
21780           18163         Vanderburgh County, IN
21780           18173         Warrick County, IN
21780           21101         Henderson County, KY
21780           21233         Webster County, KY

21820                   Fairbanks, AK Metropolitan Statistical Area
21820           02090         Fairbanks North Star Borough, AK

21940                   Fajardo, PR Metropolitan Statistical Area
21940           72037         Ceiba Municipio, PR
21940           72053         Fajardo Municipio, PR
21940           72089         Luquillo Municipio, PR

22020                   Fargo, ND-MN Metropolitan Statistical Area
22020           27027         Clay County, MN
22020           38017         Cass County, ND

22140                   Farmington, NM Metropolitan Statistical Area
22140           35045         San Juan County, NM

22180                   Fayetteville, NC Metropolitan Statistical Area
22180           37051         Cumberland County, NC
22180           37093         Hoke County, NC

22220                   Fayetteville-Springdale-Rogers, AR-MO Metropolitan Statistical Area
22220           05007         Benton County, AR
22220           05087         Madison County, AR
22220           05143         Washington County, AR
22220           29119         McDonald County, MO

22380                   Flagstaff, AZ Metropolitan Statistical Area
22380           04005         Coconino County, AZ

22420                   Flint, MI Metropolitan Statistical Area
22420           26049         Genesee County, MI

22500                   Florence, SC Metropolitan Statistical Area
22500           45031         Darlington County, SC
22500           45041         Florence County, SC

22520                   Florence-Muscle Shoals, AL Metropolitan Statistical Area
22520           01033         Colbert County, AL
22520           01077         Lauderdale County, AL

22540                   Fond du Lac, WI Metropolitan Statistical Area
22540           55039         Fond du Lac County, WI

22660                   Fort Collins-Loveland, CO Metropolitan Statistical Area
22660           08069         Larimer County, CO

22900                   Fort Smith, AR-OK Metropolitan Statistical Area
22900           05033         Crawford County, AR
22900           05047         Franklin County, AR
22900           05131         Sebastian County, AR
22900           40079         Le Flore County, OK
22900           40135         Sequoyah County, OK

23020                   Fort Walton Beach-Crestview-Destin, FL Metropolitan Statistical Area
23020           12091         Okaloosa County, FL

23060                   Fort Wayne, IN Metropolitan Statistical Area
23060           18003         Allen County, IN
23060           18179         Wells County, IN
23060           18183         Whitley County, IN

23420                   Fresno, CA Metropolitan Statistical Area
23420           06019         Fresno County, CA

23460                   Gadsden, AL Metropolitan Statistical Area
23460           01055         Etowah County, AL

23540                   Gainesville, FL Metropolitan Statistical Area
23540           12001         Alachua County, FL
23540           12041         Gilchrist County, FL

23580                   Gainesville, GA Metropolitan Statistical Area
23580           13139         Hall County, GA

24020                   Glens Falls, NY Metropolitan Statistical Area
24020           36113         Warren County, NY
24020           36115         Washington County, NY

24140                   Goldsboro, NC Metropolitan Statistical Area
24140           37191         Wayne County, NC

24220                   Grand Forks, ND-MN Metropolitan Statistical Area
24220           27119         Polk County, MN
24220           38035         Grand Forks County, ND

24300                   Grand Junction, CO Metropolitan Statistical Area
24300           08077         Mesa County, CO

24340                   Grand Rapids-Wyoming, MI Metropolitan Statistical Area
24340           26015         Barry County, MI
24340           26067         Ionia County, MI
24340           26081         Kent County, MI
24340           26123         Newaygo County, MI

24500                   Great Falls, MT Metropolitan Statistical Area
24500           30013         Cascade County, MT

24540                   Greeley, CO Metropolitan Statistical Area
24540           08123         Weld County, CO

24580                   Green Bay, WI Metropolitan Statistical Area
24580           55009         Brown County, WI
24580           55061         Kewaunee County, WI
24580           55083         Oconto County, WI

24660                   Greensboro-High Point, NC Metropolitan Statistical Area
24660           37081         Guilford County, NC
24660           37151         Randolph County, NC
24660           37157         Rockingham County, NC

24780                   Greenville, NC Metropolitan Statistical Area
24780           37079         Greene County, NC
24780           37147         Pitt County, NC

24860                   Greenville-Mauldin-Easley, SC Metropolitan Statistical Area
24860           45045         Greenville County, SC
24860           45059         Laurens County, SC
24860           45077         Pickens County, SC

25020                   Guayama, PR Metropolitan Statistical Area
25020           72015         Arroyo Municipio, PR
25020           72057         Guayama Municipio, PR
25020           72109         Patillas Municipio, PR

25060                   Gulfport-Biloxi, MS Metropolitan Statistical Area
25060           28045         Hancock County, MS
25060           28047         Harrison County, MS
25060           28131         Stone County, MS

25180                   Hagerstown-Martinsburg, MD-WV Metropolitan Statistical Area
25180           24043         Washington County, MD
25180           54003         Berkeley County, WV
25180           54065         Morgan County, WV

25260                   Hanford-Corcoran, CA Metropolitan Statistical Area
25260           06031         Kings County, CA

25420                   Harrisburg-Carlisle, PA Metropolitan Statistical Area
25420           42041         Cumberland County, PA
25420           42043         Dauphin County, PA
25420           42099         Perry County, PA

25500                   Harrisonburg, VA Metropolitan Statistical Area
25500           51165         Rockingham County, VA
25500           51660         Harrisonburg city, VA

25540                   Hartford-West Hartford-East Hartford, CT Metropolitan Statistical Area
25540           09003         Hartford County, CT
25540           09007         Middlesex County, CT
25540           09013         Tolland County, CT

25620                   Hattiesburg, MS Metropolitan Statistical Area
25620           28035         Forrest County, MS
25620           28073         Lamar County, MS
25620           28111         Perry County, MS

25860                   Hickory-Lenoir-Morganton, NC Metropolitan Statistical Area
25860           37003         Alexander County, NC
25860           37023         Burke County, NC
25860           37027         Caldwell County, NC
25860           37035         Catawba County, NC

25980                   Hinesville-Fort Stewart, GA Metropolitan Statistical Area
25980           13179         Liberty County, GA
25980           13183         Long County, GA

26100                   Holland-Grand Haven, MI Metropolitan Statistical Area
26100           26139         Ottawa County, MI

26180                   Honolulu, HI Metropolitan Statistical Area
26180           15003         Honolulu County, HI

26300                   Hot Springs, AR Metropolitan Statistical Area
26300           05051         Garland County, AR

26380                   Houma-Bayou Cane-Thibodaux, LA Metropolitan Statistical Area
26380           22057         Lafourche Parish, LA
26380           22109         Terrebonne Parish, LA

26420                   Houston-Sugar Land-Baytown, TX Metropolitan Statistical Area
26420           48015         Austin County, TX
26420           48039         Brazoria County, TX
26420           48071         Chambers County, TX
26420           48157         Fort Bend County, TX
26420           48167         Galveston County, TX
26420           48201         Harris County, TX
26420           48291         Liberty County, TX
26420           48339         Montgomery County, TX
26420           48407         San Jacinto County, TX
26420           48473         Waller County, TX

26580                   Huntington-Ashland, WV-KY-OH Metropolitan Statistical Area
26580           21019         Boyd County, KY
26580           21089         Greenup County, KY
26580           39087         Lawrence County, OH
26580           54011         Cabell County, WV
26580           54099         Wayne County, WV

26620                   Huntsville, AL Metropolitan Statistical Area
26620           01083         Limestone County, AL
26620           01089         Madison County, AL

26820                   Idaho Falls, ID Metropolitan Statistical Area
26820           16019         Bonneville County, ID
26820           16051         Jefferson County, ID

26900                   Indianapolis-Carmel, IN Metropolitan Statistical Area
26900           18011         Boone County, IN
26900           18013         Brown County, IN
26900           18057         Hamilton County, IN
26900           18059         Hancock County, IN
26900           18063         Hendricks County, IN
26900           18081         Johnson County, IN
26900           18097         Marion County, IN
26900           18109         Morgan County, IN
26900           18133         Putnam County, IN
26900           18145         Shelby County, IN

26980                   Iowa City, IA Metropolitan Statistical Area
26980           19103         Johnson County, IA
26980           19183         Washington County, IA

27060                   Ithaca, NY Metropolitan Statistical Area
27060           36109         Tompkins County, NY

27100                   Jackson, MI Metropolitan Statistical Area
27100           26075         Jackson County, MI

27140                   Jackson, MS Metropolitan Statistical Area
27140           28029         Copiah County, MS
27140           28049         Hinds County, MS
27140           28089         Madison County, MS
27140           28121         Rankin County, MS
27140           28127         Simpson County, MS

27180                   Jackson, TN Metropolitan Statistical Area
27180           47023         Chester County, TN
27180           47113         Madison County, TN

27260                   Jacksonville, FL Metropolitan Statistical Area
27260           12003         Baker County, FL
27260           12019         Clay County, FL
27260           12031         Duval County, FL
27260           12089         Nassau County, FL
27260           12109         St. Johns County, FL

27340                   Jacksonville, NC Metropolitan Statistical Area
27340           37133         Onslow County, NC

27500                   Janesville, WI Metropolitan Statistical Area
27500           55105         Rock County, WI

27620                   Jefferson City, MO Metropolitan Statistical Area
27620           29027         Callaway County, MO
27620           29051         Cole County, MO
27620           29135         Moniteau County, MO
27620           29151         Osage County, MO

27740                   Johnson City, TN Metropolitan Statistical Area
27740           47019         Carter County, TN
27740           47171         Unicoi County, TN
27740           47179         Washington County, TN

27780                   Johnstown, PA Metropolitan Statistical Area
27780           42021         Cambria County, PA

27860                   Jonesboro, AR Metropolitan Statistical Area
27860           05031         Craighead County, AR
27860           05111         Poinsett County, AR

27900                   Joplin, MO Metropolitan Statistical Area
27900           29097         Jasper County, MO
27900           29145         Newton County, MO

28020                   Kalamazoo-Portage, MI Metropolitan Statistical Area
28020           26077         Kalamazoo County, MI
28020           26159         Van Buren County, MI

28100                   Kankakee-Bradley, IL Metropolitan Statistical Area
28100           17091         Kankakee County, IL

28140                   Kansas City, MO-KS Metropolitan Statistical Area
28140           20059         Franklin County, KS
28140           20091         Johnson County, KS
28140           20103         Leavenworth County, KS
28140           20107         Linn County, KS
28140           20121         Miami County, KS
28140           20209         Wyandotte County, KS
28140           29013         Bates County, MO
28140           29025         Caldwell County, MO
28140           29037         Cass County, MO
28140           29047         Clay County, MO
28140           29049         Clinton County, MO
28140           29095         Jackson County, MO
28140           29107         Lafayette County, MO
28140           29165         Platte County, MO
28140           29177         Ray County, MO

28420                   Kennewick-Pasco-Richland, WA Metropolitan Statistical Area
28420           53005         Benton County, WA
28420           53021         Franklin County, WA

28660                   Killeen-Temple-Fort Hood, TX Metropolitan Statistical Area
28660           48027         Bell County, TX
28660           48099         Coryell County, TX
28660           48281         Lampasas County, TX

28700                   Kingsport-Bristol-Bristol, TN-VA Metropolitan Statistical Area
28700           47073         Hawkins County, TN
28700           47163         Sullivan County, TN
28700           51169         Scott County, VA
