"Table C-1. Cities -- Area and Population",,,,,,,,,,,,,
,,,,,,,,,,,,,
"[Includes states and 1,265 incorporated places of 25,000 or more population as of ",,,,,,,,,,,,,
"April 1, 2000, in all states except Hawaii, which has no incorporated places recognized ",,,,,,,,,,,,,
"by the U.S. Census Bureau. Two census designated places (CDPs) are also included (Honolulu ",,,,,,,,,,,,,
"CDP in Hawaii and Arlington CDP in Virginia). For more information on these areas, see ",,,,,,,,,,,,,
"Appendix C, Geographic Information]",,,,,,,,,,,,,
,,,,,,,,,,,,,
"FIPS state and place code 1","City","County 2","Land area, 2000        (square miles)",,"Population",,,,,,,,
,,,"Total","Rank 3",2005,,"2000 5","1990 6","Rank",,,"Percent change",
,,,,,"Number","Per square mile 4",,,"2005 7","2000 7","1990 8","2000- 2005","1990- 2000"
"0659587","Rancho Santa Margarita city","Orange",12.3,910,"50,682","4,130.6","47,784","(X)",656,652,"(X)",6.1,"(NA)"
"0659920","Redding city","Shasta",58.4,154,"89,641","1,533.9","81,127","67,814",305,328,344,10.5,19.6
"0659962","Redlands city","San Bernardino",35.5,322,"69,995","1,973.4","63,603","62,679",425,442,379,10.0,1.5
"0660018","Redondo Beach city","Los Angeles",6.3,"1,148","66,824","10,640.8","63,261","60,542",455,448,402,5.6,4.5
"0660102","Redwood City city","San Mateo",19.5,665,"73,114","3,753.3","75,399","66,015",401,366,357,-3.0,14.2
"0660466","Rialto city","San Bernardino",21.9,587,"99,513","4,550.2","92,326","72,706",256,268,310,7.8,27.0
"0660620","Richmond city","Contra Costa",30.0,411,"102,186","3,408.5","99,216","85,976",246,245,250,3.0,15.4
"0662000","Riverside city","Riverside",78.1,102,"290,086","3,714.3","255,193","226,602",62,67,67,13.7,12.6
"0662364","Rocklin city","Placer",16.2,769,"49,626","3,069.0","36,470","18,736",674,868,"1,188",36.1,94.7
"0662546","Rohnert Park city","Sonoma",6.4,"1,140","41,101","6,392.1","41,322","36,211",802,759,747,-0.5,14.1
"0662896","Rosemead city","Los Angeles",5.2,"1,185","55,119","10,702.7","53,505","51,551",595,564,502,3.0,3.8
"0662938","Roseville city","Placer",30.5,402,"105,940","3,475.7","79,920","44,710",230,339,590,32.6,78.8
"0664000","Sacramento city","Sacramento",97.2,73,"456,441","4,697.8","407,018","369,900",37,41,43,12.1,10.0
"0664224","Salinas city","Monterey",19.0,686,"146,431","7,702.8","142,943","108,851",153,148,178,2.4,31.3
"0665000","San Bernardino city","San Bernardino",58.8,150,"198,550","3,376.1","185,975","171,246",100,108,101,6.8,8.6
"0665028","San Bruno city","San Mateo",5.5,"1,175","39,752","7,280.6","40,165","38,907",835,785,693,-1.0,3.2
"0665042","San Buenaventura (Ventura) city","Ventura",21.1,621,"104,017","4,936.7","100,938","93,568",240,238,220,3.1,7.9
"0665070","San Carlos city","San Mateo",5.9,"1,158","26,821","4,530.6","27,715","26,369","1,206","1,138","1,041",-3.2,5.1
"0665084","San Clemente city","Orange",17.6,723,"60,235","3,418.6","49,936","41,166",521,616,650,20.6,21.3
"0666000","San Diego city","San Diego",324.3,15,"1,255,540","3,871.1","1,223,413","1,110,910",8,7,6,2.6,10.1
"0666070","San Dimas city","Los Angeles",15.5,794,"35,850","2,311.4","34,980","32,795",939,916,844,2.5,6.7
"0667000","San Francisco city","San Francisco",46.7,210,"739,426","15,836.9","776,733","723,959",14,13,14,-4.8,7.3
"0667042","San Gabriel city","Los Angeles",4.1,"1,214","41,056","9,940.9","39,815","37,249",805,798,729,3.1,6.9
"0668000","San Jose city","Santa Clara",174.9,35,"912,332","5,217.5","895,279","783,233",10,11,11,1.9,14.3
"0668028","San Juan Capistrano city","Orange",14.2,835,"34,673","2,440.0","33,826","26,187",970,943,"1,049",2.5,29.2
"0668084","San Leandro city","Alameda",13.1,881,"78,178","5,954.2","79,452","68,211",375,341,342,-1.6,16.5
"0668154","San Luis Obispo city","San Luis Obispo",10.7,979,"43,509","4,081.5","44,193","42,084",770,711,633,-1.5,5.0
"0668196","San Marcos city","San Diego",23.8,543,"73,487","3,092.9","54,974","39,141",399,548,683,33.7,40.5
"0668252","San Mateo city","San Mateo",12.2,914,"91,081","7,453.4","92,472","85,832",295,267,252,-1.5,7.7
"0668294","San Pablo city","Contra Costa",2.6,"1,241","31,004","12,017.1","30,256","25,051","1,068","1,045","1,077",2.5,20.8
"0668364","San Rafael city","Marin",16.6,753,"55,716","3,358.4","56,063","48,298",588,529,544,-0.6,16.1
"0668378","San Ramon city","Contra Costa",11.6,937,"49,999","4,317.7","44,752","35,277",666,705,765,11.7,26.9
"0669000","Santa Ana city","Orange",27.1,457,"340,368","12,541.2","337,977","294,214",54,52,52,0.7,14.9
"0669070","Santa Barbara city","Santa Barbara",19.0,688,"85,899","4,525.8","89,634","85,518",325,281,254,-4.2,4.8
"0669084","Santa Clara city","Santa Clara",18.4,701,"105,402","5,731.5","102,361","93,823",232,232,218,3.0,9.1
"0669088","Santa Clarita city","Los Angeles",47.8,208,"168,253","3,517.7","151,170","122,690",130,135,148,11.3,23.2
"0669112","Santa Cruz city","Santa Cruz",12.5,901,"54,760","4,370.3","55,856","49,726",599,533,529,-2.0,12.3
"0669196","Santa Maria city","Santa Barbara",19.3,670,"84,346","4,363.5","77,454","62,001",336,355,388,8.9,24.9
"0670000","Santa Monica city","Los Angeles",8.3,"1,076","87,800","10,629.5","84,084","86,599",311,312,244,4.4,-2.9
"0670042","Santa Paula city","Ventura",4.6,"1,203","28,478","6,190.9","28,605","25,109","1,154","1,100","1,076",-0.4,13.9
"0670098","Santa Rosa city","Sonoma",40.1,271,"153,158","3,816.5","148,116","120,644",145,139,151,3.4,22.8
"0670224","Santee city","San Diego",16.1,773,"52,306","3,256.9","52,968","52,783",631,574,486,-1.2,0.4
"0670280","Saratoga city","Santa Clara",12.1,917,"29,663","2,449.5","29,866","28,103","1,113","1,064",976,-0.7,6.3
"0670742","Seaside city","Monterey",8.8,"1,055","34,214","3,874.7","33,097","38,850",980,961,696,3.4,-14.8
"0672016","Simi Valley city","Ventura",39.2,280,"118,687","3,029.3","111,372","100,325",198,206,200,6.6,11.0
"0673080","South Gate city","Los Angeles",7.4,"1,107","98,897","13,418.9","96,375","86,308",260,251,247,2.6,11.7
"0673262","South San Francisco city","San Mateo",9.0,"1,042","60,735","6,733.4","60,552","54,427",515,471,459,0.3,11.3
"0673962","Stanton city","Orange",3.1,"1,234","37,661","12,070.8","37,423","30,353",885,854,915,0.6,23.3
"0675000","Stockton city","San Joaquin",54.7,178,"286,926","5,244.5","244,011","211,970",63,69,74,17.6,15.1
"0675630","Suisun City city","Solano",4.0,"1,218","26,762","6,673.8","26,118","22,783","1,208","1,217","1,138",2.5,14.6
"0677000","Sunnyvale city","Santa Clara",21.9,585,"128,902","5,875.2","131,844","117,481",181,164,155,-2.2,12.2
"0678120","Temecula city","Riverside",26.3,486,"85,799","3,267.3","63,298","27,138",326,447,"1,012",35.5,133.2
"0678148","Temple City city","Los Angeles",4.0,"1,218","37,363","9,317.5","33,377","31,136",893,955,885,11.9,7.2
"0678582","Thousand Oaks city","Ventura",54.9,175,"124,359","2,266.8","117,005","104,187",189,189,190,6.3,12.3
"0680000","Torrance city","Los Angeles",20.5,638,"142,384","6,932.0","137,733","133,507",161,157,136,3.4,3.2
"0680238","Tracy city","San Joaquin",21.0,627,"79,964","3,807.8","56,897","34,647",363,515,782,40.5,64.2
"0680644","Tulare city","Tulare",16.6,751,"50,127","3,017.9","44,023","34,189",664,715,798,13.9,28.8
"0680812","Turlock city","Stanislaus",13.3,872,"67,669","5,087.9","56,000","43,098",447,530,616,20.8,29.9
"0680854","Tustin city","Orange",11.4,942,"69,096","6,061.1","67,630","51,567",436,415,501,2.2,31.1
"0680994","Twentynine Palms city","San Bernardino",54.8,176,"28,409",518.2,"28,590","11,784","1,155","1,101","1,219",-0.6,142.6
"0681204","Union City city","Alameda",19.3,672,"69,176","3,593.6","66,869","53,774",435,420,470,3.5,24.4
"0681344","Upland city","San Bernardino",15.1,803,"73,589","4,867.0","68,552","63,351",398,408,375,7.3,8.2
"0681554","Vacaville city","Solano",27.1,460,"92,985","3,433.7","88,656","71,507",284,285,322,4.9,24.0
"0681666","Vallejo city","Solano",30.2,407,"117,483","3,891.5","116,760","109,323",200,191,175,0.6,6.8
"0682590","Victorville city","San Bernardino",72.8,117,"91,264","1,254.0","64,058","50,379",294,438,520,42.5,27.2
"0682954","Visalia city","Tulare",28.6,430,"108,669","3,802.3","91,964","77,052",222,269,290,18.2,19.4
"0682996","Vista city","San Diego",18.7,696,"90,402","4,839.5","90,032","73,193",299,278,307,0.4,23.0
"0683332","Walnut city","Los Angeles",9.0,"1,044","31,424","3,499.3","30,004","29,149","1,054","1,056",944,4.7,2.9
"0683346","Walnut Creek city","Contra Costa",19.9,653,"64,196","3,224.3","64,506","61,098",476,435,395,-0.5,5.6
"0683668","Watsonville city","Santa Cruz",6.4,"1,142","47,927","7,547.6","46,449","34,218",695,677,796,3.2,35.7
"0684200","West Covina city","Los Angeles",16.1,770,"108,185","6,715.4","105,080","96,015",223,222,213,3.0,9.4
"0684410","West Hollywood city","Los Angeles",1.9,"1,253","36,732","19,538.3","35,794","36,021",911,893,750,2.6,-0.6
"0684550","Westminster city","Orange",10.1,"1,005","89,523","8,854.9","88,188","78,603",306,287,282,1.5,12.2
"0684816","West Sacramento city","Yolo",20.9,629,"41,744","1,993.5","31,615","28,900",797,"1,005",948,32.0,9.4
"0685292","Whittier city","Los Angeles",14.6,820,"84,473","5,774.0","83,627","77,663",334,314,287,1.0,7.7
"0686328","Woodland city","Yolo",10.3,997,"51,020","4,948.6","49,572","40,580",653,620,660,2.9,22.2
"0686832","Yorba Linda city","Orange",19.4,667,"64,476","3,328.7","58,922","52,797",473,491,485,9.4,11.6
"0686972","Yuba City city","Sutter",9.4,"1,035","58,628","6,257.0","50,544","29,218",545,611,941,16.0,73.0
"0687042","Yucaipa city","San Bernardino",27.8,446,"49,100","1,767.5","41,207","33,060",680,763,834,19.2,24.6
"0800000","COLORADO",,"103,717.5","(X)","4,665,177",45.0,"4,302,015","3,294,473","(X)","(X)","(X)",8.4,30.6
"0803455","Arvada city","Adams, Jefferson",32.7,368,"103,966","3,183.3","102,239","89,823",241,234,231,1.7,13.8
"0804000","Aurora city","Adams, Arapahoe, Douglas",142.5,43,"297,235","2,085.9","275,921","221,713",60,63,72,7.7,24.4
"0807850","Boulder city","Boulder",24.4,524,"91,685","3,762.2","94,578","85,975",291,259,251,-3.1,10.0
"0809280","Broomfield city","Broomfield",27.1,459,"43,478","1,603.8","39,198","24,746",771,809,"1,089",10.9,58.4
"0812815","Centennial city","Arapahoe","(X)","(X)","98,243","(NA)","102,767","(X)",265,229,"(X)",-4.4,"(NA)"
"0816000","Colorado Springs city","El Paso",185.7,29,"369,815","1,991.0","361,022","282,355",49,49,54,2.4,27.9
"0820000","Denver city","Denver",153.4,40,"557,917","3,638.2","553,693","467,549",25,25,28,0.8,18.4
"0824785","Englewood city","Arapahoe",6.6,"1,139","32,350","4,938.9","31,727","29,918","1,023",998,924,2.0,6.0
"0827425","Fort Collins city","Larimer",46.5,213,"128,026","2,750.9","119,020","88,831",185,185,236,7.6,34.0
"0831660","Grand Junction city","Mesa",30.8,397,"45,299","1,470.3","43,898","35,448",745,716,760,3.2,23.8
"0832155","Greeley city","Weld",29.9,414,"87,596","2,929.6","77,737","60,759",312,352,398,12.7,27.9
"0843000","Lakewood city","Jefferson",41.6,255,"140,671","3,382.3","144,363","125,968",164,144,145,-2.6,14.6
"0845255","Littleton city","Arapahoe, Douglas, Jefferson",13.5,863,"40,396","2,987.9","40,340","33,746",816,783,810,0.1,19.5
"0845970","Longmont city","Boulder, Weld",21.8,589,"81,818","3,754.8","71,113","52,203",348,391,493,15.1,36.2
"0846465","Loveland city","Larimer",24.6,520,"59,563","2,424.2","51,194","37,778",531,600,720,16.3,35.5
"0854330","Northglenn city","Adams, Weld",7.4,"1,103","32,906","4,434.8","31,575","27,259","1,009","1,009","1,007",4.2,15.8
"0862000","Pueblo city","Pueblo",45.1,224,"103,495","2,295.8","102,129","98,723",242,235,205,1.3,3.5
"0877290","Thornton city","Adams, Weld",26.9,467,"105,182","3,915.9","82,890","55,307",234,319,449,26.9,49.9
"0883835","Westminster city","Adams, Jefferson",31.5,384,"105,084","3,334.9","101,020","74,166",235,237,302,4.0,36.2
"0884440","Wheat Ridge city","Jefferson",9.1,"1,041","31,242","3,437.0","32,913","29,387","1,063",965,937,-5.1,12.0
"0900000","CONNECTICUT",,"4,844.8","(X)","3,510,297",724.5,"3,405,602","3,287,116","(X)","(X)","(X)",3.1,3.6
"0908000","Bridgeport city","Fairfield",16.0,774,"139,008","8,688.0","139,529","141,719",168,153,127,-0.4,-1.5
"0908420","Bristol city","Hartford",26.5,478,"61,353","2,314.3","60,187","60,645",508,477,401,1.9,-0.8
"0918430","Danbury city","Fairfield",42.1,250,"78,736","1,869.8","74,848","65,627",372,368,360,5.2,14.1
"0937000","Hartford city","Hartford",17.3,732,"124,397","7,186.4","124,121","137,382",188,177,132,0.2,-9.7
"0946450","Meriden city","New Haven",23.8,545,"59,653","2,511.7","58,244","59,451",528,500,411,2.4,-2.0
"0947290","Middletown city","Middlesex",40.9,260,"47,438","1,159.9","45,563","42,776",708,688,621,4.1,6.5
"0947515","Milford city (balance)","New Haven",22.3,581,"53,045","2,380.8","50,594","48,149",622,610,545,4.8,5.1
"0949880","Naugatuck borough","New Haven",16.4,761,"31,864","1,944.1","30,989","30,556","1,045","1,024",909,2.8,1.4
"0950370","New Britain city","Hartford",13.3,871,"71,254","5,341.4","71,538","75,484",415,387,296,-0.4,-5.2
"0952000","New Haven city","New Haven",18.9,692,"124,791","6,620.2","123,777","130,159",187,178,139,0.8,-4.9
"0952280","New London city","New London",5.5,"1,173","26,174","4,724.5","26,185","28,556","1,230","1,214",963,"(Z)",-8.3
"0955990","Norwalk city","Fairfield",22.8,567,"84,437","3,701.8","82,951","78,412",335,317,283,1.8,5.8
"0956200","Norwich city","New London",28.3,437,"36,598","1,291.8","36,117","37,470",916,882,726,1.3,-3.6
"0968100","Shelton city","Fairfield",30.6,400,"39,477","1,291.4","38,101","35,414",841,838,762,3.6,7.6
"0973000","Stamford city","Fairfield",37.8,292,"120,045","3,180.0","117,072","108,089",196,188,181,2.5,8.3
"0976500","Torrington city","Litchfield",39.8,274,"35,995",904.6,"35,202","33,704",933,909,811,2.3,4.4
"0980000","Waterbury city","New Haven",28.6,431,"107,902","3,776.8","107,271","108,226",225,215,180,0.6,-0.9
"0982800","West Haven city","New Haven",10.8,969,"52,923","4,882.2","52,360","54,283",623,586,463,1.1,-3.5
"1000000","DELAWARE",,"1,953.6","(X)","843,524",431.8,"783,600","666,168","(X)","(X)","(X)",7.6,17.6
"1021200","Dover city","Kent",22.4,578,"34,288","1,531.4","32,083","27,913",979,989,986,6.9,14.9
"1050670","Newark city","New Castle",8.9,"1,048","30,060","3,370.0","28,853","26,702","1,096","1,091","1,029",4.2,8.1
"1077580","Wilmington city","New Castle",10.9,967,"72,786","6,708.4","72,644","71,493",405,380,323,0.2,1.6
"1100000","DISTRICT OF COLUMBIA",,61.4,"(X)","550,521","8,966.1","572,059","606,900","(X)","(X)","(X)",-3.8,-5.7
"1150000","Washington city","District of Columbia",61.4,144,"550,521","8,966.1","572,059","606,900",27,21,19,-3.8,-5.7
"1200000","FLORIDA",,"53,926.8","(X)","17,789,864",329.9,"15,982,824","12,938,071","(X)","(X)","(X)",11.3,23.5
"1200950","Altamonte Springs city","Seminole",8.9,"1,050","41,057","4,613.1","41,381","35,030",804,758,770,-0.8,18.1
"1201700","Apopka city","Orange",24.0,532,"34,728","1,444.6","27,443","15,169",967,"1,151","1,212",26.5,80.9
"1202681","Aventura city","Miami-Dade",2.7,"1,240","29,391","10,885.6","25,267","(X)","1,123","1,255","(X)",16.3,"(NA)"
"1207300","Boca Raton city","Palm Beach",27.2,456,"86,632","3,186.2","83,015","61,250",317,316,394,4.4,35.5
"1207525","Bonita Springs city","Lee",35.3,327,"37,992","1,076.6","32,808","(X)",876,971,"(X)",15.8,"(NA)"
"1207875","Boynton Beach city","Palm Beach",15.9,782,"66,885","4,211.9","60,441","47,004",454,474,559,10.7,28.6
"1207950","Bradenton city","Manatee",12.1,917,"53,917","4,452.3","49,516","43,018",608,622,617,8.9,15.1
"1210275","Cape Coral city","Lee",105.2,66,"140,010","1,331.0","102,275","74,940",166,233,299,36.9,36.5
"1212875","Clearwater city","Pinellas",25.3,506,"108,687","4,297.6","109,452","99,380",221,210,203,-0.7,10.1
"1213275","Coconut Creek city","Broward",11.6,938,"49,017","4,243.9","43,592","27,414",682,722,999,12.4,59.0
"1214125","Cooper City city","Broward",6.4,"1,142","30,022","4,727.9","28,267","20,253","1,098","1,113","1,169",6.2,39.6
"1214250","Coral Gables city","Miami-Dade",13.1,881,"42,871","3,265.1","42,805","41,528",780,735,646,0.2,3.1
"1214400","Coral Springs city","Broward",23.9,538,"128,804","5,387.0","117,549","79,259",182,187,276,9.6,48.3
"1216335","Dania Beach city","Broward",6.1,"1,153","28,782","4,726.1","27,293","17,736","1,141","1,160","1,198",5.5,53.9
"1216475","Davie town","Broward",33.4,353,"84,204","2,518.8","75,720","54,868",337,365,455,11.2,38.0
"1216525","Daytona Beach city","Volusia",58.7,152,"64,421","1,097.8","63,777","62,609",474,440,381,1.0,1.9
"1216725","Deerfield Beach city","Broward",13.4,868,"76,348","5,684.9","74,306","55,037",382,369,452,2.7,35.0
"1217100","Delray Beach city","Palm Beach",15.4,796,"64,757","4,213.2","60,037","47,789",469,480,549,7.9,25.6
"1217200","Deltona city","Volusia",35.8,315,"82,788","2,313.8","69,567","(X)",342,400,"(X)",19.0,"(NA)"
"1218575","Dunedin city","Pinellas",10.4,993,"36,690","3,534.7","35,977","34,234",913,884,795,2.0,5.1
"1224000","Fort Lauderdale city","Broward",31.7,381,"167,380","5,275.1","154,198","149,868",133,131,118,8.5,2.9
"1224125","Fort Myers city","Lee",31.8,379,"58,428","1,835.6","52,274","44,487",546,587,592,11.8,17.5
"1224300","Fort Pierce city","St. Lucie",14.7,817,"38,552","2,615.5","37,738","38,319",864,847,706,2.2,-1.5
"1225175","Gainesville city","Alachua",48.2,206,"108,184","2,245.4","111,405","90,250",224,205,229,-2.9,23.4
"1227322","Greenacres city","Palm Beach",4.7,"1,202","32,525","6,979.6","27,833","19,358","1,016","1,133","1,178",16.9,43.8
"1228452","Hallandale Beach city","Broward",4.2,"1,212","37,083","8,808.3","34,282","30,948",903,927,893,8.2,10.8
"1230000","Hialeah city","Miami-Dade",19.2,673,"220,485","11,459.7","226,434","188,008",84,75,87,-2.6,20.4
"1232000","Hollywood city","Broward",27.3,452,"145,629","5,326.6","139,443","122,111",154,154,149,4.4,14.2
"1232275","Homestead city","Miami-Dade",14.3,832,"44,494","3,115.8","31,909","28,287",759,994,971,39.4,12.8
"1235000","Jacksonville city","Duval",757.7,3,"782,623","1,032.9","735,606","635,078",13,14,17,6.4,15.8
"1235875","Jupiter town","Palm Beach",20.0,650,"47,909","2,395.5","39,422","29,802",696,805,927,21.5,32.3
"1236550","Key West city","Monroe",6.0,"1,157","23,935","4,022.7","25,478","24,853","1,267","1,250","1,082",-6.1,2.5
"1236950","Kissimmee city","Osceola",16.7,749,"59,364","3,559.0","48,016","30,578",535,647,907,23.6,57.0
"1238250","Lakeland city","Polk",45.8,218,"88,713","1,935.3","84,448","72,642",308,308,311,5.1,16.3
"1239075","Lake Worth city","Palm Beach",5.6,"1,169","36,342","6,443.6","35,663","28,803",923,896,954,1.9,23.8
"1239425","Largo city","Pinellas",15.7,788,"74,473","4,755.6","74,076","68,448",394,371,339,0.5,8.2
"1239525","Lauderdale Lakes city","Broward",3.6,"1,229","31,826","8,865.2","31,229","27,902","1,046","1,018",988,1.9,11.9
"1239550","Lauderhill city","Broward",7.3,"1,111","59,621","8,167.3","57,585","48,810",529,509,538,3.5,18.0
"1243125","Margate city","Broward",8.8,"1,057","56,002","6,356.6","53,909","42,837",583,562,620,3.9,25.8
"1243975","Melbourne city","Brevard",30.2,406,"76,646","2,537.9","71,856","60,773",380,385,397,6.7,18.2
"1245000","Miami city","Miami-Dade",35.7,317,"386,417","10,833.1","362,436","358,894",45,48,47,6.6,1.0
"1245025","Miami Beach city","Miami-Dade",7.0,"1,118","87,925","12,507.1","87,933","92,639",310,289,224,"(Z)",-5.1
"1245060","Miami Gardens city","Miami-Dade","(X)","(X)","99,438","(NA)","100,515","(X)",257,241,"(X)",-1.1,"(NA)"
"1245975","Miramar city","Broward",29.5,418,"106,623","3,614.3","72,739","41,596",228,379,643,46.6,74.9
"1249425","North Lauderdale city","Broward",3.9,"1,224","42,262","10,892.3","38,523","27,031",786,828,"1,015",9.7,42.5
"1249450","North Miami city","Miami-Dade",8.5,"1,065","57,654","6,814.9","59,880","50,590",558,481,518,-3.7,18.4
"1249475","North Miami Beach city","Miami-Dade",5.0,"1,194","39,442","7,952.0","40,786","34,911",842,771,773,-3.3,16.8
"1250575","Oakland Park city","Broward",6.3,"1,147","31,713","5,033.8","30,966","25,635","1,047","1,025","1,060",2.4,20.8
"1250750","Ocala city","Marion",38.6,284,"49,745","1,287.7","45,909","42,742",672,682,623,8.4,7.4
"1253000","Orlando city","Orange",93.5,82,"213,223","2,280.5","192,432","165,851",87,100,105,10.8,16.0
"1253150","Ormond Beach city","Volusia",25.8,496,"38,613","1,499.5","36,405","31,430",861,870,879,6.1,15.8
"1253575","Oviedo city","Seminole",15.1,802,"29,848","1,972.8","26,326","11,258","1,105","1,201","1,221",13.4,133.8
"1254000","Palm Bay city","Brevard",63.7,136,"92,833","1,458.5","79,426","62,652",285,342,380,16.9,26.8
"1254075","Palm Beach Gardens city","Palm Beach",55.7,169,"48,989",879.8,"36,266","24,287",683,876,"1,102",35.1,49.3
"1254200","Palm Coast city","Flagler",50.7,192,"60,952","1,201.7","32,737","(X)",514,973,"(X)",86.2,"(NA)"
"1254700","Panama City city","Bay",20.5,639,"37,188","1,812.3","36,585","34,855",898,867,778,1.6,5.0
"1255775","Pembroke Pines city","Broward",33.1,360,"150,380","4,550.1","137,415","65,437",148,158,362,9.4,110.0
"1255925","Pensacola city","Escambia",22.7,570,"54,055","2,381.3","56,255","59,181",606,526,414,-3.9,-4.9
"1256975","Pinellas Park city","Pinellas",14.8,816,"47,352","3,210.3","46,852","44,667",711,666,591,1.1,4.9
"1257425","Plantation city","Broward",21.7,590,"85,989","3,955.3","82,934","66,665",323,318,349,3.7,24.4
"1257550","Plant City city","Hillsborough",22.6,573,"31,450","1,389.7","29,916","23,022","1,052","1,060","1,132",5.1,29.9
"1258050","Pompano Beach city","Broward",20.6,636,"104,179","5,069.5","100,205","72,344",237,244,313,4.0,38.5
"1258575","Port Orange city","Volusia",24.7,515,"53,746","2,175.1","46,252","36,969",610,679,733,16.2,25.1
"1258715","Port St. Lucie city","St. Lucie",75.5,108,"131,692","1,743.3","88,878","55,771",178,284,442,48.2,59.4
"1260975","Riviera Beach city","Palm Beach",8.3,"1,071","33,772","4,049.4","29,888","27,290",988,"1,062","1,004",13.0,9.5
"1263000","St. Petersburg city","Pinellas",59.6,148,"249,079","4,177.1","248,896","240,443",71,68,64,0.1,3.5
"1263650","Sanford city","Seminole",19.1,680,"47,257","2,472.9","38,696","32,845",714,823,842,22.1,17.8
"1264175","Sarasota city","Sarasota",14.9,811,"53,711","3,607.2","52,725","51,007",611,579,511,1.9,3.4
"1269700","Sunrise city","Broward",18.2,706,"90,589","4,977.4","85,787","66,201",298,299,353,5.6,29.6
"1270600","Tallahassee city","Leon",95.7,77,"158,500","1,656.0","152,307","125,845",141,132,146,4.1,21.0
"1270675","Tamarac city","Broward",11.4,943,"59,923","5,261.0","55,588","44,437",525,540,593,7.8,25.1
"1271000","Tampa city","Hillsborough",112.1,62,"325,989","2,908.8","303,475","280,306",56,58,55,7.4,8.3
"1271900","Titusville city","Brevard",21.3,611,"43,767","2,058.7","40,691","39,706",767,773,679,7.6,2.5
"1275812","Wellington village","Palm Beach",31.1,391,"53,583","1,725.7","38,826","(X)",613,820,"(X)",38.0,"(NA)"
"1276582","Weston city","Broward",23.8,543,"65,679","2,764.3","49,286","(X)",464,630,"(X)",33.3,"(NA)"
"1276600","West Palm Beach city","Palm Beach",55.1,173,"97,498","1,768.2","82,379","67,995",267,321,343,18.4,21.2
"1278275","Winter Haven city","Polk",17.7,722,"29,501","1,668.6","27,100","25,924","1,120","1,170","1,056",8.9,4.5
"1278300","Winter Park city","Orange",7.3,"1,108","28,179","3,839.1","27,774","24,602","1,160","1,135","1,093",1.5,12.9
"1278325","Winter Springs city","Seminole",14.4,829,"32,583","2,270.6","31,046","22,184","1,014","1,021","1,148",5.0,39.9
"1300000","GEORGIA",,"57,906.1","(X)","9,072,576",156.7,"8,186,816","6,478,149","(X)","(X)","(X)",10.8,26.4
"1301052","Albany city","Dougherty",55.5,172,"75,394","1,357.7","76,925","78,610",386,360,281,-2.0,-2.1
"1301696","Alpharetta city","Fulton",21.4,606,"40,128","1,878.7","37,983","14,188",821,842,"1,216",5.6,167.7
"1303440","Athens-Clarke County (balance)","Clarke",117.8,55,"103,238",876.8,"100,269","86,553",243,243,245,3.0,15.8
"1304000","Atlanta city","DeKalb, Fulton",131.8,50,"470,688","3,572.6","416,425","393,962",35,40,36,13.0,5.7
"1304204","Augusta-Richmond County (balance)","Richmond",302.1,18,"190,782",631.5,"195,182","186,108",113,97,90,-2.3,4.9
"1319000","Columbus city","Muscogee","(X)","(X)","185,271","(NA)","186,291","(X)",115,107,"(X)",-0.5,"(NA)"
"1321380","Dalton city","Whitfield",19.8,657,"32,140","1,621.6","27,921","22,535","1,036","1,124","1,142",15.1,23.9
"1325720","East Point city","Fulton",13.8,853,"40,680","2,958.5","40,033","34,590",810,790,783,1.6,15.7
"1331908","Gainesville city","Hall",27.1,460,"32,444","1,198.1","25,891","17,974","1,021","1,231","1,195",25.3,44.0
"1338964","Hinesville city","Liberty",16.2,766,"28,615","1,764.2","30,446","22,591","1,148","1,040","1,141",-6.0,34.8
"1344340","LaGrange city","Troup",29.0,423,"27,362",944.8,"26,212","25,603","1,187","1,209","1,061",4.4,2.4
"1349000","Macon city","Bibb, Jones",55.8,167,"94,316","1,690.3","97,255","106,779",278,249,184,-3.0,-8.9
"1349756","Marietta city","Cobb",21.9,586,"61,261","2,798.6","59,324","44,290",510,487,599,3.3,33.9
"1359724","Peachtree City city","Fayette",23.3,553,"34,524","1,483.6","31,580","18,951",972,"1,008","1,186",9.3,66.6
"1366668","Rome city","Floyd",29.4,419,"35,816","1,219.1","35,471","32,163",941,899,858,1.0,10.3
"1367284","Roswell city","Fulton",38.0,289,"85,920","2,259.9","80,076","57,039",324,337,432,7.3,40.4
"1369000","Savannah city","Chatham",74.7,111,"128,453","1,718.7","133,412","137,776",183,162,131,-3.7,-3.2
"1371492","Smyrna city","Cobb",13.9,848,"47,643","3,427.6","44,094","34,250",701,713,793,8.0,28.7
"1378800","Valdosta city","Lowndes",29.9,412,"45,205","1,509.9","44,280","41,305",747,710,648,2.1,7.2
"1380508","Warner Robins city","Houston, Peach",22.8,568,"57,907","2,544.2","49,117","44,718",553,633,589,17.9,9.8
"1500000","HAWAII",,"6,422.6","(X)","1,275,194",198.5,"1,211,537","1,108,229","(X)","(X)","(X)",5.3,9.3
"1517000","Honolulu CDP","Honolulu",85.7,86,"377,379","4,403.5","371,657","376,386",47,47,39,1.5,-1.3
"1600000","IDAHO",,"82,747.2","(X)","1,429,096",17.3,"1,293,956","1,006,734","(X)","(X)","(X)",10.4,28.5
"1608830","Boise City city","Ada",63.8,135,"193,161","3,028.6","188,905","141,825",111,105,126,2.3,33.2
