"year","month","abbr","length","start"
2003,12,"HUTYPEA","2","41"
2004,1,"HUTYPEA","2","41"
2004,2,"HUTYPEA","2","41"
2004,3,"HUTYPEA","2","41"
2004,4,"HUTYPEA","2","41"
2003,1,"HUTYPB","2","43"
2003,2,"HUTYPB","2","43"
2003,3,"HUTYPB","2","43"
2003,4,"HUTYPB","2","43"
2003,5,"HUTYPB","2","43"
2003,6,"HUTYPB","2","43"
2003,7,"HUTYPB","2","43"
2003,8,"HUTYPB","2","43"
2003,9,"HUTYPB","2","43"
2003,10,"HUTYPB","2","43"
2003,11,"HUTYPB","2","43"
2003,12,"HUTYPB","2","43"
2004,1,"HUTYPB","2","43"
2004,2,"HUTYPB","2","43"
2004,3,"HUTYPB","2","43"
2004,4,"HUTYPB","2","43"
2003,1,"HUTYPC","2","45"
2003,2,"HUTYPC","2","45"
2003,3,"HUTYPC","2","45"
2003,4,"HUTYPC","2","45"
2003,5,"HUTYPC","2","45"
2003,6,"HUTYPC","2","45"
2003,7,"HUTYPC","2","45"
2003,8,"HUTYPC","2","45"
2003,9,"HUTYPC","2","45"
2003,10,"HUTYPC","2","45"
2003,11,"HUTYPC","2","45"
2003,12,"HUTYPC","2","45"
2004,1,"HUTYPC","2","45"
2004,2,"HUTYPC","2","45"
2004,3,"HUTYPC","2","45"
2004,4,"HUTYPC","2","45"
2003,1,"HWHHWGT","10","47"
2003,2,"HWHHWGT","10","47"
2003,3,"HWHHWGT","10","47"
2003,4,"HWHHWGT","10","47"
2003,5,"HWHHWGT","10","47"
2003,6,"HWHHWGT","10","47"
2003,7,"HWHHWGT","10","47"
2003,8,"HWHHWGT","10","47"
2003,9,"HWHHWGT","10","47"
2003,10,"HWHHWGT","10","47"
2003,11,"HWHHWGT","10","47"
2003,12,"HWHHWGT","10","47"
2004,1,"HWHHWGT","10","47"
2004,2,"HWHHWGT","10","47"
2004,3,"HWHHWGT","10","47"
2004,4,"HWHHWGT","10","47"
2003,1,"HRINTSTA","2","57"
2003,2,"HRINTSTA","2","57"
2003,3,"HRINTSTA","2","57"
2003,4,"HRINTSTA","2","57"
2003,5,"HRINTSTA","2","57"
2003,6,"HRINTSTA","2","57"
2003,7,"HRINTSTA","2","57"
2003,8,"HRINTSTA","2","57"
2003,9,"HRINTSTA","2","57"
2003,10,"HRINTSTA","2","57"
2003,11,"HRINTSTA","2","57"
2003,12,"HRINTSTA","2","57"
2004,1,"HRINTSTA","2","57"
2004,2,"HRINTSTA","2","57"
2004,3,"HRINTSTA","2","57"
2004,4,"HRINTSTA","2","57"
2003,1,"RNUMHOU","2","59"
2003,2,"RNUMHOU","2","59"
2003,3,"RNUMHOU","2","59"
2003,4,"RNUMHOU","2","59"
2003,5,"RNUMHOU","2","59"
2003,6,"RNUMHOU","2","59"
2003,7,"RNUMHOU","2","59"
2003,8,"RNUMHOU","2","59"
2003,9,"RNUMHOU","2","59"
2003,10,"RNUMHOU","2","59"
2003,11,"RNUMHOU","2","59"
2003,12,"RNUMHOU","2","59"
2004,1,"RNUMHOU","2","59"
2004,2,"RNUMHOU","2","59"
2004,3,"RNUMHOU","2","59"
2004,4,"RNUMHOU","2","59"
2003,1,"HRHTYPE","2","61"
2003,2,"HRHTYPE","2","61"
2003,3,"HRHTYPE","2","61"
2003,4,"HRHTYPE","2","61"
2003,5,"HRHTYPE","2","61"
2003,6,"HRHTYPE","2","61"
2003,7,"HRHTYPE","2","61"
2003,8,"HRHTYPE","2","61"
2003,9,"HRHTYPE","2","61"
2003,10,"HRHTYPE","2","61"
2003,11,"HRHTYPE","2","61"
2003,12,"HRHTYPE","2","61"
2004,1,"HRHTYPE","2","61"
2004,2,"HRHTYPE","2","61"
2004,3,"HRHTYPE","2","61"
2004,4,"HRHTYPE","2","61"
2003,1,"HRMIS","2","63"
2003,2,"HRMIS","2","63"
2003,3,"HRMIS","2","63"
2003,4,"HRMIS","2","63"
2003,5,"HRMIS","2","63"
2003,6,"HRMIS","2","63"
2003,7,"HRMIS","2","63"
2003,8,"HRMIS","2","63"
2003,9,"HRMIS","2","63"
2003,10,"HRMIS","2","63"
2003,11,"HRMIS","2","63"
2003,12,"HRMIS","2","63"
2004,1,"HRMIS","2","63"
2004,2,"HRMIS","2","63"
2004,3,"HRMIS","2","63"
2004,4,"HRMIS","2","63"
2003,1,"HUINTTYP","2","65"
2003,2,"HUINTTYP","2","65"
2003,3,"HUINTTYP","2","65"
2003,4,"HUINTTYP","2","65"
2003,5,"HUINTTYP","2","65"
2003,6,"HUINTTYP","2","65"
2003,7,"HUINTTYP","2","65"
2003,8,"HUINTTYP","2","65"
2003,9,"HUINTTYP","2","65"
2003,10,"HUINTTYP","2","65"
2003,11,"HUINTTYP","2","65"
2003,12,"HUINTTYP","2","65"
2004,1,"HUINTTYP","2","65"
2004,2,"HUINTTYP","2","65"
2004,3,"HUINTTYP","2","65"
2004,4,"HUINTTYP","2","65"
2003,1,"HUPRSCNT","2","67"
2003,2,"HUPRSCNT","2","67"
2003,3,"HUPRSCNT","2","67"
2003,4,"HUPRSCNT","2","67"
2003,5,"HUPRSCNT","2","67"
2003,6,"HUPRSCNT","2","67"
2003,7,"HUPRSCNT","2","67"
2003,8,"HUPRSCNT","2","67"
2003,9,"HUPRSCNT","2","67"
2003,10,"HUPRSCNT","2","67"
2003,11,"HUPRSCNT","2","67"
2003,12,"HUPRSCNT","2","67"
2004,1,"HUPRSCNT","2","67"
2004,2,"HUPRSCNT","2","67"
2004,3,"HUPRSCNT","2","67"
2004,4,"HUPRSCNT","2","67"
2003,1,"HRLONGLK","2","69"
2003,2,"HRLONGLK","2","69"
2003,3,"HRLONGLK","2","69"
2003,4,"HRLONGLK","2","69"
2003,5,"HRLONGLK","2","69"
2003,6,"HRLONGLK","2","69"
2003,7,"HRLONGLK","2","69"
2003,8,"HRLONGLK","2","69"
2003,9,"HRLONGLK","2","69"
2003,10,"HRLONGLK","2","69"
2003,11,"HRLONGLK","2","69"
2003,12,"HRLONGLK","2","69"
2004,1,"HRLONGLK","2","69"
2004,2,"HRLONGLK","2","69"
2004,3,"HRLONGLK","2","69"
2004,4,"HRLONGLK","2","69"
2003,1,"HRSAMPLE","4","71"
2003,2,"HRSAMPLE","4","71"
2003,3,"HRSAMPLE","4","71"
2003,4,"HRSAMPLE","4","71"
2003,5,"HRSAMPLE","4","71"
2003,6,"HRSAMPLE","4","71"
2003,7,"HRSAMPLE","4","71"
2003,8,"HRSAMPLE","4","71"
2003,9,"HRSAMPLE","4","71"
2003,10,"HRSAMPLE","4","71"
2003,11,"HRSAMPLE","4","71"
2003,12,"HRSAMPLE","4","71"
2004,1,"HRSAMPLE","4","71"
2004,2,"HRSAMPLE","4","71"
2004,3,"HRSAMPLE","4","71"
2004,4,"HRSAMPLE","4","71"
2003,1,"HRSERSUF","2","75"
2003,2,"HRSERSUF","2","75"
2003,3,"HRSERSUF","2","75"
2003,4,"HRSERSUF","2","75"
2003,5,"HRSERSUF","2","75"
2003,6,"HRSERSUF","2","75"
2003,7,"HRSERSUF","2","75"
2003,8,"HRSERSUF","2","75"
2003,9,"HRSERSUF","2","75"
2003,10,"HRSERSUF","2","75"
2003,11,"HRSERSUF","2","75"
2003,12,"HRSERSUF","2","75"
2004,1,"HRSERSUF","2","75"
2004,2,"HRSERSUF","2","75"
2004,3,"HRSERSUF","2","75"
2004,4,"HRSERSUF","2","75"
2003,1,"HUHHNUM","2","77"
2003,2,"HUHHNUM","2","77"
2003,3,"HUHHNUM","2","77"
2003,4,"HUHHNUM","2","77"
2003,5,"HUHHNUM","2","77"
2003,6,"HUHHNUM","2","77"
2003,7,"HUHHNUM","2","77"
2003,8,"HUHHNUM","2","77"
2003,9,"HUHHNUM","2","77"
2003,10,"HUHHNUM","2","77"
2003,11,"HUHHNUM","2","77"
2003,12,"HUHHNUM","2","77"
2004,1,"HUHHNUM","2","77"
2004,2,"HUHHNUM","2","77"
2004,3,"HUHHNUM","2","77"
2004,4,"HUHHNUM","2","77"
2003,1,"HUBUS","2","79"
2003,2,"HUBUS","2","79"
2003,3,"HUBUS","2","79"
2003,4,"HUBUS","2","79"
2003,5,"HUBUS","2","79"
2003,6,"HUBUS","2","79"
2003,7,"HUBUS","2","79"
2003,8,"HUBUS","2","79"
2003,9,"HUBUS","2","79"
2003,10,"HUBUS","2","79"
2003,11,"HUBUS","2","79"
2003,12,"HUBUS","2","79"
2004,1,"HUBUS","2","79"
2004,2,"HUBUS","2","79"
2004,3,"HUBUS","2","79"
2004,4,"HUBUS","2","79"
2003,1,"HUBUSL1","2","81"
2003,2,"HUBUSL1","2","81"
2003,3,"HUBUSL1","2","81"
2003,4,"HUBUSL1","2","81"
2003,5,"HUBUSL1","2","81"
2003,6,"HUBUSL1","2","81"
2003,7,"HUBUSL1","2","81"
2003,8,"HUBUSL1","2","81"
2003,9,"HUBUSL1","2","81"
2003,10,"HUBUSL1","2","81"
2003,11,"HUBUSL1","2","81"
2003,12,"HUBUSL1","2","81"
2004,1,"HUBUSL1","2","81"
2004,2,"HUBUSL1","2","81"
2004,3,"HUBUSL1","2","81"
2004,4,"HUBUSL1","2","81"
2003,1,"HUBUSL2","2","83"
2003,2,"HUBUSL2","2","83"
2003,3,"HUBUSL2","2","83"
2003,4,"HUBUSL2","2","83"
2003,5,"HUBUSL2","2","83"
2003,6,"HUBUSL2","2","83"
2003,7,"HUBUSL2","2","83"
2003,8,"HUBUSL2","2","83"
2003,9,"HUBUSL2","2","83"
2003,10,"HUBUSL2","2","83"
2003,11,"HUBUSL2","2","83"
2003,12,"HUBUSL2","2","83"
2004,1,"HUBUSL2","2","83"
2004,2,"HUBUSL2","2","83"
2004,3,"HUBUSL2","2","83"
2004,4,"HUBUSL2","2","83"
2003,1,"HUBUSL3","2","85"
2003,2,"HUBUSL3","2","85"
2003,3,"HUBUSL3","2","85"
2003,4,"HUBUSL3","2","85"
2003,5,"HUBUSL3","2","85"
2003,6,"HUBUSL3","2","85"
2003,7,"HUBUSL3","2","85"
2003,8,"HUBUSL3","2","85"
2003,9,"HUBUSL3","2","85"
2003,10,"HUBUSL3","2","85"
2003,11,"HUBUSL3","2","85"
2003,12,"HUBUSL3","2","85"
2004,1,"HUBUSL3","2","85"
2004,2,"HUBUSL3","2","85"
2004,3,"HUBUSL3","2","85"
2004,4,"HUBUSL3","2","85"
2003,1,"HUBUSL4","2","87"
2003,2,"HUBUSL4","2","87"
2003,3,"HUBUSL4","2","87"
2003,4,"HUBUSL4","2","87"
2003,5,"HUBUSL4","2","87"
2003,6,"HUBUSL4","2","87"
2003,7,"HUBUSL4","2","87"
2003,8,"HUBUSL4","2","87"
2003,9,"HUBUSL4","2","87"
2003,10,"HUBUSL4","2","87"
2003,11,"HUBUSL4","2","87"
2003,12,"HUBUSL4","2","87"
2004,1,"HUBUSL4","2","87"
2004,2,"HUBUSL4","2","87"
2004,3,"HUBUSL4","2","87"
2004,4,"HUBUSL4","2","87"
2003,1,"GEREG","2","89"
2003,2,"GEREG","2","89"
2003,3,"GEREG","2","89"
2003,4,"GEREG","2","89"
2003,5,"GEREG","2","89"
2003,6,"GEREG","2","89"
2003,7,"GEREG","2","89"
2003,8,"GEREG","2","89"
2003,9,"GEREG","2","89"
2003,10,"GEREG","2","89"
2003,11,"GEREG","2","89"
2003,12,"GEREG","2","89"
2004,1,"GEREG","2","89"
2004,2,"GEREG","2","89"
2004,3,"GEREG","2","89"
2004,4,"GEREG","2","89"
2003,1,"GESTCEN","2","91"
2003,2,"GESTCEN","2","91"
2003,3,"GESTCEN","2","91"
2003,4,"GESTCEN","2","91"
2003,5,"GESTCEN","2","91"
2003,6,"GESTCEN","2","91"
2003,7,"GESTCEN","2","91"
2003,8,"GESTCEN","2","91"
2003,9,"GESTCEN","2","91"
2003,10,"GESTCEN","2","91"
2003,11,"GESTCEN","2","91"
2003,12,"GESTCEN","2","91"
2004,1,"GESTCEN","2","91"
2004,2,"GESTCEN","2","91"
2004,3,"GESTCEN","2","91"
2004,4,"GESTCEN","2","91"
2003,1,"GESTFIPS","2","93"
2003,2,"GESTFIPS","2","93"
2003,3,"GESTFIPS","2","93"
2003,4,"GESTFIPS","2","93"
2003,5,"GESTFIPS","2","93"
2003,6,"GESTFIPS","2","93"
2003,7,"GESTFIPS","2","93"
2003,8,"GESTFIPS","2","93"
2003,9,"GESTFIPS","2","93"
2003,10,"GESTFIPS","2","93"
2003,11,"GESTFIPS","2","93"
2003,12,"GESTFIPS","2","93"
2004,1,"GESTFIPS","2","93"
2004,2,"GESTFIPS","2","93"
2004,3,"GESTFIPS","2","93"
2004,4,"GESTFIPS","2","93"
2003,1,"ECMSA","2","95"
2003,2,"ECMSA","2","95"
2003,3,"ECMSA","2","95"
2003,4,"ECMSA","2","95"
2003,5,"ECMSA","2","95"
2003,6,"ECMSA","2","95"
2003,7,"ECMSA","2","95"
2003,8,"ECMSA","2","95"
2003,9,"ECMSA","2","95"
2003,10,"ECMSA","2","95"
2003,11,"ECMSA","2","95"
2003,12,"ECMSA","2","95"
2004,1,"ECMSA","2","95"
2004,2,"ECMSA","2","95"
2004,3,"ECMSA","2","95"
2004,4,"ECMSA","2","95"
2003,1,"GEMSA","4","97"
2003,2,"GEMSA","4","97"
2003,3,"GEMSA","4","97"
2003,4,"GEMSA","4","97"
2003,5,"GEMSA","4","97"
2003,6,"GEMSA","4","97"
2003,7,"GEMSA","4","97"
2003,8,"GEMSA","4","97"
2003,9,"GEMSA","4","97"
2003,10,"GEMSA","4","97"
2003,11,"GEMSA","4","97"
2003,12,"GEMSA","4","97"
2004,1,"GEMSA","4","97"
2004,2,"GEMSA","4","97"
2004,3,"GEMSA","4","97"
2004,4,"GEMSA","4","97"
2003,1,"GECO","3","101"
2003,2,"GECO","3","101"
2003,3,"GECO","3","101"
2003,4,"GECO","3","101"
2003,5,"GECO","3","101"
2003,6,"GECO","3","101"
2003,7,"GECO","3","101"
2003,8,"GECO","3","101"
2003,9,"GECO","3","101"
2003,10,"GECO","3","101"
2003,11,"GECO","3","101"
2003,12,"GECO","3","101"
2004,1,"GECO","3","101"
2004,2,"GECO","3","101"
2004,3,"GECO","3","101"
2004,4,"GECO","3","101"
2003,1,"GEMSAST","1","104"
2003,2,"GEMSAST","1","104"
2003,3,"GEMSAST","1","104"
2003,4,"GEMSAST","1","104"
2003,5,"GEMSAST","1","104"
2003,6,"GEMSAST","1","104"
2003,7,"GEMSAST","1","104"
2003,8,"GEMSAST","1","104"
2003,9,"GEMSAST","1","104"
2003,10,"GEMSAST","1","104"
2003,11,"GEMSAST","1","104"
2003,12,"GEMSAST","1","104"
2004,1,"GEMSAST","1","104"
2004,2,"GEMSAST","1","104"
2004,3,"GEMSAST","1","104"
2004,4,"GEMSAST","1","104"
2003,1,"GEMETSTA","1","105"
2003,2,"GEMETSTA","1","105"
2003,3,"GEMETSTA","1","105"
2003,4,"GEMETSTA","1","105"
2003,5,"GEMETSTA","1","105"
2003,6,"GEMETSTA","1","105"
2003,7,"GEMETSTA","1","105"
2003,8,"GEMETSTA","1","105"
2003,9,"GEMETSTA","1","105"
2003,10,"GEMETSTA","1","105"
2003,11,"GEMETSTA","1","105"
2003,12,"GEMETSTA","1","105"
2004,1,"GEMETSTA","1","105"
2004,2,"GEMETSTA","1","105"
2004,3,"GEMETSTA","1","105"
2004,4,"GEMETSTA","1","105"
2003,1,"GEINDVCC","1","106"
2003,2,"GEINDVCC","1","106"
2003,3,"GEINDVCC","1","106"
2003,4,"GEINDVCC","1","106"
2003,5,"GEINDVCC","1","106"
2003,6,"GEINDVCC","1","106"
2003,7,"GEINDVCC","1","106"
2003,8,"GEINDVCC","1","106"
2003,9,"GEINDVCC","1","106"
2003,10,"GEINDVCC","1","106"
2003,11,"GEINDVCC","1","106"
2003,12,"GEINDVCC","1","106"
2004,1,"GEINDVCC","1","106"
2004,2,"GEINDVCC","1","106"
2004,3,"GEINDVCC","1","106"
2004,4,"GEINDVCC","1","106"
2003,1,"GEMSASZ","1","107"
2003,2,"GEMSASZ","1","107"
2003,3,"GEMSASZ","1","107"
2003,4,"GEMSASZ","1","107"
2003,5,"GEMSASZ","1","107"
2003,6,"GEMSASZ","1","107"
2003,7,"GEMSASZ","1","107"
2003,8,"GEMSASZ","1","107"
2003,9,"GEMSASZ","1","107"
2003,10,"GEMSASZ","1","107"
2003,11,"GEMSASZ","1","107"
2003,12,"GEMSASZ","1","107"
2004,1,"GEMSASZ","1","107"
2004,2,"GEMSASZ","1","107"
2004,3,"GEMSASZ","1","107"
2004,4,"GEMSASZ","1","107"
2003,1,"GECMSASZ","1","108"
2003,2,"GECMSASZ","1","108"
2003,3,"GECMSASZ","1","108"
2003,4,"GECMSASZ","1","108"
2003,5,"GECMSASZ","1","108"
2003,6,"GECMSASZ","1","108"
2003,7,"GECMSASZ","1","108"
2003,8,"GECMSASZ","1","108"
2003,9,"GECMSASZ","1","108"
2003,10,"GECMSASZ","1","108"
2003,11,"GECMSASZ","1","108"
2003,12,"GECMSASZ","1","108"
2004,1,"GECMSASZ","1","108"
2004,2,"GECMSASZ","1","108"
2004,3,"GECMSASZ","1","108"
2004,4,"GECMSASZ","1","108"
2003,1,"PROLDRRP","2","114"
2003,2,"PROLDRRP","2","114"
2003,3,"PROLDRRP","2","114"
2003,4,"PROLDRRP","2","114"
2003,5,"PROLDRRP","2","114"
2003,6,"PROLDRRP","2","114"
2003,7,"PROLDRRP","2","114"
2003,8,"PROLDRRP","2","114"
2003,9,"PROLDRRP","2","114"
2003,10,"PROLDRRP","2","114"
2003,11,"PROLDRRP","2","114"
2003,12,"PROLDRRP","2","114"
2004,1,"PROLDRRP","2","114"
2004,2,"PROLDRRP","2","114"
2004,3,"PROLDRRP","2","114"
2004,4,"PROLDRRP","2","114"
2003,1,"PUPELIG","2","116"
2003,2,"PUPELIG","2","116"
2003,3,"PUPELIG","2","116"
2003,4,"PUPELIG","2","116"
2003,5,"PUPELIG","2","116"
2003,6,"PUPELIG","2","116"
2003,7,"PUPELIG","2","116"
2003,8,"PUPELIG","2","116"
2003,9,"PUPELIG","2","116"
2003,10,"PUPELIG","2","116"
2003,11,"PUPELIG","2","116"
2003,12,"PUPELIG","2","116"
2004,1,"PUPELIG","2","116"
2004,2,"PUPELIG","2","116"
2004,3,"PUPELIG","2","116"
2004,4,"PUPELIG","2","116"
2003,1,"PERRP","2","118"
2003,2,"PERRP","2","118"
2003,3,"PERRP","2","118"
2003,4,"PERRP","2","118"
2003,5,"PERRP","2","118"
2003,6,"PERRP","2","118"
2003,7,"PERRP","2","118"
2003,8,"PERRP","2","118"
2003,9,"PERRP","2","118"
2003,10,"PERRP","2","118"
2003,11,"PERRP","2","118"
2003,12,"PERRP","2","118"
2004,1,"PERRP","2","118"
2004,2,"PERRP","2","118"
2004,3,"PERRP","2","118"
2004,4,"PERRP","2","118"
2003,1,"PEPARENT","2","120"
2003,2,"PEPARENT","2","120"
2003,3,"PEPARENT","2","120"
2003,4,"PEPARENT","2","120"
2003,5,"PEPARENT","2","120"
2003,6,"PEPARENT","2","120"
2003,7,"PEPARENT","2","120"
2003,8,"PEPARENT","2","120"
2003,9,"PEPARENT","2","120"
2003,10,"PEPARENT","2","120"
2003,11,"PEPARENT","2","120"
2003,12,"PEPARENT","2","120"
2004,1,"PEPARENT","2","120"
2004,2,"PEPARENT","2","120"
2004,3,"PEPARENT","2","120"
2004,4,"PEPARENT","2","120"
2003,1,"PEAGE","2","122"
2003,2,"PEAGE","2","122"
2003,3,"PEAGE","2","122"
2003,4,"PEAGE","2","122"
2003,5,"PEAGE","2","122"
2003,6,"PEAGE","2","122"
2003,7,"PEAGE","2","122"
2003,8,"PEAGE","2","122"
2003,9,"PEAGE","2","122"
2003,10,"PEAGE","2","122"
2003,11,"PEAGE","2","122"
2003,12,"PEAGE","2","122"
2004,1,"PEAGE","2","122"
2004,2,"PEAGE","2","122"
2004,3,"PEAGE","2","122"
2004,4,"PEAGE","2","122"
2003,1,"PTAGE","1","124"
2003,2,"PTAGE","1","124"
2003,3,"PTAGE","1","124"
2003,4,"PTAGE","1","124"
2003,5,"PTAGE","1","124"
2003,6,"PTAGE","1","124"
2003,7,"PTAGE","1","124"
2003,8,"PTAGE","1","124"
2003,9,"PTAGE","1","124"
2003,10,"PTAGE","1","124"
2003,11,"PTAGE","1","124"
