Weekending	30 year FRM	15 year FRM	1 year ARM
1/12/2001 	6.89 	6.49 	6.65
1/19/2001 	7.02 	6.63 	6.64
1/26/2001 	7.15 	6.70 	6.64
2/2/2001 	7.09 	6.66 	6.54
2/9/2001 	6.98 	6.60 	6.45
2/16/2001 	7.01 	6.61 	6.40
2/23/2001 	7.12 	6.69 	6.43
3/2/2001 	7.03 	6.58 	6.39
3/9/2001 	6.97 	6.52 	6.29
3/16/2001 	6.96 	6.54 	6.32
3/23/2001 	6.89 	6.44 	6.22
3/30/2001 	6.91 	6.46 	6.19
4/6/2001 	7.01 	6.54 	6.23
4/13/2001 	7.04 	6.55 	6.15
4/20/2001 	7.14 	6.66 	6.08
4/27/2001 	7.12 	6.63 	5.97
5/4/2001 	7.14 	6.66 	6.00
5/11/2001 	7.10 	6.61 	5.90
5/18/2001 	7.14 	6.67 	5.81
5/25/2001 	7.20 	6.76 	5.82
6/1/2001 	7.24 	6.78 	5.89
6/8/2001 	7.20 	6.74 	5.85
6/15/2001 	7.14 	6.70 	5.82
6/22/2001 	7.11 	6.65 	5.74
6/29/2001 	7.11 	6.63 	5.77
7/6/2001 	7.19 	6.74 	5.71
7/13/2001 	7.21 	6.76 	5.79
7/20/2001 	7.08 	6.65 	5.62
7/27/2001 	7.03 	6.58 	5.72
8/3/2001 	7.00 	6.54 	5.77
8/10/2001 	7.00 	6.54 	5.70
8/17/2001 	6.92 	6.48 	5.71
8/24/2001 	6.91 	6.47 	5.68
8/31/2001 	6.92 	6.47 	5.67
9/7/2001 	6.89 	6.44 	5.64
9/14/2001 	6.86 	6.39 	5.62
9/21/2001 	6.80 	6.30 	5.58
9/28/2001 	6.72 	6.23 	5.45
10/5/2001 	6.64 	6.11 	5.34
10/12/2001 	6.58 	6.06 	5.26
10/19/2001 	6.61 	6.09 	5.26
10/26/2001 	6.64 	6.13 	5.25
11/2/2001 	6.56 	6.04 	5.26
11/9/2001 	6.45 	5.94 	5.30
11/16/2001 	6.51 	5.98 	5.06
11/23/2001 	6.75 	6.24 	5.18
11/30/2001 	7.02 	6.53 	5.22
12/7/2001 	6.84 	6.30 	5.21
12/14/2001 	7.09 	6.57 	5.19
12/21/2001 	7.17 	6.65 	5.27
12/28/2001 	7.16 	6.65 	5.25
1/4/2002 	7.14 	6.62 	5.26
1/11/2002 	7.06 	6.55 	5.26
1/18/2002 	6.83 	6.31 	5.08
1/25/2002 	6.96 	6.44 	5.10
2/1/2002 	7.02 	6.51 	5.12
2/8/2002 	6.88 	6.36 	5.04
2/15/2002 	6.86 	6.35 	4.98
2/22/2002 	6.81 	6.28 	4.96
3/1/2002 	6.80 	6.28 	4.94
3/8/2002 	6.87 	6.37 	5.07
3/15/2002 	7.08 	6.59 	5.08
3/22/2002 	7.14 	6.65 	5.11
3/29/2002 	7.18 	6.69 	5.11
4/5/2002 	7.13 	6.64 	4.99
4/12/2002 	6.99 	6.49 	5.00
4/19/2002 	6.94 	6.42 	4.95
4/26/2002 	6.88 	6.35 	4.91
5/3/2002 	6.78 	6.26 	4.75
5/10/2002 	6.79 	6.27 	4.80
5/17/2002 	6.89 	6.37 	4.81
5/24/2002 	6.81 	6.28 	4.85
5/31/2002 	6.76 	6.22 	4.76
6/7/2002 	6.71 	6.18 	4.71
6/14/2002 	6.71 	6.17 	4.67
6/21/2002 	6.63 	6.08 	4.60
6/28/2002 	6.55 	5.99 	4.61
7/5/2002 	6.57 	6.03 	4.58
7/12/2002 	6.54 	6.00 	4.66
7/19/2002 	6.49 	5.93 	4.50
7/26/2002 	6.34 	5.76 	4.31
8/2/2002 	6.43 	5.84 	4.45
8/9/2002 	6.31 	5.69 	4.37
8/16/2002 	6.22 	5.63 	4.39
8/23/2002 	6.27 	5.71 	4.34
8/30/2002 	6.22 	5.64 	4.34
9/6/2002 	6.15 	5.56 	4.35
9/13/2002 	6.18 	5.59 	4.32
9/20/2002 	6.05 	5.47 	4.28
9/27/2002 	5.99 	5.41 	4.22
10/4/2002 	6.01 	5.40 	4.29
10/11/2002 	5.98 	5.34 	4.23
10/18/2002 	6.15 	5.56 	4.27
10/25/2002 	6.31 	5.70 	4.30
11/1/2002 	6.13 	5.51 	4.25
11/8/2002 	6.11 	5.48 	4.15
11/15/2002 	5.94 	5.32 	4.09
11/22/2002 	6.03 	5.44 	4.14
11/29/2002 	6.13 	5.57 	4.19
12/6/2002 	6.19 	5.60 	4.21
12/13/2002 	6.04 	5.46 	4.18
12/20/2002 	6.03 	5.42 	4.07
12/27/2002 	5.93 	5.32 	4.01
1/3/2003 	5.85 	5.24 	4.06
1/10/2003 	5.95 	5.33 	4.03
1/17/2003 	5.97 	5.36 	4.03
1/24/2003 	5.91 	5.31 	3.93
1/31/2003 	5.90 	5.28 	3.89
2/7/2003 	5.88 	5.27 	3.89
2/14/2003 	5.86 	5.26 	3.89
2/21/2003 	5.84 	5.21 	3.81
2/28/2003 	5.79 	5.14 	3.83
3/7/2003 	5.67 	5.01 	3.76
3/14/2003 	5.61 	4.93 	3.68
3/21/2003 	5.79 	5.11 	3.75
3/28/2003 	5.91 	5.21 	3.84
4/4/2003 	5.79 	5.06 	3.82
4/11/2003 	5.85 	5.17 	3.80
4/18/2003 	5.82 	5.12 	3.79
4/25/2003 	5.79 	5.12 	3.79
5/2/2003 	5.70 	5.03 	3.74
5/9/2003 	5.62 	4.97 	3.66
5/16/2003 	5.45 	4.84 	3.67
5/23/2003 	5.34 	4.73 	3.61
5/30/2003 	5.31 	4.73 	3.63
6/6/2003 	5.26 	4.66 	3.59
6/13/2003 	5.21 	4.60 	3.54
6/20/2003 	5.21 	4.62 	3.51
6/27/2003 	5.24 	4.63 	3.45
7/4/2003 	5.40 	4.75 	3.49
7/11/2003 	5.52 	4.85 	3.55
7/18/2003 	5.67 	5.00 	3.58
7/25/2003 	5.94 	5.27 	3.67
8/1/2003 	6.14 	5.44 	3.68
8/8/2003 	6.34 	5.66 	3.80
8/15/2003 	6.24 	5.58 	3.75
8/22/2003 	6.28 	5.60 	3.84
8/29/2003 	6.32 	5.66 	3.88
9/5/2003 	6.44 	5.77 	3.98
9/12/2003 	6.16 	5.46 	3.87
9/19/2003 	6.01 	5.30 	3.81
9/26/2003 	5.98 	5.30 	3.77
10/3/2003 	5.77 	5.10 	3.72
10/10/2003 	5.95 	5.26 	3.69
10/17/2003 	6.05 	5.36 	3.79
10/24/2003 	6.05 	5.39 	3.76
10/31/2003 	5.94 	5.26 	3.74
11/7/2003 	5.98 	5.31 	3.73
11/14/2003 	6.03 	5.39 	3.76
11/21/2003 	5.83 	5.17 	3.72
11/28/2003 	5.89 	5.22 	3.77
12/5/2003 	6.02 	5.36 	3.77
12/12/2003 	5.88 	5.24 	3.77
12/19/2003 	5.82 	5.14 	3.77
12/26/2003 	5.81 	5.13 	3.73
1/2/2004 	5.85 	5.15 	3.72
1/9/2004 	5.87 	5.17 	3.76
1/16/2004 	5.66 	4.97 	3.62
1/23/2004 	5.64 	4.95 	3.56
1/30/2004 	5.68 	4.97 	3.59
2/6/2004 	5.72 	5.03 	3.61
2/13/2004 	5.66 	4.96 	3.57
2/20/2004 	5.58 	4.87 	3.53
2/27/2004 	5.58 	4.89 	3.50
3/5/2004 	5.59 	4.88 	3.47
3/12/2004 	5.41 	4.69 	3.41
3/19/2004 	5.38 	4.69 	3.39
3/26/2004 	5.40 	4.70 	3.36
4/2/2004 	5.52 	4.84 	3.46
4/9/2004 	5.79 	5.12 	3.65
4/16/2004 	5.89 	5.23 	3.69
4/23/2004 	5.94 	5.25 	3.69
4/30/2004 	6.01 	5.35 	3.75
5/7/2004 	6.13 	5.47 	3.76
5/14/2004 	6.34 	5.72 	3.90
5/21/2004 	6.30 	5.67 	3.99
5/28/2004 	6.32 	5.69 	3.87
6/4/2004 	6.28 	5.63 	3.98
6/11/2004 	6.30 	5.67 	4.14
6/18/2004 	6.32 	5.70 	4.13
6/25/2004 	6.25 	5.64 	4.13
7/2/2004 	6.21 	5.62 	4.19
7/9/2004 	6.01 	5.42 	4.05
7/16/2004 	6.00 	5.40 	4.02
7/23/2004 	5.98 	5.39 	4.12
7/30/2004 	6.08 	5.49 	4.17
8/6/2004 	5.99 	5.40 	4.08
8/13/2004 	5.85 	5.24 	4.08
8/20/2004 	5.81 	5.19 	4.01
8/27/2004 	5.82 	5.21 	4.05
9/3/2004 	5.77 	5.15 	3.97
9/10/2004 	5.83 	5.22 	4.00
9/17/2004 	5.75 	5.13 	4.03
9/24/2004 	5.70 	5.10 	4.00
10/1/2004 	5.72 	5.12 	3.97
10/8/2004 	5.82 	5.24 	4.08
10/15/2004 	5.74 	5.14 	4.01
10/22/2004 	5.69 	5.07 	4.02
10/29/2004 	5.64 	5.01 	3.96
11/5/2004 	5.70 	5.08 	4.00
11/12/2004 	5.76 	5.16 	4.16
11/19/2004 	5.74 	5.15 	4.17
11/26/2004 	5.72 	5.15 	4.27
12/3/2004 	5.81 	5.23 	4.19
12/10/2004 	5.71 	5.14 	4.15
12/17/2004 	5.68 	5.11 	4.18
12/24/2004 	5.75 	5.18 	4.17
12/31/2004 	5.81 	5.23 	4.19
1/7/2005 	5.77 	5.21 	4.10
1/14/2005 	5.74 	5.19 	4.10
1/21/2005 	5.67 	5.15 	4.11
1/28/2005 	5.66 	5.14 	4.18
2/4/2005 	5.63 	5.14 	4.23
2/11/2005 	5.57 	5.10 	4.11
2/18/2005 	5.62 	5.14 	4.15
2/25/2005 	5.69 	5.22 	4.16
3/4/2005 	5.79 	5.33 	4.14
3/11/2005 	5.85 	5.38 	4.24
3/18/2005 	5.95 	5.47 	4.20
3/25/2005 	6.01 	5.56 	4.24
4/1/2005 	6.04 	5.58 	4.33
4/8/2005 	5.93 	5.48 	4.23
4/15/2005 	5.91 	5.46 	4.30
4/22/2005 	5.80 	5.36 	4.26
4/29/2005 	5.78 	5.33 	4.21
5/6/2005 	5.75 	5.31 	4.22
5/13/2005 	5.77 	5.33 	4.23
5/20/2005 	5.71 	5.27 	4.26
5/27/2005 	5.65 	5.21 	4.21
6/3/2005 	5.62 	5.20 	4.26
6/10/2005 	5.56 	5.14 	4.21
6/17/2005 	5.63 	5.22 	4.25
6/24/2005 	5.57 	5.16 	4.23
7/1/2005 	5.53 	5.12 	4.24
7/8/2005 	5.62 	5.20 	4.33
7/15/2005 	5.66 	5.25 	4.39
7/22/2005 	5.73 	5.32 	4.42
7/29/2005 	5.77 	5.34 	4.46
8/5/2005 	5.82 	5.38 	4.47
8/12/2005 	5.89 	5.47 	4.57
8/19/2005 	5.80 	5.40 	4.58
8/26/2005 	5.77 	5.35 	4.56
9/2/2005 	5.71 	5.32 	4.48
9/9/2005 	5.71 	5.30 	4.45
9/16/2005 	5.74 	5.32 	4.46
9/23/2005 	5.80 	5.37 	4.48
9/30/2005 	5.91 	5.48 	4.68
10/7/2005 	5.98 	5.54 	4.77
10/14/2005 	6.03 	5.62 	4.85
10/21/2005 	6.10 	5.65 	4.89
10/28/2005 	6.15 	5.69 	4.91
11/4/2005 	6.31 	5.85 	5.09
11/11/2005 	6.36 	5.89 	5.12
11/18/2005 	6.37 	5.90 	5.20
11/25/2005 	6.28 	5.81 	5.14
12/2/2005 	6.26 	5.81 	5.16
12/9/2005 	6.32 	5.87 	5.16
12/16/2005 	6.30 	5.85 	5.15
12/23/2005 	6.26 	5.79 	5.22
12/30/2005 	6.22 	5.76 	5.15
1/6/2006 	6.21 	5.76 	5.16
1/13/2006 	6.15 	5.71 	5.15
1/20/2006 	6.10 	5.67 	5.18
1/27/2006 	6.12 	5.70 	5.20
2/3/2006 	6.23 	5.81 	5.33
2/10/2006 	6.24 	5.83 	5.34
2/17/2006 	6.28 	5.91 	5.36
2/24/2006 	6.26 	5.89 	5.32
3/3/2006 	6.24 	5.89 	5.34
3/10/2006 	6.37 	6.00 	5.45
3/17/2006 	6.34 	5.98 	5.37
3/24/2006 	6.32 	5.97 	5.41
3/31/2006 	6.35 	6.00 	5.51
4/7/2006 	6.43 	6.10 	5.57
4/14/2006 	6.49 	6.14 	5.61
4/21/2006 	6.53 	6.17 	5.63
4/28/2006 	6.58 	6.21 	5.68
5/5/2006 	6.59 	6.22 	5.67
5/12/2006 	6.58 	6.17 	5.62
5/19/2006 	6.60 	6.20 	5.62
5/26/2006 	6.62 	6.23 	5.61
6/2/2006 	6.67 	6.26 	5.68
6/9/2006 	6.62 	6.23 	5.63
6/16/2006 	6.63 	6.25 	5.66
6/23/2006 	6.71 	6.36 	5.75
6/30/2006 	6.78 	6.43 	5.82
7/7/2006 	6.79 	6.44 	5.83
7/14/2006 	6.74 	6.37 	5.75
7/21/2006 	6.80 	6.41 	5.80
7/28/2006 	6.72 	6.34 	5.78
8/4/2006 	6.63 	6.27 	5.69
8/11/2006 	6.55 	6.20 	5.69
8/18/2006 	6.52 	6.20 	5.65
8/25/2006 	6.48 	6.18 	5.60
9/1/2006 	6.44 	6.14 	5.59
9/8/2006 	6.47 	6.16 	5.63
9/15/2006 	6.43 	6.11 	5.60
9/22/2006 	6.40 	6.06 	5.54
9/29/2006 	6.31 	5.98 	5.47
10/6/2006 	6.30 	5.98 	5.46
10/13/2006 	6.37 	6.06 	5.56
10/20/2006 	6.36 	6.06 	5.57
10/27/2006 	6.40 	6.10 	5.60
11/3/2006 	6.31 	6.02 	5.53
11/10/2006 	6.33 	6.04 	5.55
11/17/2006 	6.24 	5.94 	5.53
11/24/2006 	6.18 	5.91 	5.49
12/1/2006 	6.14 	5.87 	5.46
12/8/2006 	6.11 	5.84 	5.43
12/15/2006 	6.12 	5.86 	5.45
12/22/2006 	6.13 	5.89 	5.44
12/29/2006 	6.18 	5.93 	5.47
1/5/2007 	6.18 	5.94 	5.42
1/12/2007 	6.21 	5.96 	5.44
1/19/2007 	6.23 	5.98 	5.51
1/26/2007 	6.25 	5.98 	5.49
2/2/2007 	6.34 	6.06 	5.54
2/9/2007 	6.28 	6.02 	5.49
2/16/2007 	6.30 	6.03 	5.52
2/23/2007 	6.22 	5.97 	5.49
3/2/2007 	6.18 	5.92 	5.49
3/9/2007 	6.14 	5.86 	5.47
3/16/2007 	6.14 	5.88 	5.42
3/23/2007 	6.16 	5.90 	5.40
3/30/2007 	6.16 	5.86 	5.43
4/6/2007 	6.17 	5.87 	5.44
4/13/2007 	6.22 	5.90 	5.47
4/20/2007 	6.17 	5.89 	5.45
4/27/2007 	6.16 	5.87 	5.43
5/4/2007 	6.16 	5.87 	5.42
5/11/2007 	6.15 	5.87 	5.48
5/18/2007 	6.21 	5.92 	5.48
5/25/2007 	6.37 	6.06 	5.64
6/1/2007 	6.42 	6.12 	5.57
6/8/2007 	6.53 	6.22 	5.65
6/15/2007 	6.74 	6.43 	5.75
6/22/2007 	6.69 	6.37 	5.66
6/29/2007 	6.67 	6.34 	5.65
7/6/2007 	6.63 	6.30 	5.71
7/13/2007 	6.73 	6.39 	5.71
7/20/2007 	6.73 	6.38 	5.72
7/27/2007 	6.69 	6.37 	5.69
8/3/2007 	6.68 	6.32 	5.59
8/10/2007 	6.59 	6.25 	5.65
8/17/2007 	6.62 	6.30 	5.67
8/24/2007 	6.52 	6.18 	5.60
8/31/2007 	6.45 	6.12 	5.84
9/7/2007 	6.46 	6.15 	5.74
9/14/2007 	6.31 	5.97 	5.66
9/21/2007 	6.34 	5.98 	5.65
9/28/2007 	6.42 	6.09 	5.60
10/5/2007 	6.37 	6.03 	5.58
10/12/2007 	6.40 	6.06 	5.73
10/19/2007 	6.40 	6.08 	5.76
10/26/2007 	6.33 	5.99 	5.66
11/2/2007 	6.26 	5.91 	5.57
11/9/2007 	6.24 	5.90 	5.50
11/16/2007 	6.24 	5.88 	5.50
11/23/2007 	6.20 	5.83 	5.42
11/30/2007 	6.10 	5.73 	5.43
12/7/2007 	5.96 	5.65 	5.46
12/14/2007 	6.11 	5.78 	5.50
12/21/2007 	6.14 	5.79 	5.51
12/28/2007 	6.17 	5.79 	5.53
1/4/2008 	6.07 	5.68 	5.47
1/11/2008 	5.87 	5.43 	5.37
1/18/2008 	5.69 	5.21 	5.26
1/25/2008 	5.48 	4.95 	4.99
2/1/2008 	5.68 	5.17 	5.05
2/8/2008 	5.67 	5.15 	5.03
2/15/2008 	5.72 	5.25 	5.00
2/22/2008 	6.04 	5.64 	4.98
2/29/2008 	6.24 	5.72 	5.11
3/7/2008 	6.03 	5.47 	4.94
3/14/2008 	6.13 	5.60 	5.14
3/21/2008 	5.87 	5.27 	5.15
3/28/2008 	5.85 	5.34 	5.24
4/4/2008 	5.88 	5.42 	5.19
4/11/2008 	5.88 	5.42 	5.18
4/18/2008 	5.88 	5.40 	5.10
4/25/2008 	6.03 	5.62 	5.29
5/2/2008 	6.06 	5.59 	5.29
5/9/2008 	6.05 	5.60 	5.29
5/16/2008 	6.01 	5.60 	5.18
5/23/2008 	5.98 	5.55 	5.24
5/30/2008 	6.08 	5.66 	5.22
6/6/2008 	6.09 	5.65 	5.06
6/13/2008 	6.32 	5.93 	5.09
6/20/2008 	6.42 	6.02 	5.19
6/27/2008 	6.45 	6.04 	5.27
7/4/2008 	6.35 	5.92 	5.17
7/11/2008 	6.37 	5.91 	5.17
7/18/2008 	6.26 	5.78 	5.10
7/25/2008 	6.63 	6.18 	5.49
8/1/2008 	6.52 	6.07 	5.27
8/8/2008 	6.52 	6.10 	5.22
8/15/2008 	6.52 	6.07 	5.18
8/22/2008 	6.47 	6.00 	5.29
8/29/2008 	6.40 	5.93 	5.33
9/5/2008 	6.35 	5.90 	5.15
9/12/2008 	5.93 	5.54 	5.21
9/19/2008 	5.78 	5.35 	5.03
9/26/2008 	6.09 	5.77 	5.16
10/3/2008 	6.10 	5.78 	5.12
10/10/2008 	5.94 	5.63 	5.15
10/17/2008 	6.46 	6.14 	5.16
10/24/2008 	6.04 	5.72 	5.23
10/31/2008 	6.46 	6.19 	5.38
11/7/2008 	6.20 	5.88 	5.25
11/14/2008 	6.14 	5.81 	5.33
11/21/2008 	6.04 	5.73 	5.29
11/28/2008 	5.97 	5.74 	5.18
12/5/2008 	5.53 	5.33 	5.02
12/12/2008 	5.47 	5.20 	5.09
12/19/2008 	5.19 	4.92 	4.94
12/26/2008 	5.14 	4.91 	4.95
1/9/2009 	5.01 	4.62 	4.95
1/16/2009 	4.96 	4.65 	4.89
1/23/2009 	5.12 	4.80 	4.92
1/30/2009 	5.10 	4.80 	4.90
2/6/2009 	5.25 	4.92 	4.92
2/13/2009 	5.16 	4.81 	4.94
2/20/2009 	5.04 	4.68 	4.80
2/27/2009 	5.07 	4.68 	4.81
3/6/2009 	5.15 	4.72 	4.86
3/13/2009 	5.03 	4.64 	4.80
3/20/2009 	4.98 	4.61 	4.91
3/27/2009 	4.85 	4.58 	4.85
4/3/2009 	4.78 	4.52 	4.75
4/10/2009 	4.87 	4.54 	4.83
4/17/2009 	4.82 	4.48 	4.91
4/24/2009 	4.80 	4.48 	4.82
5/1/2009 	4.78 	4.48 	4.77
5/8/2009 	4.84 	4.51 	4.78
5/15/2009 	4.86 	4.52 	4.71
5/22/2009 	4.82 	4.50 	4.82
5/29/2009 	4.91 	4.53 	4.69
6/5/2009 	5.29 	4.79 	4.81
