fips,Rent50_0,Rent50_1,Rent50_2,Rent50_3,Rent50_4,State,county,CouSub,pop2000,countyname,CBSASub,Areaname,state_alpha
0507199999,347,475,534,720,940,5,71,99999,22781,Johnson County,NCNTY05071N05071,"Johnson County, AR",AR
0507399999,443,483,568,680,784,5,73,99999,8559,Lafayette County,NCNTY05073N05073,"Lafayette County, AR",AR
0507599999,335,422,514,641,797,5,75,99999,17774,Lawrence County,NCNTY05075N05075,"Lawrence County, AR",AR
0507799999,430,431,527,719,827,5,77,99999,12580,Lee County,NCNTY05077N05077,"Lee County, AR",AR
0507999999,437,517,633,774,867,5,79,99999,14492,Lincoln County,METRO38220M38220,"Pine Bluff, AR MSA",AR
0508199999,443,483,568,694,784,5,81,99999,13628,Little River County,NCNTY05081N05081,"Little River County, AR",AR
0508399999,334,462,514,748,793,5,83,99999,22486,Logan County,NCNTY05083N05083,"Logan County, AR",AR
0508599999,583,648,722,986,1073,5,85,99999,52828,Lonoke County,METRO30780M30780,"Little Rock-North Little Rock-Conway, AR HUD Metro FMR Area",AR
0508799999,500,528,672,976,1045,5,87,99999,14243,Madison County,METRO22220M22220,"Fayetteville-Springdale-Rogers, AR HUD Metro FMR Area",AR
0508999999,416,417,521,699,756,5,89,99999,16140,Marion County,NCNTY05089N05089,"Marion County, AR",AR
0509199999,506,508,623,784,857,5,91,99999,40443,Miller County,METRO45500M45500,"Texarkana, TX-Texarkana, AR MSA",AR
0509399999,375,456,561,756,887,5,93,99999,51979,Mississippi County,NCNTY05093N05093,"Mississippi County, AR",AR
0509599999,447,448,537,707,730,5,95,99999,10254,Monroe County,NCNTY05095N05095,"Monroe County, AR",AR
0509799999,415,497,625,793,815,5,97,99999,9245,Montgomery County,NCNTY05097N05097,"Montgomery County, AR",AR
0509999999,443,483,568,680,784,5,99,99999,9955,Nevada County,NCNTY05099N05099,"Nevada County, AR",AR
0510199999,460,461,552,715,811,5,101,99999,8608,Newton County,NCNTY05101N05101,"Newton County, AR",AR
0510399999,370,464,514,702,790,5,103,99999,28790,Ouachita County,NCNTY05103N05103,"Ouachita County, AR",AR
0510599999,583,648,722,986,1073,5,105,99999,10209,Perry County,METRO30780M30780,"Little Rock-North Little Rock-Conway, AR HUD Metro FMR Area",AR
0510799999,427,431,514,648,668,5,107,99999,26445,Phillips County,NCNTY05107N05107,"Phillips County, AR",AR
0510999999,443,483,568,680,784,5,109,99999,11303,Pike County,NCNTY05109N05109,"Pike County, AR",AR
0511199999,335,421,514,684,770,5,111,99999,25614,Poinsett County,METRO27860N05111,"Poinsett County, AR HUD Metro FMR Area",AR
0511399999,428,463,514,712,805,5,113,99999,20229,Polk County,NCNTY05113N05113,"Polk County, AR",AR
0511599999,409,435,566,803,827,5,115,99999,54469,Pope County,NCNTY05115N05115,"Pope County, AR",AR
0511799999,447,448,537,707,730,5,117,99999,9539,Prairie County,NCNTY05117N05117,"Prairie County, AR",AR
0511999999,583,648,722,986,1073,5,119,99999,361474,Pulaski County,METRO30780M30780,"Little Rock-North Little Rock-Conway, AR HUD Metro FMR Area",AR
0512199999,339,428,522,625,891,5,121,99999,18195,Randolph County,NCNTY05121N05121,"Randolph County, AR",AR
0512399999,437,479,556,788,941,5,123,99999,29329,St. Francis County,NCNTY05123N05123,"St. Francis County, AR",AR
0512599999,583,648,722,986,1073,5,125,99999,83529,Saline County,METRO30780M30780,"Little Rock-North Little Rock-Conway, AR HUD Metro FMR Area",AR
0512799999,427,428,514,671,901,5,127,99999,10996,Scott County,NCNTY05127N05127,"Scott County, AR",AR
0512999999,460,461,552,715,811,5,129,99999,8261,Searcy County,NCNTY05129N05129,"Searcy County, AR",AR
0513199999,401,453,571,771,853,5,131,99999,115071,Sebastian County,METRO22900M22900,"Fort Smith, AR-OK HUD Metro FMR Area",AR
0513399999,428,457,514,699,785,5,133,99999,15757,Sevier County,NCNTY05133N05133,"Sevier County, AR",AR
0513599999,442,443,532,663,686,5,135,99999,17119,Sharp County,NCNTY05135N05135,"Sharp County, AR",AR
0513799999,418,419,528,694,802,5,137,99999,11499,Stone County,NCNTY05137N05137,"Stone County, AR",AR
0513999999,472,492,569,726,1000,5,139,99999,45629,Union County,NCNTY05139N05139,"Union County, AR",AR
0514199999,427,427,514,677,796,5,141,99999,16192,Van Buren County,NCNTY05141N05141,"Van Buren County, AR",AR
0514399999,500,528,672,976,1045,5,143,99999,157715,Washington County,METRO22220M22220,"Fayetteville-Springdale-Rogers, AR HUD Metro FMR Area",AR
0514599999,447,448,569,777,801,5,145,99999,67165,White County,NCNTY05145N05145,"White County, AR",AR
0514799999,447,448,537,707,730,5,147,99999,8741,Woodruff County,NCNTY05147N05147,"Woodruff County, AR",AR
0514999999,434,435,531,690,712,5,149,99999,21139,Yell County,NCNTY05149N05149,"Yell County, AR",AR
0600199999,921,1104,1308,1822,2235,6,1,99999,1443741,Alameda County,METRO41860MM5775,"Oakland-Fremont, CA HUD Metro FMR Area",CA
0600399999,670,719,946,1314,1353,6,3,99999,1208,Alpine County,NCNTY06003N06003,"Alpine County, CA",CA
0600599999,756,786,1030,1481,1526,6,5,99999,35100,Amador County,NCNTY06005N06005,"Amador County, CA",CA
0600799999,591,698,844,1189,1413,6,7,99999,203171,Butte County,METRO17020M17020,"Chico, CA MSA",CA
0600999999,734,735,883,1290,1490,6,9,99999,40554,Calaveras County,NCNTY06009N06009,"Calaveras County, CA",CA
0601199999,647,650,814,1044,1429,6,11,99999,18804,Colusa County,NCNTY06011N06011,"Colusa County, CA",CA
0601399999,921,1104,1308,1822,2235,6,13,99999,948816,Contra Costa County,METRO41860MM5775,"Oakland-Fremont, CA HUD Metro FMR Area",CA
0601599999,619,655,808,1176,1214,6,15,99999,27507,Del Norte County,NCNTY06015N06015,"Del Norte County, CA",CA
0601799999,760,866,1032,1504,1752,6,17,99999,156299,El Dorado County,METRO40900M40900,"Sacramento--Arden-Arcade--Roseville, CA HUD Metro FMR Area",CA
0601999999,661,731,845,1229,1405,6,19,99999,799407,Fresno County,METRO23420M23420,"Fresno, CA MSA",CA
0602199999,529,569,727,950,976,6,21,99999,26453,Glenn County,NCNTY06021N06021,"Glenn County, CA",CA
0602399999,569,666,874,1276,1522,6,23,99999,126518,Humboldt County,NCNTY06023N06023,"Humboldt County, CA",CA
0602599999,617,695,819,1175,1436,6,25,99999,142361,Imperial County,METRO20940M20940,"El Centro, CA MSA",CA
0602799999,563,600,773,1121,1267,6,27,99999,17945,Inyo County,NCNTY06027N06027,"Inyo County, CA",CA
0602999999,561,605,717,1046,1260,6,29,99999,661645,Kern County,METRO12540M12540,"Bakersfield, CA MSA",CA
0603199999,642,670,774,1128,1361,6,31,99999,129461,Kings County,METRO25260M25260,"Hanford-Corcoran, CA MSA",CA
0603399999,608,661,869,1266,1351,6,33,99999,58309,Lake County,NCNTY06033N06033,"Lake County, CA",CA
0603599999,586,638,839,1220,1319,6,35,99999,33828,Lassen County,NCNTY06035N06035,"Lassen County, CA",CA
0603799999,937,1132,1419,1934,2381,6,37,99999,9519338,Los Angeles County,METRO31100MM4480,"Los Angeles-Long Beach, CA HUD Metro FMR Area",CA
0603999999,616,659,855,1227,1265,6,39,99999,123109,Madera County,METRO31460M31460,"Madera, CA MSA",CA
0604199999,1091,1338,1679,2228,2393,6,41,99999,247289,Marin County,METRO41860MM7360,"San Francisco, CA HUD Metro FMR Area",CA
0604399999,670,719,946,1314,1353,6,43,99999,17130,Mariposa County,NCNTY06043N06043,"Mariposa County, CA",CA
0604599999,651,783,971,1342,1646,6,45,99999,86265,Mendocino County,NCNTY06045N06045,"Mendocino County, CA",CA
0604799999,584,644,778,1133,1366,6,47,99999,210554,Merced County,METRO32900M32900,"Merced, CA MSA",CA
0604999999,533,604,792,1139,1194,6,49,99999,9449,Modoc County,NCNTY06049N06049,"Modoc County, CA",CA
0605199999,729,989,1113,1623,1956,6,51,99999,12853,Mono County,NCNTY06051N06051,"Mono County, CA",CA
0605399999,908,1018,1202,1749,1821,6,53,99999,401762,Monterey County,METRO41500M41500,"Salinas, CA MSA",CA
0605599999,895,1009,1272,1849,2230,6,55,99999,124279,Napa County,METRO34900M34900,"Napa, CA MSA",CA
0605799999,738,834,1097,1583,1929,6,57,99999,92033,Nevada County,NCNTY06057N06057,"Nevada County, CA",CA
0605999999,1185,1330,1595,2282,2622,6,59,99999,2846289,Orange County,METRO31100MM5945,"Orange County, CA HUD Metro FMR Area",CA
0606199999,760,866,1032,1504,1752,6,61,99999,248399,Placer County,METRO40900M40900,"Sacramento--Arden-Arcade--Roseville, CA HUD Metro FMR Area",CA
0606399999,578,644,849,1240,1490,6,63,99999,20824,Plumas County,NCNTY06063N06063,"Plumas County, CA",CA
0606599999,896,979,1142,1622,1896,6,65,99999,1545387,Riverside County,METRO40140M40140,"Riverside-San Bernardino-Ontario, CA MSA",CA
0606799999,760,866,1032,1504,1752,6,67,99999,1223499,Sacramento County,METRO40900M40900,"Sacramento--Arden-Arcade--Roseville, CA HUD Metro FMR Area",CA
0606999999,759,972,1081,1574,1898,6,69,99999,53234,San Benito County,METRO41940N06069,"San Benito County, CA HUD Metro FMR Area",CA
0607199999,896,979,1142,1622,1896,6,71,99999,1709434,San Bernardino County,METRO40140M40140,"Riverside-San Bernardino-Ontario, CA MSA",CA
0607399999,978,1117,1355,1976,2382,6,73,99999,2813833,San Diego County,METRO41740M41740,"San Diego-Carlsbad-San Marcos, CA MSA",CA
0607599999,1091,1338,1679,2228,2393,6,75,99999,776733,San Francisco County,METRO41860MM7360,"San Francisco, CA HUD Metro FMR Area",CA
0607799999,702,790,968,1338,1702,6,77,99999,563598,San Joaquin County,METRO44700M44700,"Stockton, CA MSA",CA
0607999999,780,931,1139,1658,1750,6,79,99999,246681,San Luis Obispo County,METRO42020M42020,"San Luis Obispo-Paso Robles, CA MSA",CA
0608199999,1091,1338,1679,2228,2393,6,81,99999,707161,San Mateo County,METRO41860MM7360,"San Francisco, CA HUD Metro FMR Area",CA
0608399999,1149,1297,1522,1921,2313,6,83,99999,399347,Santa Barbara County,METRO42060M42060,"Santa Barbara-Santa Maria-Goleta, CA MSA",CA
