"Appendix A.  Movers Within and Between States, the District of Columbia, and Puerto Rico:  2005 American Community Survey",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Universe: Population 1 year and over in households who moved within or between states, the District of Columbia, and Puerto Rico",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current residence in --,Residence 1 year ago in --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Alabama,,Alaska,,Arizona,,Arkansas,,California,,Colorado,,Connecticut,,Delaware,,District of Columbia ,,Florida,,Georgia,,Hawaii,,Idaho,,Illinois,,Indiana,,Iowa,,Kansas,,Kentucky,,Louisiana,,Maine,,Maryland,,Massachusetts,,Michigan,,Minnesota,,Mississippi,,Missouri,,Montana,,Nebraska,,Nevada,,New Hampshire,,New Jersey,,New Mexico,,New York,,North Carolina,,North Dakota,,Ohio,,Oklahoma,,Oregon,,Pennsylvania,,Puerto Rico,,Rhode Island,,South Carolina,,South Dakota,,Tennessee,,Texas,,Utah,,Vermont,,Virginia,,Washington,,West Virginia,,Wisconsin,,Wyoming,
Delaware,546 ,+/- 921,337 ,+/- 381,216 ,+/- 254,344 ,+/- 563,933 ,+/- 661,211 ,+/- 286,13 ,+/- 23,"90,435 ","+/- 7,711",0 ,+/- 274,"1,984 ","+/- 1,455",600 ,+/- 430,0 ,+/- 274,222 ,+/- 361,688 ,+/- 699,21 ,+/- 35,0 ,+/- 274,82 ,+/- 135,157 ,+/- 244,23 ,+/- 40,0 ,+/- 274,"7,714 ","+/- 2,270",320 ,+/- 329,622 ,+/- 569,89 ,+/- 155,0 ,+/- 274,105 ,+/- 118,0 ,+/- 274,44 ,+/- 76,0 ,+/- 274,0 ,+/- 274,"2,723 ","+/- 1,043",0 ,+/- 274,"4,544 ","+/- 2,378",380 ,+/- 387,0 ,+/- 274,450 ,+/- 351,163 ,+/- 274,198 ,+/- 300,"8,637 ","+/- 2,501",527 ,+/- 414,487 ,+/- 630,0 ,+/- 274,0 ,+/- 274,513 ,+/- 847,184 ,+/- 212,140 ,+/- 242,0 ,+/- 274,"1,056 ",+/- 588,0 ,+/- 274,254 ,+/- 326,0 ,+/- 274,0 ,+/- 274
District of Columbia ,0 ,+/- 286,0 ,+/- 286,490 ,+/- 573,0 ,+/- 286,"2,348 ","+/- 1,010",269 ,+/- 250,261 ,+/- 209,357 ,+/- 346,"50,118 ","+/- 5,594","1,103 ",+/- 461,319 ,+/- 209,56 ,+/- 92,0 ,+/- 286,"1,519 ",+/- 812,192 ,+/- 141,0 ,+/- 286,0 ,+/- 286,32 ,+/- 55,271 ,+/- 330,174 ,+/- 206,"10,087 ","+/- 3,063","2,579 ","+/- 1,021",122 ,+/- 123,363 ,+/- 257,0 ,+/- 286,68 ,+/- 113,0 ,+/- 286,186 ,+/- 191,0 ,+/- 286,66 ,+/- 112,954 ,+/- 551,212 ,+/- 248,"2,801 ","+/- 1,081","2,156 ","+/- 1,278",0 ,+/- 286,216 ,+/- 204,127 ,+/- 152,176 ,+/- 174,898 ,+/- 517,179 ,+/- 232,55 ,+/- 92,397 ,+/- 442,0 ,+/- 286,367 ,+/- 388,730 ,+/- 503,796 ,"+/- 1,029",27 ,+/- 46,"5,654 ","+/- 1,586",443 ,+/- 354,389 ,+/- 376,49 ,+/- 82,0 ,+/- 286
Florida,"10,559 ","+/- 2,597","2,932 ","+/- 1,390","5,962 ","+/- 2,466","3,300 ","+/- 1,985","29,152 ","+/- 4,799","8,002 ","+/- 1,929","12,609 ","+/- 2,823","1,441 ",+/- 734,"1,920 ","+/- 1,122","2,415,250 ","+/- 47,844","42,557 ","+/- 6,015","2,055 ","+/- 1,135",608 ,+/- 416,"18,400 ","+/- 3,319","17,746 ","+/- 3,272","3,725 ","+/- 1,506","1,252 ",+/- 590,"7,941 ","+/- 1,921","9,324 ","+/- 3,100","5,537 ","+/- 2,190","19,832 ","+/- 4,979","24,999 ","+/- 5,298","24,999 ","+/- 4,538","11,224 ","+/- 3,886","5,514 ","+/- 2,215","7,286 ","+/- 1,907","1,232 ",+/- 890,"1,263 ",+/- 639,"2,840 ","+/- 1,241","7,186 ","+/- 2,444","34,417 ","+/- 5,284","1,404 ",+/- 912,"98,535 ","+/- 10,164","29,292 ","+/- 4,859",439 ,+/- 384,"39,164 ","+/- 6,046","3,604 ","+/- 1,445",997 ,+/- 560,"28,311 ","+/- 5,105","11,865 ","+/- 3,811","6,904 ","+/- 2,538","10,906 ","+/- 2,427",468 ,+/- 366,"12,140 ","+/- 3,658","25,297 ","+/- 4,587","1,605 ",+/- 998,"1,341 ",+/- 610,"26,671 ","+/- 4,434","5,337 ","+/- 2,529","3,771 ","+/- 1,782","9,295 ","+/- 3,054",873 ,+/- 685
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,"22,111 ","+/- 5,035","2,570 ","+/- 1,265","3,395 ","+/- 1,828","1,178 ",+/- 797,"20,673 ","+/- 5,794","3,488 ","+/- 1,521","3,680 ","+/- 2,795",650 ,+/- 556,420 ,+/- 494,"54,126 ","+/- 7,085","1,227,339 ","+/- 32,789",861 ,+/- 577,698 ,+/- 482,"5,590 ","+/- 1,963","6,990 ","+/- 3,954",683 ,+/- 916,"2,175 ","+/- 1,166","5,952 ","+/- 2,601","9,398 ","+/- 3,563",255 ,+/- 202,"3,909 ","+/- 1,578","5,164 ","+/- 2,660","6,548 ","+/- 2,407","1,659 ","+/- 1,430","5,589 ","+/- 1,786","2,268 ","+/- 1,167",256 ,+/- 330,"1,188 ",+/- 990,"2,669 ","+/- 1,659",505 ,+/- 402,"5,908 ","+/- 1,894",469 ,+/- 450,"31,412 ","+/- 7,094","15,529 ","+/- 2,944",456 ,+/- 540,"7,362 ","+/- 1,964","2,321 ","+/- 1,341","1,709 ","+/- 1,107","6,024 ","+/- 2,421",595 ,+/- 474,671 ,+/- 453,"12,609 ","+/- 3,109",79 ,+/- 98,"16,688 ","+/- 4,121","14,605 ","+/- 3,237","1,343 ",+/- 874,506 ,+/- 553,"9,697 ","+/- 2,603","7,117 ","+/- 5,307",881 ,+/- 606,"3,597 ","+/- 1,840",0 ,+/- 297
Hawaii,"1,464 ","+/- 1,370",125 ,+/- 156,"1,409 ","+/- 1,144",207 ,+/- 266,"15,261 ","+/- 3,587","1,968 ","+/- 1,058",214 ,+/- 246,0 ,+/- 264,56 ,+/- 95,"1,260 ",+/- 733,411 ,+/- 444,"116,724 ","+/- 8,158","1,083 ",+/- 867,588 ,+/- 327,51 ,+/- 84,470 ,+/- 430,320 ,+/- 427,603 ,+/- 650,"1,038 ",+/- 852,63 ,+/- 105,941 ,+/- 612,240 ,+/- 171,"1,051 ",+/- 867,479 ,+/- 401,748 ,+/- 949,31 ,+/- 51,33 ,+/- 59,569 ,+/- 494,"1,305 ",+/- 712,75 ,+/- 125,"1,697 ","+/- 1,731",116 ,+/- 174,"1,748 ","+/- 1,082",655 ,+/- 396,51 ,+/- 84,306 ,+/- 269,0 ,+/- 264,"1,392 ",+/- 745,351 ,+/- 262,199 ,+/- 292,85 ,+/- 105,472 ,+/- 413,44 ,+/- 74,785 ,+/- 762,"3,644 ","+/- 1,696","1,188 ",+/- 963,0 ,+/- 264,"2,111 ","+/- 1,065","2,074 ",+/- 985,0 ,+/- 264,168 ,+/- 214,113 ,+/- 141
Idaho,185 ,+/- 212,"1,650 ",+/- 970,"2,259 ",+/- 943,0 ,+/- 256,"15,663 ","+/- 4,055","2,425 ","+/- 1,617",251 ,+/- 244,0 ,+/- 256,29 ,+/- 54,"1,393 ",+/- 836,179 ,+/- 187,455 ,+/- 384,"205,442 ","+/- 10,728",842 ,+/- 531,69 ,+/- 113,421 ,+/- 445,54 ,+/- 91,50 ,+/- 87,65 ,+/- 105,0 ,+/- 256,"1,492 ","+/- 1,217",343 ,+/- 500,703 ,+/- 488,366 ,+/- 362,81 ,+/- 127,"1,068 ",+/- 625,"2,168 ","+/- 1,202",481 ,+/- 569,"3,355 ","+/- 1,537",0 ,+/- 256,331 ,+/- 353,584 ,+/- 640,346 ,+/- 399,196 ,+/- 129,206 ,+/- 245,341 ,+/- 366,204 ,+/- 249,"6,643 ","+/- 1,931",652 ,+/- 660,50 ,+/- 96,332 ,+/- 457,229 ,+/- 240,0 ,+/- 256,415 ,+/- 459,"2,034 ","+/- 1,088","7,210 ","+/- 2,082",0 ,+/- 256,328 ,+/- 308,"10,696 ","+/- 2,449",0 ,+/- 256,366 ,+/- 409,"1,177 ","+/- 1,103"
Illinois,"1,551 ",+/- 788,"2,879 ","+/- 2,320","5,050 ","+/- 1,456","2,549 ","+/- 1,624","18,821 ","+/- 3,992","4,401 ","+/- 1,723",966 ,+/- 517,357 ,+/- 516,293 ,+/- 227,"15,093 ","+/- 2,900","4,102 ","+/- 1,577",995 ,+/- 732,436 ,+/- 362,"1,519,844 ","+/- 34,605","18,035 ","+/- 3,772","12,186 ","+/- 3,831","2,420 ",+/- 949,"2,712 ","+/- 1,236","2,441 ","+/- 1,333",243 ,+/- 225,"3,182 ","+/- 1,552","4,042 ","+/- 1,742","10,826 ","+/- 1,980","6,768 ","+/- 2,978","5,257 ","+/- 2,533","15,022 ","+/- 2,813",321 ,+/- 237,"1,595 ",+/- 681,"2,753 ","+/- 1,691",558 ,+/- 419,"1,566 ",+/- 696,84 ,+/- 100,"5,490 ","+/- 1,276","2,885 ","+/- 1,177",531 ,+/- 446,"5,894 ","+/- 1,334","1,608 ",+/- 854,404 ,+/- 378,"4,988 ","+/- 1,623","1,177 ",+/- 804,"2,028 ","+/- 2,633","2,677 ","+/- 1,056",235 ,+/- 226,"3,964 ","+/- 1,162","11,364 ","+/- 2,650","1,022 ",+/- 878,274 ,+/- 394,"3,446 ","+/- 1,276","2,007 ",+/- 936,"1,405 ","+/- 1,341","11,072 ","+/- 2,278",78 ,+/- 130
Indiana,664 ,+/- 505,240 ,+/- 277,"2,393 ",+/- 927,226 ,+/- 234,"7,181 ","+/- 2,001","1,219 ",+/- 636,511 ,+/- 549,64 ,+/- 115,388 ,+/- 387,"9,076 ","+/- 2,074","2,415 ","+/- 1,100",635 ,+/- 663,43 ,+/- 74,"26,428 ","+/- 4,463","793,221 ","+/- 24,554","1,246 ",+/- 785,916 ,+/- 554,"12,758 ","+/- 2,997",738 ,+/- 617,259 ,+/- 330,"1,101 ",+/- 551,347 ,+/- 259,"10,929 ","+/- 3,027",710 ,+/- 453,"1,376 ","+/- 1,010","4,283 ","+/- 2,267",40 ,+/- 45,102 ,+/- 162,877 ,+/- 481,48 ,+/- 80,"1,449 ","+/- 1,151",871 ,+/- 707,"1,579 ",+/- 631,"1,581 ",+/- 822,152 ,+/- 195,"9,993 ","+/- 2,656",399 ,+/- 305,581 ,+/- 602,"3,814 ","+/- 1,468",457 ,+/- 385,123 ,+/- 161,"1,294 ",+/- 824,392 ,+/- 397,"3,381 ","+/- 1,403","6,457 ","+/- 1,930",395 ,+/- 366,113 ,+/- 140,"3,954 ","+/- 2,083","1,040 ",+/- 801,528 ,+/- 357,"3,350 ","+/- 1,660",139 ,+/- 211
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,343 ,+/- 402,201 ,+/- 237,"2,010 ",+/- 850,812 ,+/- 589,"4,962 ","+/- 1,459","2,337 ",+/- 952,167 ,+/- 275,0 ,+/- 221,0 ,+/- 221,"3,150 ","+/- 1,516","1,746 ","+/- 1,219",18 ,+/- 33,64 ,+/- 96,"13,084 ","+/- 3,369",835 ,+/- 443,"351,987 ","+/- 13,019","2,489 ",+/- 877,475 ,+/- 434,483 ,+/- 466,85 ,+/- 116,268 ,+/- 365,120 ,+/- 129,"1,004 ",+/- 486,"5,086 ","+/- 1,333",445 ,+/- 373,"3,945 ","+/- 1,513",281 ,+/- 328,"7,931 ","+/- 2,354","2,088 ","+/- 1,805","1,195 ","+/- 1,036",124 ,+/- 141,21 ,+/- 31,"1,489 ",+/- 926,"2,052 ","+/- 1,065",900 ,+/- 638,"1,174 ",+/- 648,393 ,+/- 280,627 ,+/- 514,635 ,+/- 467,86 ,+/- 126,61 ,+/- 101,479 ,+/- 287,"3,708 ","+/- 1,652",701 ,+/- 716,"4,659 ","+/- 1,904",691 ,+/- 566,214 ,+/- 282,322 ,+/- 405,"1,480 ","+/- 1,064",196 ,+/- 330,"4,081 ","+/- 1,453",879 ,+/- 542
Kansas,"1,048 ",+/- 915,0 ,+/- 240,"2,101 ",+/- 990,"1,404 ","+/- 1,008","6,823 ","+/- 2,647","4,050 ","+/- 1,517",736 ,+/- 887,81 ,+/- 105,0 ,+/- 240,"2,879 ","+/- 1,303","1,571 ","+/- 1,182",85 ,+/- 141,40 ,+/- 46,"1,488 ",+/- 833,763 ,+/- 612,"1,094 ",+/- 619,"382,897 ","+/- 17,210",725 ,+/- 564,"1,358 ",+/- 640,0 ,+/- 240,353 ,+/- 416,33 ,+/- 60,"1,343 ",+/- 815,"1,100 ",+/- 745,553 ,+/- 489,"20,085 ","+/- 3,755",184 ,+/- 183,"1,193 ",+/- 542,948 ,+/- 930,211 ,+/- 272,419 ,+/- 462,813 ,+/- 489,868 ,+/- 703,"2,036 ",+/- 904,300 ,+/- 435,"1,673 ",+/- 923,"6,720 ","+/- 1,975",361 ,+/- 358,746 ,+/- 600,0 ,+/- 240,18 ,+/- 31,"1,360 ",+/- 935,196 ,+/- 166,"1,743 ","+/- 1,390","6,452 ","+/- 2,133",38 ,+/- 66,0 ,+/- 240,895 ,+/- 511,754 ,+/- 519,222 ,+/- 298,459 ,+/- 440,"1,009 ",+/- 723
Kentucky,761 ,+/- 449,261 ,+/- 315,"1,106 ",+/- 649,"1,616 ","+/- 1,203","3,909 ","+/- 1,384",919 ,+/- 655,400 ,+/- 434,99 ,+/- 166,236 ,+/- 303,"9,787 ","+/- 2,567","3,947 ","+/- 1,621",796 ,+/- 688,0 ,+/- 270,"3,529 ","+/- 1,644","13,212 ","+/- 3,965",700 ,+/- 588,135 ,+/- 146,"519,666 ","+/- 22,923","2,072 ","+/- 1,107",0 ,+/- 270,598 ,+/- 403,291 ,+/- 365,"1,967 ","+/- 1,118",986 ,+/- 709,"1,698 ","+/- 1,231","2,291 ","+/- 1,782",228 ,+/- 400,43 ,+/- 73,293 ,+/- 303,52 ,+/- 91,"1,295 ",+/- 918,552 ,+/- 387,"1,019 ",+/- 612,"2,855 ","+/- 1,236",72 ,+/- 125,"15,132 ","+/- 3,386",391 ,+/- 365,100 ,+/- 120,"1,009 ",+/- 544,0 ,+/- 270,0 ,+/- 270,"1,547 ",+/- 780,0 ,+/- 270,"9,452 ","+/- 2,543","6,285 ","+/- 2,299",0 ,+/- 270,0 ,+/- 270,"2,626 ","+/- 1,108","1,763 ","+/- 1,131","3,758 ","+/- 1,783",681 ,+/- 364,0 ,+/- 270
