"city","state","msa_code"
"Taos","NM",45340
"Taylorville","IL",45380
"Terre Haute","IN",45460
"Texarkana TX-Texarkana","AR",45500
"The Dalles","OR",45520
"The Villages","FL",45540
"Thomaston","GA",45580
"Thomasville","GA",45620
"Thomasville-Lexington","NC",45640
"Tiffin","OH",45660
"Tiffin-Fostoria","OH",45660
"Tifton","GA",45700
"Toccoa","GA",45740
"Toledo","OH",45780
"Topeka","KS",45820
"Torrington","CT",45860
"Traverse City","MI",45900
"Trenton-Ewing","NJ",45940
"Troy","AL",45980
"Truckee-Grass Valley","CA",46020
"Tucson","AZ",46060
"Tullahoma","TN",46100
"Tulsa","OK",46140
"Tupelo","MS",46180
"Tuscaloosa","AL",46220
"Tuskegee","AL",46260
"Twin Falls","ID",46300
"Tyler","TX",46340
"Ukiah","CA",46380
"Union","SC",46420
"Union City","TN",46460
"Union City","KY",46460
"Urbana","OH",46500
"Utica-Rome","NY",46540
"Utuado","PR",46580
"Uvalde","TX",46620
"Valdosta","GA",46660
"Vallejo-Fairfield","CA",46700
"Valley","AL",46740
"Van Wert","OH",46780
"Vermillion","SD",46820
"Vernal","UT",46860
"Vernon","TX",46900
"Vero Beach","FL",46940
"Vicksburg","MS",46980
"Victoria","TX",47020
"Vidalia","GA",47080
"Vincennes","IN",47180
"Vineland-Millville-Bridgeton","NJ",47220
"Virginia Beach-Norfolk-Newport News","VA",47260
"Virginia Beach-Norfolk-Newport News","NC",47260
"Visalia-Porterville","CA",47300
"Wabash","IN",47340
"Waco","TX",47380
"Wahpeton","ND",47420
"Wahpeton","MN",47420
"Walla Walla","WA",47460
"Walterboro","SC",47500
"Wapakoneta","OH",47540
"Warner Robins","GA",47580
"Warren","PA",47620
"Warrensburg","MO",47660
"Warsaw","IN",47700
"Washington","IN",47780
"Washington","NC",47820
"Washington","OH",47860
"Washington-Arlington-Alexandria","DC",47900
"Washington-Arlington-Alexandria","VA",47900
"Washington-Arlington-Alexandria","MD",47900
"Washington-Arlington-Alexandria","WV",47900
"Washington Court House","OH",47920
"Waterloo-Cedar Falls","IA",47940
"Watertown","SD",47980
"Watertown-Fort Atkinson","WI",48020
"Watertown-Fort Drum","NY",48060
"Wauchula","FL",48100
"Wausau","WI",48140
"Waycross","GA",48180
"Weirton-Steubenville","WV",48260
"Weirton-Steubenville","OH",48260
"Wenatchee","WA",48300
"Wenatchee-East Wenatchee","WA",48300
"West Helena","AR",48340
"West Plains","MO",48460
"West Point","MS",48500
"Wheeling","WV",48540
"Wheeling","OH",48540
"Whitewater","WI",48580
"Wichita","KS",48620
"Wichita Falls","TX",48660
"Williamsport","PA",48700
"Willimantic","CT",48740
"Williston","ND",48780
"Willmar","MN",48820
"Wilmington","NC",48900
"Wilmington","OH",48940
"Wilson","NC",48980
"Winchester","VA",49020
"Winchester","WV",49020
"Winfield","KS",49060
"Winona","MN",49100
"Winston-Salem","NC",49180
"Wisconsin Rapids-Marshfield","WI",49220
"Woodward","OK",49260
"Wooster","OH",49300
"Worcester","MA",49340
"Worthington","MN",49380
"Yakima","WA",49420
"Yankton","SD",49460
"Yauco","PR",49500
"Yazoo City","MS",49540
"York-Hanover","PA",49620
"Youngstown-Warren-Boardman","OH",49660
"Youngstown-Warren-Boardman","PA",49660
"Yuba City","CA",49700
"Yuba City-Marysville","CA",49700
"Yuma","AZ",49740
"Zanesville","OH",49780
